SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
2,6,8,1,7,1,1,32-00405,3,15836
1,2,9,2,3,7,1,38-00100,10,21425
2,4,2,2,7,10,0,36-04010,9,17130
1,6,1,0,5,7,0,32-00405,6,15146
2,6,2,1,7,8,0,28-01100,6,12495
2,3,2,2,2,1,0,36-04010,N,17901
2,3,2,2,1,5,0,26-02702,9,11800
1,N,3,1,9,2,0,36-04010,9,23910
1,N,1,1,N,1,0,24-01004,N,26491
1,6,1,0,4,6,0,24-01004,7,10184
2,1,1,1,4,10,0,51-01301,15,21589
1,1,1,1,5,7,0,30-00600,10,14534
1,6,8,2,1,4,1,30-00600,2,14437
2,N,2,1,N,3,0,17-03529,N,25508
1,6,1,2,4,6,0,01-01301,8,1736
2,1,6,2,0,8,0,06-07502,10,1734
2,6,2,1,0,3,0,01-01301,13,364
2,1,1,1,8,11,0,51-51255,15,23209
1,6,1,2,0,7,0,51-01301,7,20255
1,N,2,2,9,2,0,36-03710,9,22875
2,N,2,2,N,N,0,28-01100,N,26857
2,1,2,2,3,8,0,51-51255,6,23204
2,6,2,1,3,7,0,29-01901,7,12611
1,1,2,2,8,10,0,51-51255,12,22069
2,6,8,2,1,9,1,08-00803,11,4347
1,1,2,1,2,3,0,36-04010,N,17946
1,6,1,2,5,8,0,06-08507,18,3657
1,N,1,2,9,2,0,51-01301,9,25090
1,1,1,1,9,9,4,30-00600,N,14883
2,6,1,1,0,4,0,26-02702,N,12109
2,2,2,1,0,7,0,17-03529,11,6178
1,1,1,1,9,9,0,51-51255,10,22364
1,6,1,0,0,4,1,29-01901,N,13412
1,6,9,1,0,4,0,32-00405,N,16358
1,2,2,1,1,4,0,01-01301,8,346
1,6,2,2,1,7,0,36-03710,8,17578
1,1,2,2,6,4,0,36-03710,2,14159
1,1,8,2,7,6,0,32-00405,15,16782
2,N,1,1,N,2,0,51-01301,N,26117
1,1,1,1,8,8,0,36-04010,0,17634
1,1,1,1,7,1,0,19-01700,1,9719
1,2,2,1,0,5,0,26-02702,3,11305
2,4,1,1,4,10,0,36-04010,9,17012
2,1,6,1,7,1,0,06-07502,1,1465
2,6,1,1,3,10,0,38-00100,11,18328
1,1,1,1,7,6,0,36-04010,0,18039
1,1,1,2,1,10,0,13-04600,11,5073
2,3,1,1,7,10,0,08-00803,N,3603
2,1,1,1,0,8,4,19-01700,9,7813
2,1,6,1,0,10,0,24-01004,15,10141
2,6,1,1,5,9,3,36-03710,14,17696
2,1,2,2,3,8,0,28-01100,10,12059
1,N,3,2,9,1,0,29-01901,9,26662
1,6,1,2,8,8,0,01-01301,1,2253
1,1,2,1,5,9,0,17-03529,14,5866
1,1,2,1,4,6,0,08-00803,1,3262
1,1,1,1,8,7,0,36-04010,0,17190
2,1,1,1,9,11,0,17-03529,10,7317
