PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
32-00405,45,2,6,1,8,0,5,1,1,8103.09925343374,770,3,1,517500.0,7,174,N,2,2,2,2,61,59,15526
38-00100,37,1,2,1,9,0,4,1,2,120.12175686533226,7580,10,7,20640.0,3,501,N,2,2,2,2,29,19,19874
36-03710,43,2,4,0,2,2,3,1,2,49953.6764855223,6970,8,1,66550.0,6,421,N,2,2,2,2,414,422,15793
32-00405,35,1,6,0,1,N,N,2,0,8185.947524519018,5391,6,7,35200.0,5,N,N,2,2,2,2,79,1,15840
26-02702,56,2,6,0,2,1,2,1,1,2649.51942040113,490,5,7,40540.0,6,2,N,2,2,2,2,31,31,11457
36-04010,79,2,3,0,2,0,4,1,2,51021.22750339371,N,N,1,653000.0,2,194,N,2,1,2,2,58,69,18354
26-02702,62,2,3,0,2,0,12,1,2,2515.1385865796674,9920,9,5,87300.0,1,149,N,2,1,2,2,74,66,11361
36-04010,6,1,N,0,3,0,2,1,1,23.094355492467336,9920,9,2,99030.0,9,500,N,2,2,2,2,62,37,23934
24-01004,4,1,N,0,1,2,4,1,1,4496.6788083662,N,N,1,N,N,51,N,N,N,2,2,105,110,26804
26-02702,20,1,6,0,1,N,N,3,0,5106.224387914776,680,8,7,35250.0,5,N,N,2,2,2,2,90,1,11171
40-00200,41,2,1,0,1,2,3,1,1,11079.240748282295,8980,14,1,283200.0,3,500,N,2,2,2,2,65,66,20963
29-01901,61,1,1,0,1,0,12,1,1,16.3,7290,1,6,240.0,4,336,N,2,2,2,2,1,0,12961
29-01901,16,1,6,1,8,0,3,1,2,7609.28056193773,7590,2,4,10820.0,1,125,N,2,2,2,2,86,59,13478
17-03529,14,2,N,0,2,0,2,1,1,15211.019138239508,N,N,3,N,N,N,N,2,2,2,2,165,152,25516
06-07502,45,1,6,0,1,0,N,1,2,33985.881463108664,7080,9,7,32200.0,5,248,N,2,2,2,2,56,53,2329
06-07502,45,2,1,0,6,2,3,1,2,3098.132881258184,7870,10,8,28110.0,0,500,N,2,2,2,2,41,42,2017
01-01301,19,2,6,0,2,0,3,1,1,2422.6302831025464,8562,13,3,-1070.0,0,9,N,2,2,1,2,280,156,18
51-01301,59,2,1,0,1,0,12,1,1,11096.506123995572,8891,14,10,-1900.0,7,50,N,2,2,2,2,53,52,21754
51-01301,16,1,6,0,1,6,10,1,2,11163.640754916174,6695,7,7,313300.0,0,42,N,2,2,2,2,89,92,20762
36-04010,13,1,N,0,2,2,4,1,2,50802.48998649309,N,N,3,N,N,501,N,2,2,2,2,392,389,24109
28-01100,2,2,N,0,2,0,10,1,2,2741.395839933489,N,N,N,N,N,93,N,N,N,2,2,226,210,26787
51-51255,33,2,1,0,2,0,2,1,2,11230.68430489603,4670,6,8,15020.0,3,501,N,2,2,2,2,320,126,21825
28-01100,57,2,6,0,2,0,2,1,1,5233.7920845722165,6090,6,6,156000.0,2,195,N,2,2,1,2,44,43,12078
51-51255,42,1,1,0,2,4,6,1,2,11308.679103219523,8192,12,10,95500.0,8,58,N,2,2,2,2,110,72,21889
06-08507,24,2,6,1,8,0,9,1,2,3061.160385290095,7790,10,8,63600.0,0,51,N,2,1,2,2,121,119,2246
36-03710,79,1,1,0,2,0,12,1,1,49967.366418386606,9920,9,2,105070.0,1,128,N,2,2,2,2,274,269,16823
08-00803,27,1,6,0,1,0,N,1,2,3484.4284625918713,6870,2,9,511000.0,6,386,N,2,2,2,2,66,66,4174
51-51255,7,1,N,0,1,2,3,1,2,11225.12384642517,N,N,3,N,N,234,N,2,2,2,2,172,228,25748
30-00600,72,1,1,4,1,0,2,1,1,210.0617591098839,N,N,9,234100.0,9,51,N,2,2,2,2,317,332,15842
26-02702,15,2,6,0,1,1,3,1,1,4933.520049486702,N,N,4,10000.0,0,501,N,1,2,2,2,62,51,11590
17-03529,48,2,2,0,2,0,12,1,1,11122.4664055505,8090,11,7,77620.0,0,499,N,2,2,2,2,78,45,6778
51-01301,49,1,1,0,1,2,3,1,1,11187.053530707377,7370,1,8,232300.0,8,500,N,2,2,2,2,60,61,20827
28-01100,13,1,6,1,1,N,9,2,0,5167.197329464915,9920,9,3,-2100.0,0,95,N,1,2,2,2,67,0,11769
32-00405,18,1,6,0,9,2,3,1,1,8058.96036727519,N,N,4,100000.0,0,227,N,2,2,2,2,67,72,15850
01-01301,44,1,2,0,2,0,9,1,1,2711.0898187575845,6991,8,4,89700.0,1,67,N,2,2,2,2,50,51,477
32-00405,33,1,6,0,2,0,9,1,2,52342.68021372135,6390,7,6,2250.0,0,169,N,2,2,2,2,73,72,16154
36-03710,66,1,1,0,2,0,12,1,2,50440.211082445334,7690,2,4,6100.0,6,500,N,2,2,2,2,153,198,16679
36-03710,56,1,1,0,8,0,4,1,2,52864.7,9490,16,7,92000.0,8,501,N,2,2,2,2,106,106,17235
51-01301,6,2,N,0,1,2,4,1,1,11291.749077602271,N,N,2,N,N,51,N,2,2,2,2,87,92,26255
36-04010,55,1,1,0,1,0,3,1,1,39.56698948266552,1770,0,8,137700.0,8,500,N,2,2,2,2,49,53,18308
24-01004,78,1,1,0,1,0,2,1,1,4372.212516084114,7860,10,10,9200.0,8,501,N,2,2,2,2,76,64,10478
26-02702,60,1,2,0,2,0,12,1,1,2613.2782452771235,180,3,5,-7600.0,0,0,N,2,2,2,2,140,124,11694
36-04010,80,2,4,0,1,0,9,1,1,57.337778561686164,9920,9,10,37700.0,4,311,N,2,2,2,2,325,327,18884
06-08507,42,2,1,0,6,2,4,1,1,3344.0374777951283,7380,10,10,115520.0,8,501,N,2,2,2,2,110,110,1708
36-04010,20,2,6,0,1,0,12,1,1,16.3,7770,10,1,179400.0,2,412,N,2,2,2,2,96,292,16898
38-00100,42,1,1,0,1,3,5,1,1,87.78607426516118,370,1,7,91420.0,8,32,N,2,2,2,2,24,26,18396
17-03529,69,1,1,0,1,0,4,1,2,15120.43085929535,8080,12,11,103000.0,2,501,N,2,1,2,2,107,74,5831
08-00803,73,2,3,0,1,0,N,1,1,3497.2803975746097,N,N,10,75400.0,7,501,N,1,1,1,2,303,305,3819
24-01004,50,2,1,4,1,2,4,1,1,4193.447850707163,N,N,9,0.0,0,501,N,2,2,2,2,275,275,8616
