,HISP,PUMA,PINCP_DECILE,MSP,DENSITY,OWN_RENT,DREM,SEX,NPF,HOUSING_TYPE,RAC1P,INDP_CAT,DVET,NOC,EDU,DEYE,DEAR,DPHY,AGEP
HISP,8.992806499463768e-15,-0.0711594820129369,-0.0024858709052452965,-0.0004768911542876106,-0.07562687225300062,-0.03855863111586404,-0.013617504269450213,-0.010349929915334715,0.04922396695741429,0.01766759965767512,-0.12756819382578755,-0.023700237557473414,0.0010255699383459535,0.014589523289304962,0.025971784455783485,-0.06764784933373355,-0.048537528663434054,-0.030545514259304123,0.044339487654496246
PUMA,-0.0711594820129369,-4.773959005888173e-15,-0.182216765743418,0.04087905939310921,-0.7274411016064262,-0.16529694674902887,-0.03836895225992362,-0.030580409648613076,0.0399803457360047,0.12394463947405929,-0.02122064871404769,-0.1567673186010726,-0.01781698749728104,0.006069863838346186,-0.21804317512280844,-0.09464210008739113,-0.09533699144073648,-0.021865526934560887,-0.044107114249190164
PINCP_DECILE,-0.0024858709052452965,-0.182216765743418,5.551115123125783e-15,-0.5181640790386234,-0.022808703699060393,-0.019351150022731554,-0.2715823664430944,0.04891749751691607,0.22800983587758106,0.07172735985772039,0.043026855774565706,-0.5284023177384265,-0.09402096633460619,0.2629603892950501,-0.35921142065332107,-0.02426255789834656,0.005756191459524107,-0.2573313665580833,-0.2626656533173729
MSP,-0.0004768911542876106,0.04087905939310921,-0.5181640790386234,-1.1546319456101628e-14,0.06390627122465638,0.07780756141753212,-0.37306584032345397,0.006266696313675142,0.4804040901945305,-0.15700316755258487,0.07536680042566475,-0.2398268056059307,0.03478020031867537,0.3808474306627598,-0.4901377528714002,0.018123367122117297,-0.0018488490401409614,-0.32599406075888687,-0.3482278039000589
DENSITY,-0.07562687225300062,-0.7274411016064262,-0.022808703699060393,0.06390627122465638,1.5543122344752192e-15,-0.10187005481423267,-0.0725161800275554,-0.0027873525598141498,-0.18132921071254537,0.10303938779095265,-0.05892738664990029,0.02701715594473625,0.03836206876558736,0.002743974195774392,-0.08335571350073542,-0.06341275168999307,-0.0894388083395671,-0.07725360764959835,0.06399848971160171
OWN_RENT,-0.03855863111586404,-0.16529694674902887,-0.019351150022731554,0.07780756141753212,-0.10187005481423267,0.0,0.006252629662329906,-0.04956213210192706,-0.06869365483416669,0.5348538431395571,-0.03258896467021728,-0.08796263820324944,0.007071315295281443,-0.24006686190362667,0.011095358878513803,-0.03808799142398782,-0.046569750916393884,-0.0008903981732968011,0.05183843323958659
DREM,-0.013617504269450213,-0.03836895225992362,-0.2715823664430944,-0.37306584032345397,-0.0725161800275554,0.006252629662329906,-3.552713678800501e-15,-0.015586818242489333,0.16749274393001906,-0.037878713162483035,-0.019989821707807977,-0.2685345446761701,0.014412154494781379,0.2129435069814147,-0.45560094364612524,-0.012020070368328778,-0.0071578439969512755,-0.8530334654548175,-0.32677681379796425
SEX,-0.010349929915334715,-0.030580409648613076,0.04891749751691607,0.006266696313675142,-0.0027873525598141498,-0.04956213210192706,-0.015586818242489333,-1.4432899320127035e-15,0.012677632937230067,0.05182832252191294,0.00721858398970037,-0.044303141020228365,0.1000296752430095,-0.005389763525868605,-0.06704410250324169,0.004574882537702702,-0.032714122346074834,0.017423501419890977,-0.07056853498088851
NPF,0.04922396695741429,0.0399803457360047,0.22800983587758106,0.4804040901945305,-0.18132921071254537,-0.06869365483416669,0.16749274393001906,0.012677632937230067,-1.2878587085651816e-14,0.3134286218596149,-0.08727337660019557,0.1935891951368033,0.031820182719730083,-0.5688195947483989,0.18090567470718086,-0.057658530616367394,-0.11899702903470691,0.14413597280404053,0.15709766540330372
HOUSING_TYPE,0.01766759965767512,0.12394463947405929,0.07172735985772039,-0.15700316755258487,0.10303938779095265,0.5348538431395571,-0.037878713162483035,0.05182832252191294,0.3134286218596149,1.509903313490213e-14,0.0860398916159203,0.10507038931339648,0.004673144141122593,0.32884057833480396,-0.02311837793363187,0.031861127154353464,-0.006120201765750653,-0.06637452466791409,0.038961283813886353
