,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,16,0,4,6,11,1,4,473,48-02507,9,2,66,0,N,6,398,0.0
1,53,2,1,2,8,1,4,274,48-02101,1,1,59,0,2,7,501,0.0
2,8,1,N,3,5,1,N,222,48-02510,9,2,13,1,2,N,270,20.0
3,54,1,3,2,2,1,8,227,48-02516,1,2,41,2,3,0,0,20.0
4,72,1,4,3,6,1,6,494,48-02515,8,2,55,3,8,5,210,20.0
5,92,1,3,N,6,2,9,37,48-02102,1,2,84,0,3,2,501,0.0
6,78,4,6,0,2,2,0,44,48-02507,1,1,39,0,N,6,301,20.0
7,7,1,N,0,N,1,5,325,48-02515,8,2,14,3,6,N,109,0.0
8,57,4,4,11,7,0,1,476,48-02102,5,1,33,N,N,0,N,0.0
9,48,1,6,N,3,2,8,486,48-02507,9,1,19,0,2,3,276,0.0
10,57,4,4,6,8,1,6,398,48-02507,1,1,52,0,3,6,412,20.0
11,18,0,1,1,6,1,2,398,48-02507,3,2,71,0,2,6,501,0.0
12,1,2,N,2,3,2,N,205,48-02510,1,2,11,2,4,N,132,40.0
13,5,0,3,2,7,0,3,338,48-02510,2,2,81,N,N,2,N,0.0
14,4,1,N,3,4,2,N,214,48-02101,9,2,14,2,3,N,330,20.0
15,5,4,N,N,11,1,6,145,48-02102,9,1,0,1,3,N,210,0.0
16,27,1,6,0,2,1,5,341,48-02515,8,2,27,1,2,0,0,40.0
17,23,4,N,2,13,2,3,283,48-02507,8,1,13,3,5,N,138,0.0
18,74,1,4,1,2,1,N,208,48-02507,8,1,49,0,N,7,381,0.0
19,33,1,6,7,5,1,5,162,48-02510,8,2,65,0,N,9,501,0.0
20,52,4,6,0,2,2,2,73,48-02507,1,2,23,1,2,2,57,40.0
21,70,2,N,5,11,1,N,484,48-02507,1,1,13,2,3,N,115,20.0
22,88,1,4,0,2,2,0,490,48-02102,1,2,75,0,2,2,59,40.0
23,6,4,6,1,6,1,7,30,48-02101,1,1,18,0,2,0,164,0.0
24,50,0,6,0,2,1,2,17,48-02102,3,2,18,1,4,0,455,0.0
25,38,1,6,0,3,1,0,315,48-02101,9,2,21,1,6,4,501,0.0
26,86,4,3,5,N,1,5,279,48-02101,1,2,63,3,6,3,335,0.0
27,33,0,4,6,5,2,3,153,48-02510,6,1,48,0,N,9,501,0.0
28,85,1,6,1,6,2,4,194,48-02515,8,1,31,0,N,4,182,20.0
29,81,1,3,0,2,1,3,188,48-02510,1,2,67,0,N,3,93,40.0
30,25,0,2,1,11,1,2,38,48-02510,6,1,16,0,3,0,501,0.0
31,46,1,N,5,7,2,N,261,48-02515,8,2,8,3,6,N,187,20.0
32,58,4,1,3,8,2,2,172,48-02515,8,1,22,0,2,7,439,0.0
33,36,4,6,3,6,1,2,14,48-02510,8,2,28,0,2,4,234,0.0
34,45,4,N,5,4,1,5,197,48-02510,6,2,14,1,4,N,501,20.0
35,61,2,4,5,8,1,7,365,48-02507,1,2,44,0,N,0,0,0.0
36,28,4,N,0,3,2,N,320,48-02515,1,2,6,2,4,N,321,20.0
37,34,0,6,0,6,2,3,66,48-02516,9,2,48,0,2,6,366,20.0
38,13,1,2,6,13,1,6,416,48-02516,8,1,24,0,5,5,287,0.0
39,15,1,N,3,6,1,9,245,48-02101,3,2,10,2,3,N,229,0.0
40,15,0,6,3,5,2,6,85,48-02515,9,2,27,0,N,7,409,0.0
41,62,0,1,2,5,1,0,276,48-02510,8,1,46,0,3,4,227,0.0
42,41,1,4,0,N,1,4,88,48-02101,8,1,65,0,N,3,110,40.0
43,72,4,4,7,13,1,9,133,48-02101,1,2,56,0,2,5,164,0.0
44,10,0,1,0,3,1,7,447,48-02102,3,1,49,0,3,8,501,40.0
45,13,0,1,0,6,2,4,352,48-02510,9,2,31,1,3,7,501,0.0
46,76,4,1,7,8,1,7,151,48-02507,8,2,27,2,4,0,292,0.0
47,52,0,5,0,2,0,0,343,48-02515,2,2,56,N,N,2,70,0.0
48,64,1,1,3,13,1,9,126,48-02515,3,1,59,0,2,8,380,0.0
49,2,1,4,4,6,2,1,167,48-02515,1,1,66,0,N,7,501,0.0
50,2,0,1,0,3,1,5,40,48-02510,7,2,57,0,2,7,351,20.0
51,70,0,3,11,11,1,6,18,48-02507,6,2,70,0,2,5,501,20.0
52,10,1,5,4,8,0,2,236,48-02102,1,1,28,N,N,4,N,0.0
53,2,4,N,11,11,2,N,422,48-02515,1,1,9,2,4,N,321,20.0
54,44,2,1,11,5,1,1,485,48-02102,2,1,48,2,7,4,476,0.0
55,27,1,1,4,5,1,2,162,48-02515,9,2,87,0,2,2,111,20.0
56,39,0,4,2,13,1,8,12,48-02510,6,2,56,0,4,8,501,20.0
57,85,1,2,2,4,1,N,95,48-02507,8,1,30,0,2,5,226,0.0
58,62,4,6,1,11,1,2,402,48-02102,8,1,42,0,3,1,220,0.0
59,30,2,1,0,2,1,1,407,48-02510,8,1,59,0,2,7,501,40.0
60,15,2,6,5,8,2,8,466,48-02515,1,2,23,1,2,4,188,0.0
61,7,3,N,3,5,1,N,357,48-02101,1,1,11,2,4,N,501,20.0
62,2,1,N,3,4,2,N,188,48-02101,8,2,6,6,7,N,0,20.0
63,44,1,4,N,6,0,6,86,48-02510,1,2,84,N,N,2,N,20.0
64,85,0,3,0,2,1,3,177,48-02507,6,1,65,0,5,1,214,20.0
65,44,0,4,6,8,1,1,467,48-02507,6,1,41,0,2,8,501,0.0
66,30,0,6,2,13,1,6,409,48-02102,6,2,16,1,3,0,295,0.0
67,63,0,4,6,11,0,8,60,48-02515,2,1,62,N,N,2,46,0.0
68,46,0,2,3,5,2,5,101,48-02510,2,1,52,0,N,9,501,0.0
69,54,2,1,1,5,1,9,429,48-02515,1,1,32,3,5,9,411,40.0
70,42,2,6,7,13,2,4,177,48-02515,1,1,28,0,N,4,190,20.0
71,9,4,N,4,5,1,N,276,48-02515,1,1,11,3,6,N,161,20.0
72,33,1,6,3,5,2,7,269,48-02101,9,1,15,1,2,1,56,0.0
73,7,1,1,0,11,2,6,348,48-02516,8,1,29,0,2,6,501,40.0
74,28,1,2,3,5,1,0,330,48-02515,8,2,32,3,8,0,210,40.0
75,67,1,2,0,3,1,9,10,48-02516,1,1,45,0,N,8,501,20.0
76,77,1,2,3,7,2,2,247,48-02507,1,1,68,0,N,4,198,0.0
77,92,0,6,1,7,0,7,152,48-02515,2,2,24,N,N,3,N,0.0
78,66,0,4,6,6,1,8,298,48-02510,9,2,52,0,N,2,41,0.0
79,47,0,N,5,13,2,N,159,48-02516,3,1,1,1,2,N,171,20.0
80,73,1,2,7,6,2,4,89,48-02101,1,2,25,0,N,0,0,0.0
81,13,4,4,1,4,1,N,320,48-02510,1,1,80,0,N,6,315,0.0
82,38,2,1,6,3,2,8,82,48-02515,1,1,38,2,4,0,252,20.0
83,79,1,6,N,N,0,0,167,48-02515,8,1,28,N,N,2,N,40.0
84,34,4,1,N,4,1,9,53,48-02101,8,1,54,0,3,9,501,20.0
85,92,0,3,4,11,2,4,191,48-02507,2,1,78,0,2,4,310,20.0
86,20,0,6,5,7,0,2,259,48-02507,2,2,60,N,N,2,70,20.0
87,79,0,4,4,6,1,6,466,48-02102,3,2,69,0,N,3,109,0.0
88,12,1,1,5,3,1,9,492,48-02101,9,2,37,1,3,2,280,20.0
89,14,4,1,11,N,2,7,3,48-02102,8,1,24,0,2,4,242,0.0
90,26,1,4,6,2,0,8,470,48-02102,1,1,52,N,N,0,N,0.0
91,33,0,6,0,5,0,9,176,48-02507,1,1,21,N,N,2,26,0.0
92,51,4,1,0,3,2,4,239,48-02102,8,2,78,0,2,2,131,20.0
93,34,2,6,7,5,1,0,97,48-02507,1,2,16,2,4,0,233,20.0
94,63,2,1,0,3,1,8,153,48-02102,1,1,27,0,5,2,501,20.0
95,92,4,3,3,8,1,0,291,48-02516,1,2,75,0,N,6,318,0.0
96,39,1,3,1,5,1,0,485,48-02101,8,1,66,0,N,5,242,0.0
97,0,0,5,4,11,1,9,173,48-02515,2,2,36,0,6,5,257,0.0
98,75,1,2,11,13,1,8,90,48-02515,8,1,55,3,8,3,210,0.0
99,61,1,3,5,6,1,9,76,48-02515,1,2,71,2,8,2,501,0.0
100,69,0,2,3,7,0,3,0,48-02507,1,2,85,N,N,4,148,0.0
101,64,0,4,3,5,0,9,303,48-02516,2,1,40,N,N,4,150,0.0
102,45,2,1,0,6,2,2,72,48-02516,1,2,45,0,2,7,501,40.0
103,16,0,1,3,8,2,4,377,48-02507,6,1,67,0,2,3,116,0.0
104,29,0,1,2,6,1,0,148,48-02515,3,2,43,0,4,1,330,0.0
105,47,0,4,0,N,1,9,230,48-02516,2,1,46,2,3,4,113,0.0
