,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,0.0,0.10501694299516938,0.012357925902758832,0.057117337621186696,0.00038213292610515814,0.06742302522274898,-0.03947273527638459,-0.04848280291878722,0.23201203900235234,-0.019496003767915507,-0.03030845269897911
AGEP,0.10501694299516938,1.1102230246251565e-15,-0.005901044006880754,0.05762036007262199,0.08833349721879484,0.12080280239604824,0.4520446271638611,0.35453722904488877,0.1319389550276793,-0.3810814470279702,0.14860401982380494
SEX,0.012357925902758832,-0.005901044006880754,-2.220446049250313e-16,-0.032388986935571566,0.017833738136672394,0.008690277266670095,0.0362228258773653,0.06744948049573532,0.030976522466694925,0.16029185345997934,0.06726421522240729
MSP,0.057117337621186696,0.05762036007262199,-0.032388986935571566,1.4432899320127035e-15,-0.03491481383557528,-0.020931535426715026,0.13035388487572389,-0.05722855182845038,-0.11147135946276145,0.06245365394127689,0.009694781072958002
HISP,0.00038213292610515814,0.08833349721879484,0.017833738136672394,-0.03491481383557528,1.7763568394002505e-15,-0.1737631988531817,-0.07706634164496098,-0.08253967652962789,-0.15419596502015126,0.10898538805411069,0.011640157290448108
RAC1P,0.06742302522274898,0.12080280239604824,0.008690277266670095,-0.020931535426715026,-0.1737631988531817,3.3306690738754696e-16,-0.11011541387571426,-0.12429865613368654,-0.06678510418889831,0.12192094593174119,-0.06096286163729336
NOC,-0.03947273527638459,0.4520446271638611,0.0362228258773653,0.13035388487572389,-0.07706634164496098,-0.11011541387571426,6.661338147750939e-16,-0.12421429957511854,-0.1273728883414923,0.17033407614627447,-0.06366994266022231
NPF,-0.04848280291878722,0.35453722904488877,0.06744948049573532,-0.05722855182845038,-0.08253967652962789,-0.12429865613368654,-0.12421429957511854,3.3306690738754696e-16,0.02273740031167893,0.11108350119959667,-0.041763411974807145
OWN_RENT,0.23201203900235234,0.1319389550276793,0.030976522466694925,-0.11147135946276145,-0.15419596502015126,-0.06678510418889831,-0.1273728883414923,0.02273740031167893,0.0,0.07288859222303792,-0.03385965480315943
PINCP_DECILE,-0.019496003767915507,-0.3810814470279702,0.16029185345997934,0.06245365394127689,0.10898538805411069,0.12192094593174119,0.17033407614627447,0.11108350119959667,0.07288859222303792,9.992007221626409e-16,-0.008984222717201902
DEYE,-0.03030845269897911,0.14860401982380494,0.06726421522240729,0.009694781072958002,0.011640157290448108,-0.06096286163729336,-0.06366994266022231,-0.041763411974807145,-0.03385965480315943,-0.008984222717201902,-2.55351295663786e-15
