,Target samples,Deid. samples
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,84,4
6,4247,264
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,1597,420
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,3681,1431
29,0,0
30,0,0
31,1489,674
32,21,10
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,1785,1107
39,1827,1188
40,0,0
41,4891,3443
42,0,0
43,2175,1631
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,727,685
50,0,0
51,0,0
52,0,0
53,1380,1573
54,0,0
55,0,0
56,474,638
57,0,0
58,0,0
59,789,1148
60,0,0
61,302,463
62,0,0
63,0,0
64,0,0
65,1481,2747
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,47,157
78,0,0
79,0,0
80,44,174
81,0,0
82,0,0
83,27,132
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,164,1550
91,0,0
92,0,0
93,21,280
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,7534
