,DENSITY,DPHY,DREM,PINCP_DECILE,HISP,HOUSING_TYPE,DVET,EDU,MSP,PUMA,NPF,DEAR,RAC1P,SEX,INDP_CAT,DEYE,OWN_RENT,AGEP,NOC
DENSITY,-1.1102230246251565e-16,-0.03131823676255871,-0.03614736149382086,0.004234900834606273,-0.14057117510401584,0.00569480327183269,0.032512189565165384,-0.06697123482443856,-0.0675637896050041,-0.02434052244886326,0.013308486319566944,-0.058382955426599735,-0.10508100284693725,0.012961948866697437,0.004330185873233618,-0.014929230737021477,-0.14684036722381544,0.06955602897954835,0.04828277277704792
DPHY,-0.03131823676255871,0.0,-0.5725717889316031,-0.15677850323579445,-0.0327932432424393,-0.02459256144161935,0.049905658671707265,-0.21796813964463432,-0.18486598087589598,0.0306071856282492,0.03583099281454686,-0.11661591215452206,0.019213613108863638,0.03481675711201508,-0.2510275186097615,-0.1278401298006766,0.0260459989605969,-0.04214278770209369,0.041672175195092434
DREM,-0.036147361493820855,-0.5725717889316031,2.220446049250313e-16,-0.18398558475870125,-0.03150321021997633,0.013176674220034434,0.024048068901068646,-0.24912981702716658,-0.21874783397985836,0.007171749582656965,0.07174568756748755,-0.07396222152941985,-0.01886480848960824,-0.02254174541907421,-0.22179663745766523,-0.09232235343357983,0.0004983594142462901,-0.1532248239294559,0.07296685600116445
PINCP_DECILE,0.004234900834606273,-0.15677850323579445,-0.18398558475870125,-1.1102230246251565e-16,0.03408883932243387,0.021104914771856928,-0.06963426205698978,-0.31330716201150255,-0.4049688082175569,0.04379708967316484,0.15615746287462062,0.03921487554531938,0.023697661194775066,0.06027805602755425,-0.35224104864201766,0.016921753694089284,-0.019214701267219466,-0.2297833128849479,0.18278952828720463
HISP,-0.14057117510401584,-0.0327932432424393,-0.03150321021997633,0.03408883932243386,2.220446049250313e-16,0.05195001709651485,0.0295911152813084,0.07480555596905936,0.015702285516476164,-0.07413465171731684,-0.03603622820772941,-0.05304353998462721,-0.024479435476758557,-0.012227922002208118,0.00795347495082364,-0.034680826534738106,-0.09684599835297619,0.037914213297506806,-0.0004810973155737197
HOUSING_TYPE,0.005694803271832687,-0.024592561441619344,0.013176674220034428,0.021104914771856928,0.05195001709651485,0.0,0.0012085206367703164,-0.009513146367535419,-0.18491426035667216,0.06111647163290185,0.3010627347522372,-0.006337872520469592,0.0658915086287703,0.04360280987895964,0.06342702013784116,-0.020962371698598044,0.46355717526257206,0.03742458415507728,0.44726314409826184
DVET,0.032512189565165384,0.049905658671707265,0.024048068901068646,-0.06963426205698978,0.0295911152813084,0.0012085206367703182,0.0,-0.03508371416446143,0.02170124101230611,-0.03823328934631795,0.03554521845681971,0.1067092921815679,0.010930646792831653,0.09019561295954891,-0.003123982102391539,0.06269853925728586,0.003673796546817161,-0.08243052334293147,0.03321024159074516
EDU,-0.06697123482443856,-0.21796813964463432,-0.24912981702716658,-0.31330716201150255,0.07480555596905936,-0.009513146367535419,-0.035083714164461426,0.0,-0.3194199494154345,0.07177397574314535,0.11267963143698363,-0.005936657621015805,0.06327620715962996,-0.04770653569990134,-0.3366615755772119,-0.02944580885623207,0.0014545709353232517,-0.11094794725591234,0.09366615672584915
MSP,-0.0675637896050041,-0.18486598087589598,-0.2187478339798584,-0.40496880821755676,0.015702285516476164,-0.18491426035667216,0.02170124101230611,-0.3194199494154345,0.0,0.02179457818646608,0.4449370874306036,0.01402360700150703,0.04921871297316313,0.005957873925404013,-0.22872915279901224,0.02932775485004977,0.03729314718718977,-0.18660729029748907,0.35907458530016056
PUMA,-0.02434052244886326,0.0306071856282492,0.007171749582656966,0.04379708967316484,-0.07413465171731684,0.06111647163290184,-0.03823328934631795,0.07177397574314535,0.021794578186466088,0.0,-0.024062515332915306,-0.006542580756509308,0.07352369610218826,-0.009553154656787514,0.003863784415974722,-0.0220818911133485,-0.013188546108495253,-0.006184759607056049,-0.012187155300133173
NPF,0.013308486319566944,0.03583099281454686,0.07174568756748755,0.15615746287462062,-0.03603622820772939,0.30106273475223716,0.03554521845681971,0.11267963143698363,0.4449370874306036,-0.0240625153329153,2.220446049250313e-16,-0.08835846704269587,-0.0697112571466615,0.0013669870965697193,0.1382659821380161,-0.06694193760570932,-0.0029334827246136307,0.1179493148623891,-0.5290912589632507
DEAR,-0.05838295542659974,-0.11661591215452208,-0.07396222152941986,0.03921487554531938,-0.05304353998462721,-0.006337872520469589,0.1067092921815679,-0.005936657621015805,0.014023607001507031,-0.0065425807565093076,-0.08835846704269587,0.0,-0.05133792559039012,-0.036558323003074274,-0.07199031117866143,-0.2268026245849304,-0.017475921887388286,0.15315472825714,-0.10787163013620975
RAC1P,-0.10508100284693725,0.019213613108863634,-0.01886480848960824,0.023697661194775052,-0.024479435476758557,0.0658915086287703,0.010930646792831657,0.06327620715962996,0.04921871297316312,0.07352369610218826,-0.06971125714666149,-0.05133792559039011,0.0,-0.012041715160638877,0.06646437827152979,-0.016478583759692203,-0.05706555441865971,0.00957904147837308,-0.015423416117312879
SEX,0.012961948866697447,0.03481675711201508,-0.02254174541907421,0.06027805602755425,-0.012227922002208118,0.04360280987895964,0.0901956129595489,-0.04770653569990133,0.005957873925404013,-0.009553154656787511,0.001366987096569721,-0.036558323003074274,-0.012041715160638879,0.0,-0.0263530694029021,-0.008157487215994795,-0.029306989980807482,-0.057902741876334096,-0.010190524515533336
INDP_CAT,0.004330185873233618,-0.2510275186097615,-0.22179663745766523,-0.35224104864201766,0.00795347495082364,0.06342702013784116,-0.003123982102391538,-0.3366615755772119,-0.22872915279901224,0.003863784415974722,0.1382659821380161,-0.07199031117866145,0.06646437827152979,-0.0263530694029021,0.0,-0.06660046172021374,-0.05243012403445393,-0.05949778275868696,0.10167827584302061
DEYE,-0.014929230737021477,-0.1278401298006766,-0.09232235343357983,0.016921753694089284,-0.034680826534738106,-0.02096237169859805,0.06269853925728586,-0.02944580885623207,0.029327754850049778,-0.0220818911133485,-0.06694193760570932,-0.2268026245849304,-0.01647858375969221,-0.008157487215994795,-0.06660046172021374,2.220446049250313e-16,0.01474302899791667,0.099554395487405,-0.08509191313785444
OWN_RENT,-0.14684036722381544,0.026045998960596905,0.0004983594142462901,-0.01921470126721947,-0.0968459983529762,0.463557175262572,0.003673796546817161,0.0014545709353232517,0.03729314718718977,-0.013188546108495253,-0.0029334827246136324,-0.017475921887388286,-0.05706555441865971,-0.029306989980807482,-0.052430124034453934,0.01474302899791667,1.1102230246251565e-16,0.028986027209901122,-0.19581953630529525
AGEP,0.06955602897954835,-0.0421427877020937,-0.1532248239294559,-0.2297833128849479,0.037914213297506806,0.03742458415507727,-0.08243052334293147,-0.11094794725591228,-0.18660729029748907,-0.006184759607056046,0.1179493148623891,0.15315472825714,0.009579041478373067,-0.05790274187633408,-0.05949778275868696,0.099554395487405,0.028986027209901122,-1.1102230246251565e-16,0.18095818181867945
NOC,0.04828277277704792,0.04167217519509244,0.07296685600116445,0.18278952828720466,-0.0004810973155737197,0.44726314409826184,0.03321024159074516,0.09366615672584915,0.35907458530016056,-0.012187155300133173,-0.5290912589632508,-0.10787163013620976,-0.015423416117312875,-0.010190524515533332,0.10167827584302061,-0.08509191313785444,-0.19581953630529525,0.18095818181867945,0.0
