,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,4.551914400963142e-15,0.09939534961485047,-0.00815217143768911,0.05641207178781309,-0.09116955754231112,-0.07467659731016688,-0.0915347204565063,-0.05956628245074947,-0.031849383024781124,0.003295155048291868
AGEP,0.09939534961485047,0.0,-0.048509167314279164,-0.2192574443645816,0.1330693394993696,0.1018136220437552,0.500065316408106,0.4445874885823386,0.0940852513100709,-0.5737593639660771
SEX,-0.00815217143768911,-0.048509167314279164,1.7763568394002505e-15,0.027337168867098117,-0.048417643936683644,0.015457410674394505,-0.03790886519577892,0.019374373483763103,-0.04846050085391326,0.14095002686029703
MSP,0.05641207178781309,-0.2192574443645816,0.027337168867098117,1.9984014443252818e-15,0.06271464734096918,0.07157913493749019,0.3555813639521806,0.35506160944847,0.10085157737507428,-0.25378015823558575
HISP,-0.09116955754231112,0.1330693394993696,-0.048417643936683644,0.06271464734096918,0.0,-0.15540143486137936,-0.09708218605686922,-0.04509379189192624,-0.026370964554938887,0.10125879781220042
RAC1P,-0.07467659731016688,0.1018136220437552,0.015457410674394505,0.07157913493749019,-0.15540143486137936,0.0,0.011912929350157643,-0.0004759311313146733,0.059043395806859245,0.03767620804347207
NOC,-0.0915347204565063,0.500065316408106,-0.03790886519577892,0.3555813639521806,-0.09708218605686922,0.011912929350157643,-3.3306690738754696e-15,-0.6435547962986073,-0.07557492583091013,0.3093082160345862
NPF,-0.05956628245074947,0.4445874885823386,0.019374373483763103,0.35506160944847,-0.04509379189192624,-0.0004759311313146733,-0.6435547962986073,8.881784197001252e-16,-0.028794840832106604,0.2543199967711834
OWN_RENT,-0.031849383024781124,0.0940852513100709,-0.04846050085391326,0.10085157737507428,-0.026370964554938887,0.059043395806859245,-0.07557492583091013,-0.028794840832106604,2.55351295663786e-15,0.05785447971316322
PINCP_DECILE,0.003295155048291868,-0.5737593639660771,0.14095002686029703,-0.25378015823558575,0.10125879781220042,0.03767620804347207,0.3093082160345862,0.2543199967711834,0.05785447971316322,2.4424906541753444e-15
