,DENSITY,DPHY,DREM,PINCP_DECILE,HISP,HOUSING_TYPE,DVET,EDU,MSP,PUMA,NPF,DEAR,RAC1P,SEX,INDP_CAT,DEYE,OWN_RENT,AGEP,NOC
DENSITY,0.0,-0.11473658367958953,,-0.5007971311033661,0.07931415854870429,-0.344621852805318,-0.292304318923158,0.27745050798606347,-0.1568407769430447,0.16047597721856854,-0.01912253415906165,-0.11696577025947452,-0.1547557671473503,-0.022857604356332648,-0.41868238835094873,0.032636073973177915,-0.1861451588266112,0.14470423366483515,0.06486658228287687
DPHY,-0.11473658367958953,-5.551115123125783e-16,,-0.313359972939081,0.0804210296496599,-0.004635987473506922,-0.21682342556682735,-0.46417136210743704,-0.49360319157750066,0.14420467958139344,0.1213348955797025,-0.10213132528322247,-0.11827168917856523,0.3277498390317114,-0.4851221669979564,-0.12219497291934694,0.0010082337508057065,-0.07112482562111092,-0.22011494318099883
DREM,,,,,,,,,,,,,,,,,,,
PINCP_DECILE,-0.5007971311033661,-0.313359972939081,,2.55351295663786e-15,0.2204416455227995,0.40645294704958745,-0.038495879029795524,-0.6718695741810258,0.2376251546693271,0.11926798959853957,0.04923844980418998,-0.1068740609256631,0.31680656787531625,-0.004340686825838241,-0.38166743446116164,-0.21217289588286942,-0.05444942474858366,-0.4716993482955628,0.21835419078602933
HISP,0.07931415854870429,0.0804210296496599,,0.2204416455227995,-3.3306690738754696e-16,-0.10180341956030267,-0.16703174914824223,0.17679002493950619,0.037983472080232526,0.0768520910962555,-0.02827896113784414,-0.11421055117345003,-0.26435202483730297,-0.06810645156825604,-0.21727009940947162,0.11020090516892787,0.03150600001596302,0.1220245487010744,0.01150861191024509
HOUSING_TYPE,-0.344621852805318,-0.004635987473506922,,0.40645294704958745,-0.10180341956030267,1.0103029524088925e-14,0.007747431188635759,-0.12310551219226157,-0.32506207545902843,-0.23960885498007545,0.1934467625136409,0.05449548965388544,0.3245211625224741,-0.2698274240254621,0.05687073530712199,0.03636695978617367,0.24395104876828938,0.3473621790791094,0.5954850350048857
DVET,-0.292304318923158,-0.21682342556682735,,-0.038495879029795524,-0.16703174914824223,0.007747431188635759,-2.220446049250313e-16,-0.20640168773312187,0.24101993411654293,0.11542727130490686,0.18500096426566232,0.1772559104533457,0.36927947792646937,0.2119937984455465,0.035716286223370614,0.031188270990776288,0.06993052899709194,-0.09300693557036302,0.13102794534928336
EDU,0.27745050798606347,-0.46417136210743704,,-0.6718695741810258,0.17679002493950619,-0.12310551219226157,-0.20640168773312187,-2.220446049250313e-16,-0.39633976605517196,-0.3151800459719988,0.06128333151065324,-0.03360309023648328,-0.05345333706298676,-0.1843572631403338,-0.5014305181911818,-0.34445105293845535,0.17403407736594478,-0.6061125835571743,0.15507445624069646
MSP,-0.1568407769430447,-0.49360319157750066,,0.2376251546693271,0.037983472080232526,-0.32506207545902843,0.24101993411654293,-0.39633976605517196,0.0,-0.0032046905199523273,0.5644540361127056,0.03895992906730111,0.19299340402155185,0.08974033857461577,-0.4012788416678984,-0.015183485487589968,-0.16149403371715557,0.385512712026818,0.6075670580608595
PUMA,0.16047597721856854,0.14420467958139344,,0.11926798959853957,0.0768520910962555,-0.23960885498007545,0.11542727130490686,-0.3151800459719988,-0.0032046905199523273,1.1102230246251565e-15,0.2993497688735725,0.1596575621875302,0.07248976200252968,0.3541993082414327,0.10712081520306342,0.03714912901124649,0.0323735692670052,0.33879373974057303,0.007411979707646281
