SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
1,4,1,0,0,0,48-02507,63,N,N,N
1,4,1,0,8,0,48-02102,45,N,N,281
1,2,1,0,5,0,48-02101,74,N,N,N
2,4,1,2,0,0,48-02510,75,0,N,N
2,4,1,0,1,0,48-02102,63,N,N,501
2,6,1,0,1,0,48-02101,33,N,7,N
1,4,1,2,6,1,48-02515,44,N,N,N
2,6,2,1,2,0,48-02507,60,N,N,70
1,4,1,2,N,0,48-02102,35,3,N,N
2,6,1,0,8,0,48-02101,21,N,N,N
2,3,1,0,4,0,48-02507,92,N,N,190
2,4,1,0,0,0,48-02515,56,N,N,N
2,6,6,1,3,1,48-02515,35,N,N,N
2,4,1,0,0,0,48-02101,46,N,N,N
2,3,1,0,3,0,48-02515,92,N,N,N
1,4,1,0,2,1,48-02515,66,N,N,N
1,6,1,2,1,1,48-02515,23,N,8,N
1,6,2,0,2,0,48-02102,69,N,N,N
1,6,1,0,2,0,48-02102,40,0,N,47
2,4,1,0,8,0,48-02510,82,N,N,N
2,3,1,0,1,0,48-02515,42,N,N,N
1,6,2,0,0,0,48-02515,59,N,N,N
2,6,9,0,1,0,48-02515,60,N,N,N
2,6,6,0,2,0,48-02102,21,N,N,N
1,1,1,0,3,0,48-02102,59,N,N,N
2,3,1,0,0,1,48-02510,92,N,N,N
2,6,2,0,2,0,48-02515,56,N,N,70
2,4,1,1,5,0,48-02102,65,N,N,4
2,3,1,0,3,0,48-02507,92,1,N,91
2,3,1,0,5,0,48-02515,69,N,N,N
1,2,2,0,N,0,48-02101,54,N,N,0
1,6,1,0,0,1,48-02102,35,N,N,N
1,6,1,1,5,1,48-02102,32,N,N,N
2,2,3,0,4,0,48-02515,85,3,N,148
1,6,2,0,0,0,48-02101,15,N,N,N
2,2,1,2,2,1,48-02102,76,3,N,N
2,6,1,0,2,0,48-02101,18,N,N,73
1,6,2,0,4,0,48-02515,29,N,N,N
2,2,1,0,3,0,48-02102,80,N,N,N
1,2,1,0,0,1,48-02102,39,1,3,N
1,3,2,0,2,0,48-02507,86,N,N,N
1,6,2,0,3,0,48-02101,20,N,N,N
1,6,1,0,0,0,48-02102,31,0,N,N
2,6,1,0,3,0,48-02101,46,N,N,84
1,4,1,0,0,0,48-02102,45,N,N,N
1,4,1,0,0,0,48-02102,46,N,N,N
2,3,1,0,2,0,48-02515,79,N,N,N
1,6,9,0,3,1,48-02515,62,N,N,N
1,4,2,0,4,0,48-02516,40,N,N,150
2,4,1,0,1,0,48-02102,39,N,4,N
2,3,1,0,4,0,48-02507,77,N,N,190
1,3,1,0,0,0,48-02515,40,N,N,0
1,6,1,0,3,0,48-02102,21,N,N,N
2,3,1,0,2,0,48-02102,58,N,N,69
1,3,1,0,2,0,48-02101,92,N,N,N
2,3,1,0,1,0,48-02510,92,N,N,N
1,6,1,2,4,0,48-02515,22,N,N,N
1,6,1,0,8,0,48-02101,33,N,N,N
1,2,1,0,2,0,48-02515,68,0,N,N
1,N,1,0,0,0,48-02515,40,N,N,85
2,3,1,0,4,0,48-02507,92,0,N,190
1,6,2,0,2,0,48-02101,28,N,N,69
1,4,1,0,2,0,48-02510,75,0,N,185
1,6,1,0,3,0,48-02102,33,N,N,N
2,2,1,0,0,0,48-02510,78,N,6,N
1,6,1,0,0,0,48-02102,17,N,N,0
2,2,1,0,1,4,48-02515,51,N,N,N
2,6,2,2,2,0,48-02101,56,N,N,70
2,5,9,0,0,0,48-02515,29,N,N,215
1,4,1,0,3,0,48-02507,59,N,N,85
2,6,9,1,2,0,48-02102,20,N,N,N
2,2,1,0,2,0,48-02101,86,N,N,N
2,3,1,1,0,0,48-02515,69,N,N,N
2,4,1,0,6,1,48-02515,44,N,N,N
2,3,1,0,3,0,48-02507,92,N,N,N
1,1,1,0,3,0,48-02102,82,N,3,N
1,5,2,0,0,0,48-02102,27,N,N,N
1,3,2,0,3,0,48-02515,72,N,N,N
2,5,1,0,6,0,48-02101,40,N,N,N
1,6,1,0,0,0,48-02515,30,2,N,N
2,6,1,0,3,0,48-02101,18,N,N,N
1,6,1,0,0,0,48-02515,23,0,N,N
2,3,1,0,3,0,48-02516,92,0,N,N
2,6,1,0,2,0,48-02515,29,N,3,N
2,6,8,0,0,1,48-02102,25,N,N,N
1,4,1,0,0,0,48-02102,50,N,N,N
1,6,1,0,2,0,48-02515,21,N,N,26
2,3,1,0,2,0,48-02510,79,N,N,14
2,3,1,0,4,0,48-02510,92,N,N,N
1,3,2,0,2,0,48-02102,79,N,N,N
2,6,1,2,3,0,48-02101,46,1,N,84
1,1,8,0,2,1,48-02515,28,N,N,N
2,6,1,0,7,0,48-02102,54,N,N,3
1,6,2,0,0,0,48-02102,30,N,N,289
1,1,1,1,N,0,48-02515,21,N,3,N
2,6,2,0,7,0,48-02102,23,N,N,N
1,5,1,0,2,0,48-02102,71,N,N,N
1,6,1,0,3,0,48-02507,45,N,N,N
1,2,1,1,3,1,48-02101,48,N,N,N
2,3,1,0,2,0,48-02515,69,N,N,339
1,6,2,0,0,0,48-02102,33,N,N,445
1,4,1,0,0,0,48-02102,60,N,N,N
2,3,1,1,3,0,48-02101,92,N,3,N
1,5,1,0,4,1,48-02102,28,N,N,N
2,6,1,0,3,0,48-02515,52,N,N,N
1,4,2,0,8,0,48-02102,33,N,N,N
2,6,1,0,4,0,48-02510,92,N,N,115
