AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
63,1,4,1,2,1,N,2,0,8
45,1,4,1,2,1,N,2,0,6
74,1,2,1,2,0,N,2,5,7
75,1,4,2,2,1,N,2,0,7
63,1,4,2,3,0,N,1,1,4
33,1,1,2,1,1,N,2,1,7
44,1,4,1,2,0,N,2,6,5
60,2,6,2,3,0,N,2,2,6
35,1,1,1,2,0,N,2,0,5
21,1,6,2,2,0,N,2,1,7
92,1,3,2,1,0,N,1,2,7
56,1,4,2,2,0,N,2,0,6
35,6,1,2,2,0,N,2,3,1
46,1,4,2,2,1,N,1,0,7
92,1,3,2,2,1,N,2,3,4
66,1,4,1,2,1,N,2,2,4
23,1,6,1,3,0,N,2,6,5
69,2,6,1,1,0,N,2,2,6
40,1,6,1,3,0,N,2,2,6
82,1,4,2,2,0,N,2,2,9
42,1,4,2,2,1,N,2,1,7
59,2,6,1,2,1,N,2,0,5
60,9,6,2,2,0,N,2,1,7
21,6,6,2,1,0,N,2,2,7
59,1,6,1,2,1,N,2,3,4
92,1,1,2,3,0,N,1,0,5
56,2,1,2,3,1,N,2,2,6
65,1,4,2,1,1,N,2,1,6
92,1,3,2,3,2,N,2,3,7
69,1,3,2,2,0,N,2,5,4
54,2,2,1,3,0,N,2,0,5
35,1,6,1,2,0,N,2,0,3
32,1,6,1,2,1,N,2,5,4
85,1,2,2,1,0,N,2,4,6
15,2,6,1,2,0,N,2,0,1
76,1,2,2,2,1,N,2,2,4
18,1,6,2,3,0,N,2,2,4
29,2,6,1,2,1,N,2,4,6
80,1,6,2,2,0,N,2,3,5
39,1,1,1,2,0,N,2,0,7
86,2,3,1,2,1,N,2,3,5
20,2,6,1,3,1,N,2,3,7
31,1,6,1,2,0,N,2,0,5
46,1,6,2,3,0,N,2,3,6
45,1,4,1,2,1,N,2,0,6
46,1,4,1,2,2,N,2,0,5
79,1,3,2,2,0,N,2,2,4
62,9,6,1,2,1,N,2,3,5
40,9,4,1,3,0,N,2,4,9
39,1,4,2,1,1,N,2,1,9
77,1,3,2,3,0,N,2,4,7
40,1,1,1,3,0,N,2,0,7
21,1,6,1,2,1,N,2,N,6
58,1,1,2,3,0,N,2,2,4
92,1,3,1,2,0,N,2,2,9
92,1,3,2,2,2,N,2,1,4
22,1,6,1,2,0,N,2,4,4
33,1,6,1,2,0,N,2,6,5
68,1,2,1,2,2,N,2,2,3
40,1,5,1,3,0,N,2,0,7
92,1,6,2,3,0,N,2,4,7
28,2,6,1,3,1,N,2,2,5
75,1,4,1,2,0,N,2,2,N
33,1,6,1,2,1,N,2,3,10
78,1,1,2,2,2,N,2,0,7
17,1,1,1,3,0,N,2,0,5
51,8,2,2,2,1,N,2,1,5
56,2,5,2,3,0,N,2,2,6
29,1,1,2,2,0,N,2,0,3
59,1,4,1,1,1,N,1,9,7
20,9,6,2,3,0,N,2,2,4
86,1,2,2,2,2,N,2,2,5
69,1,3,2,2,1,N,2,5,4
44,1,4,2,1,0,N,2,6,6
92,1,1,2,2,0,N,2,3,7
82,9,2,1,2,1,N,2,3,5
27,1,2,1,2,0,N,2,0,5
72,2,3,1,2,2,N,2,3,7
40,1,5,2,2,1,N,2,6,7
30,1,6,1,1,0,N,2,0,4
18,1,6,2,1,0,N,2,3,5
23,2,6,1,1,0,N,2,0,7
92,1,3,2,2,0,N,2,3,7
29,1,6,2,1,0,N,2,2,6
25,8,6,2,3,0,N,2,0,7
50,1,4,1,1,0,N,2,0,5
21,1,6,1,1,1,N,2,2,6
79,1,3,2,2,0,N,2,2,4
92,1,3,2,2,0,N,2,4,7
79,1,3,1,2,0,N,2,2,1
46,1,6,2,3,1,N,2,3,6
28,8,N,1,1,0,N,2,2,6
54,1,6,2,3,0,N,2,1,6
30,2,6,1,1,0,N,2,0,6
21,1,2,1,3,0,N,2,1,5
23,2,6,2,3,1,N,2,2,7
71,1,2,1,2,0,N,2,4,1
45,1,6,1,1,0,N,2,3,3
48,1,2,1,1,1,N,2,3,3
69,1,3,2,2,0,N,2,2,11
33,2,6,1,1,0,N,2,6,6
60,1,4,1,2,1,N,2,1,8
92,1,3,2,2,2,N,2,4,5
28,1,5,1,2,0,N,2,4,7
52,1,6,2,2,0,N,2,3,8
33,7,1,1,2,0,N,2,0,6
92,1,3,2,2,2,N,2,4,4
60,9,6,2,2,0,N,2,1,9
43,2,2,1,1,0,N,2,0,4
79,1,2,1,2,0,N,2,3,5
84,1,4,2,2,0,N,2,2,3
19,1,N,1,3,0,N,2,0,7
24,1,1,2,2,2,N,2,4,7
60,2,6,2,2,1,N,2,0,5
18,1,6,2,3,1,N,2,3,5
41,2,6,1,2,0,N,2,2,6
21,2,6,1,2,0,N,2,0,6
24,2,6,2,2,0,N,2,9,7
23,1,6,2,2,0,N,2,2,4
88,1,3,1,2,0,N,2,3,5
37,1,6,1,2,0,N,2,4,7
46,1,6,2,1,0,N,2,3,6
18,1,3,2,3,1,N,2,3,5
81,1,3,1,1,0,N,2,0,7
92,1,3,2,3,0,N,2,3,7
46,1,6,2,3,0,N,2,3,6
62,9,6,1,1,1,N,2,3,5
58,2,6,1,2,0,N,2,2,3
42,2,4,1,3,0,N,2,N,8
67,1,2,1,2,0,N,1,2,5
86,1,6,2,2,1,N,2,2,5
21,2,6,2,3,0,N,2,4,9
61,1,4,2,2,1,N,2,N,4
19,8,1,2,2,0,N,2,0,5
77,1,3,2,2,0,N,2,3,5
39,1,2,1,2,1,N,2,5,5
57,1,4,1,2,0,N,2,2,5
87,1,6,2,2,0,N,2,2,4
21,1,6,1,3,0,N,2,2,6
29,1,4,1,2,1,N,2,0,6
51,9,6,2,1,1,N,2,0,6
30,1,2,2,2,0,N,2,4,6
18,1,6,2,1,0,N,2,3,5
78,9,3,2,2,1,N,1,2,4
37,1,6,1,2,0,N,2,0,5
92,1,3,2,3,1,N,2,4,7
88,1,3,1,1,0,N,2,2,9
30,1,2,1,3,0,N,2,4,5
35,1,6,1,2,1,N,2,0,3
92,1,2,2,2,2,N,2,2,3
47,1,5,2,2,1,N,2,0,1
23,2,6,1,2,1,N,2,2,8
50,1,6,2,1,1,N,1,1,5
84,1,4,2,2,0,N,2,2,3
39,1,2,1,2,0,N,2,0,7
29,2,3,1,2,0,N,2,1,5
92,1,3,2,3,0,N,2,4,7
60,1,6,2,3,1,N,2,3,6
77,1,3,2,3,0,N,2,4,7
92,1,1,2,2,0,N,2,4,5
48,8,6,2,2,1,N,2,0,6
81,2,3,2,2,1,N,2,2,5
48,1,4,2,2,0,N,1,7,6
82,1,1,1,1,0,N,2,3,7
84,1,4,2,2,0,N,2,2,3
27,1,6,2,1,0,N,2,0,5
39,1,6,2,3,1,N,1,0,5
27,1,6,1,2,0,N,2,1,5
48,1,1,1,2,1,N,2,0,7
77,1,3,2,2,1,N,2,3,5
69,2,6,1,2,0,N,2,2,6
79,1,3,1,2,0,N,2,2,7
69,2,6,1,1,0,N,2,2,6
60,1,5,2,1,0,N,2,3,9
28,1,6,1,1,1,N,2,2,6
60,1,4,1,2,0,N,2,1,4
29,1,6,1,1,0,N,2,1,7
26,1,6,1,2,1,N,2,3,6
24,2,6,1,2,1,N,2,0,5
81,1,2,1,2,0,N,2,1,8
44,9,5,1,2,1,N,2,4,5
79,1,6,2,2,1,N,2,2,4
21,2,6,2,3,0,N,2,3,7
58,2,6,1,2,0,N,2,4,3
20,2,6,1,1,0,N,2,9,7
62,2,1,1,3,1,4,2,2,9
63,1,4,2,1,0,N,2,1,3
20,2,6,1,3,0,N,2,1,7
29,1,6,2,2,1,N,2,4,6
40,1,2,1,1,0,N,2,1,7
41,1,6,2,3,0,N,1,2,1
18,2,6,1,3,0,N,2,3,5
59,1,2,1,2,0,N,2,2,6
40,1,5,1,3,0,N,2,0,7
20,3,6,2,1,0,N,2,2,5
46,1,4,1,2,1,N,2,2,7
92,1,3,2,2,1,N,1,4,5
39,1,2,1,1,1,N,2,5,5
60,1,4,2,2,0,N,2,9,6
27,1,4,2,2,0,N,2,0,6
40,1,2,1,3,1,N,2,0,8
27,6,2,2,2,0,N,2,0,3
92,1,3,2,3,0,N,1,0,7
62,1,4,2,2,0,N,2,1,5
60,1,6,2,1,1,N,2,1,5
39,9,4,2,2,2,N,2,0,4
66,1,4,1,2,1,N,2,2,4
28,8,6,1,2,0,N,2,4,5
80,1,4,1,2,1,N,2,6,7
48,1,5,2,2,0,N,2,3,6
74,1,2,1,1,0,N,2,5,7
85,1,2,2,3,0,N,2,4,6
35,1,6,1,1,0,N,2,4,5
65,1,4,2,3,1,N,2,1,6
35,1,6,2,1,1,N,2,1,6
80,1,6,2,2,0,N,2,2,4
77,1,3,2,3,0,N,2,4,7
30,2,6,1,2,1,N,2,N,4
54,1,6,2,3,2,N,2,1,6
52,1,4,1,1,1,N,2,0,5
92,1,1,1,2,0,N,2,3,5
47,1,2,2,2,0,N,2,0,6
38,1,4,2,2,1,N,2,1,6
92,1,3,2,3,1,N,2,9,7
92,1,4,2,2,1,N,2,3,3
39,2,6,2,1,1,N,2,6,9
75,2,4,2,1,2,N,2,3,6
48,2,6,2,1,2,N,2,4,5
31,1,1,2,1,1,N,2,7,10
32,1,1,1,1,1,N,2,8,9
48,1,1,1,1,2,N,1,6,5
46,1,N,2,1,2,N,2,6,5
84,1,3,2,1,2,N,2,8,3
33,1,6,1,1,2,N,2,6,10
70,1,1,2,1,1,N,2,5,7
69,1,1,1,1,1,N,2,8,2
79,1,1,1,1,1,N,2,5,7
77,1,1,2,1,1,N,2,2,5
57,1,4,1,1,1,N,2,5,5
83,1,3,1,1,2,N,2,4,4
81,1,3,2,1,2,N,2,6,5
42,1,1,1,1,1,N,2,1,9
35,1,1,2,1,1,N,2,9,9
30,2,2,1,1,2,N,2,5,8
53,1,6,2,1,2,N,2,6,5
92,1,3,2,1,1,N,2,3,5
66,1,1,2,1,1,N,2,2,11
62,1,4,1,1,1,N,2,4,5
69,1,1,1,1,1,N,2,N,10
30,1,1,2,1,1,N,2,8,9
30,1,1,1,1,1,N,2,8,10
65,1,1,2,1,1,N,2,5,8
65,1,1,1,1,1,N,2,8,7
70,1,1,1,1,1,N,2,6,8
70,3,1,2,1,1,N,2,2,7
72,1,1,1,1,1,N,2,3,9
72,9,1,2,1,1,N,2,0,5
63,1,4,1,1,1,N,2,3,5
66,1,1,1,1,1,N,2,8,10
63,1,4,2,1,1,N,2,7,10
69,1,3,2,1,1,N,2,7,4
37,1,1,1,1,2,N,2,5,5
37,1,1,2,1,2,N,2,0,7
43,1,1,2,1,1,N,2,0,9
44,1,1,1,1,1,N,2,7,7
18,1,6,1,1,1,N,2,0,5
46,1,1,1,3,1,N,2,9,5
34,1,1,2,1,1,N,2,0,9
58,1,4,2,1,1,N,2,6,5
35,1,6,1,1,1,N,1,4,7
70,1,1,2,1,1,N,2,5,5
77,1,1,1,1,1,N,2,3,5
64,1,1,1,1,1,N,2,9,9
56,1,1,2,1,1,N,2,2,8
27,1,6,2,1,0,N,2,4,7
26,1,6,1,1,2,N,2,7,7
55,1,1,1,1,1,N,2,8,5
48,1,1,2,1,1,N,2,2,4
18,1,6,1,1,2,N,2,0,9
63,1,1,2,1,1,N,2,N,10
62,1,2,1,1,1,N,2,9,9
92,1,2,1,1,1,N,2,7,7
66,1,1,1,1,1,N,2,8,7
70,1,1,2,1,1,N,2,3,5
92,1,3,2,1,1,N,2,2,5
39,1,N,2,1,1,N,2,8,5
40,1,1,1,1,1,N,2,8,9
67,1,1,1,1,1,4,2,9,10
61,1,1,2,1,1,N,2,5,12
53,8,1,2,1,1,N,2,6,5
56,1,1,1,1,1,N,2,8,6
26,1,6,2,1,1,N,2,1,5
77,1,3,1,1,2,N,2,5,9
41,1,1,2,1,1,N,2,8,6
47,1,1,1,1,1,N,2,2,7
80,1,3,2,1,1,N,2,3,5
78,1,3,2,1,2,N,2,3,8
59,1,6,1,1,2,N,2,3,5
62,1,1,1,1,1,N,2,4,7
62,1,1,2,1,1,N,2,0,5
41,2,1,1,1,1,N,2,6,5
38,2,1,2,1,1,N,2,0,5
41,1,1,2,1,1,N,2,9,11
39,1,1,1,1,1,N,2,8,9
65,1,6,1,1,2,N,2,3,7
80,1,1,1,1,1,N,2,9,9
77,1,1,2,1,1,N,2,3,5
32,1,1,2,1,2,N,2,8,8
38,1,N,1,1,2,N,2,6,7
55,1,3,2,1,1,N,2,2,6
61,1,4,1,1,1,N,2,7,4
70,1,4,2,1,1,N,2,7,7
69,1,6,1,1,1,N,2,9,10
39,1,6,1,1,1,N,2,4,7
25,3,1,2,1,2,N,2,0,7
25,1,1,1,1,2,N,2,5,5
26,1,6,2,1,1,N,2,8,9
25,1,6,2,1,2,N,2,6,9
24,1,2,2,1,2,N,2,2,9
78,1,3,2,1,2,N,1,7,9
59,1,4,2,1,2,N,2,7,9
50,1,6,1,1,2,N,2,5,5
72,1,4,1,1,1,N,2,8,10
61,1,4,2,1,2,N,2,3,5
30,1,1,2,1,1,N,2,7,9
31,1,1,1,1,1,N,2,8,9
79,1,4,2,1,1,N,2,6,7
58,1,4,2,1,1,N,2,6,5
48,1,1,2,1,1,N,1,0,7
46,1,1,1,1,1,N,2,9,8
16,1,6,2,1,1,N,2,0,4
45,1,4,2,1,2,N,2,8,9
15,1,2,1,1,1,N,2,0,4
67,1,1,1,1,1,N,2,9,12
67,1,1,2,1,1,N,2,2,8
43,1,1,2,1,1,N,2,6,8
46,6,1,1,1,1,N,2,8,1
17,1,6,2,1,1,N,2,2,4
79,1,1,2,1,1,N,2,3,7
65,2,1,1,1,1,N,2,7,9
66,2,1,2,1,1,N,2,4,7
67,1,3,2,1,1,N,2,9,9
39,1,1,2,1,1,N,2,9,10
45,1,1,1,1,1,N,2,6,7
19,1,6,2,1,1,N,2,1,5
45,1,6,2,1,2,N,2,6,5
50,6,6,1,1,1,N,2,2,6
74,1,2,2,1,1,N,2,5,4
20,1,6,2,1,1,N,2,2,5
39,2,1,2,1,1,N,2,8,10
46,2,1,1,1,1,N,2,8,10
15,2,6,1,1,1,N,2,0,4
15,2,6,1,1,1,N,2,0,4
51,1,1,1,3,2,N,2,5,7
40,1,1,2,1,2,N,2,0,7
15,1,6,1,1,2,N,2,0,4
59,1,1,2,1,1,N,2,0,7
61,1,1,1,1,1,N,2,N,5
74,1,4,1,1,1,N,2,7,3
72,1,1,1,1,1,N,2,8,9
77,1,1,2,1,1,N,2,0,5
80,1,1,2,1,2,N,2,8,5
63,2,4,1,1,1,N,2,9,9
47,2,4,2,1,1,N,2,2,3
85,2,3,1,1,1,1,2,3,5
83,2,3,2,1,1,N,2,4,7
55,1,4,1,1,2,N,2,6,9
56,1,5,2,1,2,N,2,3,7
45,1,4,2,1,2,N,2,3,8
40,1,4,1,1,2,N,2,8,4
62,1,1,1,1,1,N,2,8,7
57,1,1,2,1,1,N,2,0,7
29,8,6,1,1,1,N,2,3,5
30,1,4,2,1,1,N,2,1,4
21,1,6,2,1,1,N,2,4,5
37,1,1,1,1,1,N,2,9,5
36,1,1,2,1,1,N,2,7,9
39,1,1,2,1,1,N,2,3,7
57,1,6,2,1,1,N,2,4,5
40,1,6,1,1,1,N,2,0,9
26,1,1,1,1,1,N,2,8,10
27,1,N,2,1,1,N,2,4,9
34,1,1,2,1,1,N,2,7,7
39,1,1,1,1,1,N,2,2,5
41,1,3,1,1,1,N,2,6,7
43,1,1,2,1,1,N,2,6,8
22,1,6,2,1,1,N,2,5,7
48,1,6,1,1,1,N,2,3,9
36,1,1,2,1,1,N,2,0,5
40,1,1,1,1,1,N,2,5,3
54,1,5,1,1,1,N,2,9,1
80,1,4,2,1,1,N,2,1,5
50,1,4,2,1,2,N,2,8,6
66,1,1,2,1,1,N,2,7,9
67,1,1,1,1,1,N,2,8,9
20,1,6,2,1,1,N,2,4,7
18,3,6,2,1,1,N,2,1,4
71,9,2,1,1,1,3,2,9,5
63,1,1,2,1,1,N,2,6,6
53,1,1,1,1,1,N,2,9,5
58,1,1,2,1,1,N,2,7,10
42,1,6,2,1,1,N,2,7,10
57,1,1,2,1,2,N,2,0,9
46,1,1,1,1,2,N,2,9,5
61,2,4,2,1,1,N,2,5,8
66,1,1,1,1,1,N,2,9,10
65,1,1,2,1,1,N,2,9,11
23,1,6,2,1,1,N,2,2,9
68,1,1,2,1,2,N,2,4,7
72,1,1,1,1,2,3,2,5,6
53,8,1,2,1,1,N,2,2,9
54,1,1,1,1,1,N,2,9,10
23,1,6,1,1,1,N,2,7,9
17,1,6,1,1,1,N,2,1,4
15,1,6,1,1,1,N,2,0,4
47,1,1,1,1,1,N,2,5,5
44,1,1,2,1,2,N,2,0,5
19,1,6,2,1,2,N,2,0,4
17,1,6,1,1,1,N,2,0,4
52,1,1,1,1,1,2,2,9,9
49,1,1,2,1,1,N,2,0,9
16,1,6,1,1,1,N,2,1,4
75,1,1,1,1,1,N,2,6,4
81,1,1,2,1,1,N,2,6,7
40,1,1,2,1,1,N,2,0,5
50,1,3,1,1,1,N,2,7,10
60,1,4,1,1,1,N,2,4,5
70,1,1,1,1,1,N,2,9,10
66,1,1,2,1,1,N,2,6,5
39,1,4,2,1,1,N,2,7,10
42,1,1,1,1,1,N,2,8,9
37,1,1,2,1,1,N,2,5,9
42,1,4,1,1,1,N,2,6,7
52,1,2,2,1,1,N,2,5,7
31,1,6,1,1,1,N,2,6,5
28,1,1,2,1,1,N,2,6,5
27,1,6,1,1,1,N,2,4,5
30,1,1,1,1,1,N,2,6,5
35,1,4,2,1,2,N,2,6,5
66,1,1,1,1,1,N,1,3,5
75,1,1,2,1,1,N,2,7,5
56,1,1,1,1,1,N,2,3,5
56,1,1,2,1,1,N,2,7,9
32,1,6,2,1,1,N,2,5,11
64,1,1,2,1,1,N,2,3,5
68,1,1,1,1,1,N,2,4,9
60,1,6,1,1,1,N,2,0,4
55,1,1,1,1,1,N,2,9,11
51,1,1,2,1,1,N,2,0,9
62,1,4,1,1,2,N,2,3,7
68,1,1,1,1,1,N,2,9,5
66,1,1,2,1,1,N,2,2,5
52,1,1,2,1,1,N,2,4,8
53,1,1,1,1,1,N,2,7,8
73,1,1,2,1,1,N,2,0,8
78,1,1,1,1,1,N,2,6,10
35,1,4,2,1,1,N,2,9,9
34,1,1,2,1,1,N,2,7,9
57,1,1,1,1,1,N,2,9,6
57,1,1,2,1,1,N,2,7,9
27,1,6,2,1,1,N,2,5,9
24,1,6,2,1,1,N,2,5,N
50,6,1,1,1,1,N,2,9,10
45,6,1,2,1,1,N,2,7,N
52,1,6,1,1,2,N,2,2,8
59,1,1,1,1,1,N,2,9,7
57,2,1,2,1,1,N,2,0,5
67,1,1,1,1,1,N,2,8,11
63,1,1,2,1,1,N,2,4,7
66,1,5,1,1,2,N,2,7,6
61,1,4,2,1,1,N,2,2,6
80,1,3,2,1,1,N,2,3,5
79,1,3,1,1,2,N,2,2,7
51,1,5,1,1,2,N,2,9,8
35,6,1,1,1,1,N,2,7,5
28,1,1,2,1,1,N,2,6,8
69,1,1,1,1,1,N,2,9,7
62,1,1,2,1,1,N,2,3,7
41,1,1,2,1,2,N,2,3,7
45,1,1,1,1,2,N,2,2,8
21,1,6,2,1,2,N,2,0,5
26,1,6,2,1,1,N,2,7,10
26,1,6,1,1,1,N,2,9,9
63,2,1,1,1,1,N,2,9,7
61,1,1,2,1,1,N,2,7,7
64,1,1,1,1,1,N,2,7,12
62,1,1,2,1,1,N,2,6,11
51,1,1,1,1,1,N,2,9,9
50,1,1,2,1,1,N,2,0,9
19,1,6,1,1,1,N,2,4,5
51,1,4,1,1,1,N,2,8,9
19,1,6,2,1,1,N,2,0,7
16,1,6,1,1,1,N,2,0,4
67,1,1,1,1,1,N,2,2,10
61,1,1,2,1,1,N,2,7,6
34,1,6,2,1,1,N,2,5,7
58,9,1,1,1,1,N,2,4,3
50,1,1,2,1,1,N,2,0,9
23,9,6,1,1,1,N,2,6,8
21,9,6,1,1,1,N,2,2,7
45,1,1,1,1,2,N,2,9,9
42,1,1,2,1,2,N,2,8,9
16,1,6,1,1,0,N,2,0,4
51,1,1,1,1,1,N,2,7,9
50,1,1,2,1,1,N,2,8,9
15,1,6,2,1,1,N,2,2,4
69,1,1,1,1,1,2,2,8,11
64,1,1,2,1,1,N,2,0,7
40,1,1,1,1,2,N,2,6,7
40,1,1,2,1,2,N,2,6,6
55,8,1,1,1,1,N,2,7,6
47,1,1,2,1,1,N,2,3,5
17,1,6,1,1,1,N,2,2,4
28,1,1,1,1,1,N,2,8,9
54,1,1,1,1,1,N,2,8,9
49,1,1,2,1,1,N,2,6,9
28,1,6,2,1,2,N,2,7,10
36,1,1,2,1,2,N,2,2,9
44,1,1,1,1,2,N,2,7,9
57,1,1,1,1,1,N,2,9,10
60,1,1,2,1,1,N,2,3,9
69,1,4,2,1,2,N,2,5,5
76,1,3,2,1,1,N,2,4,5
30,1,1,1,1,1,N,2,6,10
34,1,1,1,1,1,N,2,4,N
50,1,1,1,1,1,5,2,9,9
50,1,1,2,1,1,N,2,0,5
19,1,6,2,1,2,N,2,5,7
15,1,6,1,1,1,N,2,0,4
58,1,1,1,1,1,N,2,9,9
53,1,N,2,1,1,1,2,5,5
25,1,2,2,1,1,N,2,4,5
44,1,1,2,1,1,N,2,1,8
39,1,1,1,1,1,N,2,4,5
84,1,1,1,1,0,N,2,6,9
92,1,1,2,1,2,N,2,4,5
41,1,6,2,1,1,N,2,6,7
49,2,6,2,1,1,N,2,8,7
54,2,1,1,1,1,N,2,6,5
81,1,1,2,1,2,N,2,7,10
51,1,2,1,1,1,N,2,3,5
48,9,4,2,1,1,N,2,3,8
22,8,1,1,1,2,N,1,7,8
23,1,1,2,1,2,N,1,4,7
79,1,3,2,1,1,N,2,5,5
65,1,1,1,1,2,2,2,8,8
68,1,1,2,1,2,4,2,2,7
61,1,4,1,1,1,N,2,5,5
60,1,3,2,1,1,N,2,4,5
26,1,6,2,1,1,N,2,3,9
83,1,3,1,1,1,N,2,0,5
49,1,1,1,1,1,N,2,9,9
18,1,6,1,1,1,N,2,4,4
17,1,6,1,1,1,N,2,2,4
17,1,6,1,1,2,N,2,N,4
15,1,6,1,1,1,N,2,0,4
50,1,1,2,1,1,N,2,0,9
62,1,1,1,1,1,N,2,8,7
62,1,1,2,1,1,N,2,3,7
47,6,1,1,1,1,N,2,6,5
44,6,1,2,1,1,N,2,5,4
23,6,6,1,1,1,N,2,4,5
19,1,6,2,1,1,N,2,3,7
38,6,6,2,1,1,N,2,2,4
48,1,1,1,1,1,N,2,9,9
47,1,1,2,1,1,N,2,7,9
15,1,6,2,1,1,N,2,0,4
66,1,1,2,1,1,N,2,7,5
72,1,1,1,1,2,N,2,9,9
29,1,1,2,1,1,N,2,5,9
39,1,1,1,1,1,N,2,8,7
39,1,1,2,1,1,N,2,0,7
47,1,1,1,1,1,N,2,8,9
17,1,6,1,1,1,N,2,0,4
29,1,6,1,1,1,N,2,5,12
