,DENSITY,DPHY,DREM,PINCP_DECILE,HISP,HOUSING_TYPE,DVET,EDU,MSP,PUMA,NPF,DEAR,RAC1P,SEX,INDP_CAT,DEYE,OWN_RENT,AGEP,NOC
DENSITY,7.016609515630989e-14,-0.036914113682312275,-0.053540995298049364,-0.06321949969549956,-0.14988932537285826,-0.01946196901501329,0.03733636771847896,-0.12562222717360308,-0.10645214933460878,0.20448430763538103,0.09398730949497841,-0.08287786220836843,-0.08173013069966965,0.004994792865088287,-0.060541969446494745,-0.025236915509041426,-0.11982291318259808,0.02584511843414832,0.10656089426512146
DPHY,-0.036914113682312275,2.042810365310288e-14,-0.852922197502326,-0.2362836366794436,-0.02131062309415356,-0.08667994019217859,0.0209300110775282,-0.43177906558993157,-0.30247946732913195,0.05123381934415943,0.13551283530382716,-0.02159137802914747,-5.078379551543e-05,0.01266061462893763,-0.28334792608519527,-0.03294993913390325,0.052849851211647245,-0.2700020488748694,0.15811635863364562
DREM,-0.053540995298049364,-0.852922197502326,-7.505107646466058e-14,-0.2373296360998523,-0.03223365317891465,-0.06317276753557378,0.003672915262540974,-0.4468857558181316,-0.331841102518038,0.02739484793384552,0.1429232465970984,0.007620048166762469,-0.0074884960019021216,-0.02209755034848104,-0.26026681271877766,-0.009385646739189589,0.03221274286104347,-0.312585054563984,0.18239647748853682
PINCP_DECILE,-0.06321949969549956,-0.2362836366794436,-0.2373296360998523,-1.6431300764452317e-14,0.01621602709734654,0.03935282433929373,-0.07671355612025825,-0.3530080086049812,-0.475874894341461,0.06040159295363306,0.19439123828006571,0.03989090128701954,0.0384356766167888,0.07523495156077831,-0.479081564804903,0.013930431786049781,-0.027703407982512484,-0.25888868861077863,0.25025689917820176
HISP,-0.14988932537285826,-0.02131062309415356,-0.03223365317891465,0.01621602709734654,6.572520305780927e-14,0.031010949662615656,0.016305946303732808,0.04290169258381699,0.003558248590608059,-0.08138753098564569,-0.009033034482269983,-0.05050895212037032,-0.1397823679545339,-0.016863318703280946,-0.012779476534055121,-0.03214284333534439,-0.08434041498762587,0.019632330281636433,0.021134793290469675
HOUSING_TYPE,-0.01946196901501329,-0.08667994019217859,-0.06317276753557378,0.03935282433929373,0.031010949662615656,1.6986412276764895e-13,-0.0018497606577162953,-0.03764652099733981,-0.20892045930553166,0.08186084537444252,0.34127089442104125,-0.016564484065442222,0.0680472751003986,0.03580051916541643,0.050405827490145834,-0.028986792770265495,0.54375001398099,0.06819342763087567,0.3470343347343348
DVET,0.03733636771847896,0.0209300110775282,0.003672915262540974,-0.07671355612025825,0.016305946303732808,-0.0018497606577162953,0.0,-0.03945819092613093,0.02853101275188022,-0.048380090518788554,0.030684936455919205,0.11162511961844127,0.010010364232687377,0.08771526156659244,-0.0055283869177414876,0.06762853660417933,-0.0028091261503594873,-0.09701556435728034,0.030945005207665466
EDU,-0.12562222717360308,-0.43177906558993157,-0.4468857558181316,-0.3530080086049812,0.04290169258381699,-0.03764652099733981,-0.03945819092613093,0.0,-0.4595441320257085,0.1035467102623628,0.17513468087400708,-0.0012069273491338225,0.05245284958964814,-0.05294656347605681,-0.48161392037660183,-0.026653366063735938,0.010971068598414367,-0.1469330661954777,0.21653658385242686
MSP,-0.10645214933460878,-0.30247946732913195,-0.331841102518038,-0.475874894341461,0.003558248590608059,-0.20892045930553166,0.02853101275188022,-0.4595441320257085,9.381384558082573e-14,0.028489986319134256,0.5188116610725613,0.010656680951095987,0.056563560089766096,0.009334427158492732,-0.25991254249311513,0.03052647899695258,0.049501344459265455,-0.2881922195311202,0.3969000269032817
PUMA,0.20448430763538103,0.05123381934415943,0.02739484793384552,0.06040159295363306,-0.08138753098564569,0.08186084537444252,-0.048380090518788554,0.1035467102623628,0.028489986319134256,-1.4876988529977098e-14,-0.049194545531038796,-0.006982386676197286,0.06682146325965406,-0.010962692781494225,0.008036906495883366,-0.02514628470533202,-0.024160124310871296,-0.0013309300793986623,-0.027280837049011582
NPF,0.09398730949497841,0.13551283530382716,0.1429232465970984,0.19439123828006571,-0.009033034482269983,0.34127089442104125,0.030684936455919205,0.17513468087400708,0.5188116610725613,-0.049194545531038796,6.472600233564663e-14,-0.09618562140392195,-0.06886212797275755,0.0018054568179101567,0.1726195555974579,-0.07535709167069185,-0.04871869800009865,0.15615257872487692,-0.5683411644688126
DEAR,-0.08287786220836843,-0.02159137802914747,0.007620048166762469,0.03989090128701954,-0.05050895212037032,-0.016564484065442222,0.11162511961844127,-0.0012069273491338225,0.010656680951095987,-0.006982386676197286,-0.09618562140392195,-6.072919944699606e-14,-0.05594104100923287,-0.03655832300307574,-0.08116504851448857,-0.22680262458495226,-0.018211776666779554,0.19891662870479326,-0.10666244814783593
RAC1P,-0.08173013069966965,-5.078379551543e-05,-0.0074884960019021216,0.0384356766167888,-0.1397823679545339,0.0680472751003986,0.010010364232687377,0.05245284958964814,0.056563560089766096,0.06682146325965406,-0.06886212797275755,-0.05594104100923287,-5.473399511402022e-14,-0.008020140096379183,0.04126353064194005,-0.046217409405208125,-0.056276523259616025,0.07999868775505456,-0.026561250535004105
