SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
1,1,1,1,3,1,0,48-02510,N,8033
2,5,1,1,4,7,0,48-02101,9,1592
1,1,1,1,6,6,4,48-02507,N,2249
1,4,1,0,8,7,0,48-02516,7,6206
1,1,1,1,9,10,0,48-02101,12,500
1,N,2,1,N,4,0,48-02102,N,8236
1,4,1,2,4,9,0,48-02510,14,3521
2,1,1,2,6,7,0,48-02102,11,6324
1,4,1,1,4,5,0,48-02510,6,2528
2,N,1,1,N,3,1,48-02516,N,773
2,1,1,2,4,1,0,48-02101,12,204
2,6,1,2,0,4,0,48-02510,N,3672
1,1,1,1,8,7,0,48-02507,N,4037
1,N,1,1,N,3,1,48-02507,N,8090
2,1,1,1,4,7,0,48-02507,N,163
1,6,1,2,0,4,0,48-02507,N,8325
2,6,8,1,4,7,0,48-02516,6,2916
1,1,1,1,9,9,0,48-02510,4,1068
2,1,1,1,9,11,0,48-02515,3,1443
1,1,1,1,7,10,0,48-02510,11,3821
1,3,1,0,6,9,0,48-02507,4,29
1,4,1,1,9,5,0,48-02516,11,552
2,6,1,0,2,6,0,48-02101,N,7344
2,6,1,2,7,7,0,48-02507,1,6478
1,N,1,1,N,3,0,48-02101,N,4565
2,N,1,2,N,3,0,48-02515,N,1579
2,1,1,1,3,10,0,48-02516,6,4323
1,1,1,2,5,4,0,48-02510,12,5232
2,1,1,1,8,9,0,48-02510,4,7650
2,6,1,1,1,9,1,48-02101,14,2981
2,1,1,1,3,7,0,48-02510,14,3891
2,3,1,2,3,5,0,48-02515,N,6431
1,1,1,1,9,10,0,48-02101,16,2606
1,6,1,1,2,5,1,48-02516,8,7251
2,1,1,1,2,7,1,48-02102,N,7132
1,4,1,1,3,7,0,48-02102,N,5263
1,1,1,1,6,9,1,48-02101,12,5241
1,1,1,2,4,7,0,48-02516,N,3473
2,4,1,1,6,5,0,48-02101,N,6532
1,1,1,2,6,5,0,48-02516,3,6398
1,1,1,1,3,4,0,48-02510,3,2110
2,1,1,1,5,9,0,48-02101,N,167
2,N,1,1,N,3,0,48-02101,N,4771
1,N,1,1,N,2,0,48-02510,N,2154
2,1,1,1,8,7,1,48-02515,4,9070
1,3,1,1,6,5,0,48-02507,15,489
1,1,1,1,0,5,0,48-02507,N,958
2,6,1,0,9,3,1,48-02516,5,6609
1,N,1,2,N,2,0,48-02510,N,6831
1,6,1,2,3,7,0,48-02515,N,2533
2,1,1,1,8,7,1,48-02510,9,4669
2,1,1,1,4,5,0,48-02515,16,1708
2,1,1,1,7,9,0,48-02102,11,4802
2,1,1,1,0,5,0,48-02516,6,8561
2,1,1,1,7,8,0,48-02101,15,8461
1,2,1,0,2,3,0,48-02516,N,6545
1,1,1,1,7,10,0,48-02510,11,8724
1,1,1,1,8,5,0,48-02102,N,1293
1,1,1,1,9,7,0,48-02102,16,6316
2,1,1,1,2,6,0,48-02101,14,8838
1,6,1,1,3,5,0,48-02101,N,890
1,1,1,1,6,8,0,48-02101,10,1822
2,1,1,1,8,7,1,48-02516,10,8271
2,N,8,1,N,1,1,48-02515,N,2682
2,1,1,1,8,9,0,48-02516,14,7060
1,1,1,2,4,7,1,48-02516,3,3318
1,3,1,1,6,8,0,48-02507,4,8323
1,1,1,1,8,9,0,48-02102,9,1820
2,1,1,1,3,5,0,48-02102,N,4504
1,1,8,1,9,10,0,48-02507,2,3233
1,4,1,2,7,9,0,48-02515,15,9116
1,N,1,1,N,3,0,48-02101,N,986
2,6,1,1,0,4,0,48-02510,N,8211
1,4,1,2,9,5,0,48-02510,1,7159
1,1,1,1,5,7,0,48-02102,N,3850
1,6,8,1,4,9,0,48-02515,9,7417
2,1,1,2,8,7,1,48-02507,12,7989
2,4,1,1,7,9,0,48-02102,11,4509
1,N,1,1,N,3,1,48-02515,N,8826
1,2,1,2,N,3,0,48-02101,12,6729
1,2,1,2,0,5,4,48-02510,2,839
