AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
42,1,2,1,1,1,N,8,9
11,6,N,2,1,2,4,4,3
14,1,N,2,1,1,N,N,4
16,1,2,2,1,2,N,0,4
68,1,4,1,1,2,N,4,5
56,6,1,2,1,1,N,6,8
38,1,1,1,1,1,N,8,9
50,1,6,1,1,2,N,9,10
25,1,6,2,1,1,N,0,7
26,1,6,1,3,0,N,3,4
46,1,1,2,1,1,N,2,7
43,9,1,1,1,1,N,5,10
91,2,1,1,1,1,N,9,10
68,1,4,1,1,1,N,8,9
35,6,1,1,1,1,N,7,10
70,1,6,1,1,2,N,5,10
14,1,N,1,1,1,N,N,3
54,1,4,1,1,1,N,8,4
85,1,2,2,3,0,N,1,9
31,6,1,2,1,1,N,7,9
55,1,1,1,1,2,N,5,7
57,1,1,1,1,2,N,8,9
64,1,6,1,1,1,N,8,11
12,6,N,1,1,1,N,N,3
78,1,1,1,1,1,N,6,9
57,1,1,2,1,1,N,8,8
27,6,6,2,1,2,N,4,12
4,1,N,2,1,2,N,N,1
34,1,1,1,1,1,N,8,10
56,1,1,2,1,1,N,6,12
38,1,3,1,1,1,N,9,9
26,6,1,2,1,1,N,4,9
49,1,1,2,1,1,N,6,9
67,1,1,2,1,1,N,8,10
89,1,3,1,1,1,N,9,5
19,1,6,2,1,1,N,2,7
79,1,1,1,1,1,N,5,5
60,1,1,2,1,1,N,3,9
62,1,4,2,1,2,N,6,7
33,1,6,2,1,2,N,4,10
45,1,1,2,1,1,N,8,5
17,6,6,2,1,1,N,0,4
55,1,4,2,1,1,N,9,12
60,1,6,1,1,1,N,9,10
44,6,2,2,1,1,N,0,10
53,1,N,1,1,2,N,8,9
5,1,N,2,1,1,N,N,2
64,1,1,2,1,1,N,5,3
4,1,N,2,1,1,N,N,N
44,1,1,1,1,1,N,0,11
74,1,1,1,1,2,N,9,9
40,1,5,1,1,2,N,8,12
73,1,4,1,1,1,N,4,9
47,9,1,1,1,1,N,7,12
68,1,1,1,1,1,N,5,9
4,6,N,1,1,1,N,N,5
33,1,1,2,1,1,N,7,9
10,1,N,1,1,1,N,N,3
63,1,4,2,1,2,N,7,5
51,1,1,1,1,1,N,7,5
14,1,N,1,1,1,N,N,3
29,1,6,2,1,1,N,4,9
72,1,1,1,1,1,N,6,8
63,1,4,1,1,1,N,3,9
9,1,N,2,1,2,N,1,3
11,1,N,2,1,1,N,N,3
12,1,6,2,1,1,N,N,3
53,1,1,1,1,1,N,8,11
56,1,1,2,1,1,N,1,5
23,1,6,2,1,2,N,1,9
58,1,1,2,1,1,N,3,5
51,1,6,2,1,2,N,5,5
53,1,1,2,1,1,N,1,9
79,1,1,2,1,1,N,7,7
16,1,6,1,1,1,N,6,4
50,1,1,2,1,2,N,7,9
91,9,4,2,1,1,N,3,2
0,1,N,1,1,2,N,N,3
71,1,1,2,1,1,N,5,10
57,6,1,2,1,1,N,7,7
15,1,6,1,1,1,N,0,3
59,1,1,2,1,1,N,8,9
14,8,N,1,1,1,N,N,3
23,1,6,2,2,0,N,6,9
21,1,6,2,1,2,N,4,7
66,1,6,2,1,1,N,1,8
3,1,N,1,1,1,N,N,1
51,1,1,1,1,1,N,9,12
25,6,6,1,1,1,N,6,10
94,1,2,2,1,1,N,6,9
31,1,6,1,1,1,N,7,7
34,1,6,2,1,1,N,8,5
75,1,3,1,1,2,N,8,8
34,1,6,2,1,1,N,6,5
72,1,4,2,1,2,N,8,12
19,1,6,2,1,1,N,3,7
17,2,6,1,1,1,N,0,4
19,1,6,1,1,2,N,2,7
71,9,1,1,1,2,N,7,9
33,1,1,1,1,1,N,6,9
58,1,1,1,1,1,N,9,9
68,1,1,2,1,1,N,1,7
32,1,6,1,1,1,N,0,5
91,1,4,1,1,1,N,3,9
71,8,1,1,1,1,N,8,9
53,1,1,2,1,1,N,7,9
39,1,1,1,1,1,N,6,9
51,1,1,2,1,1,N,9,9
32,1,6,1,1,1,N,8,9
24,1,4,2,1,2,N,4,9
35,1,1,1,1,1,N,6,9
14,1,N,2,1,1,N,N,4
60,1,4,2,1,2,N,2,7
14,1,N,1,1,2,N,N,3
68,1,1,1,1,1,N,2,7
81,1,1,1,1,1,N,4,9
53,1,1,2,1,2,N,6,10
54,1,4,2,1,2,N,2,4
26,1,6,2,1,1,N,4,9
46,1,1,2,1,1,N,1,11
33,1,1,1,1,1,N,5,9
0,1,N,2,1,1,N,9,N
35,1,6,2,3,0,N,5,10
53,6,1,1,1,1,N,1,8
4,1,N,2,1,1,N,N,1
36,1,1,2,1,1,N,5,9
43,1,1,1,1,1,N,6,9
64,6,1,1,1,2,N,4,5
1,6,N,2,1,1,4,N,N
62,1,1,2,1,1,N,4,9
19,6,6,1,1,1,N,0,7
20,9,6,2,1,2,N,2,5
69,1,1,2,1,2,N,7,5
20,6,6,2,1,1,N,4,7
19,1,6,1,2,0,N,1,7
61,1,1,2,1,1,N,8,9
58,1,1,2,1,1,N,8,8
75,1,1,2,1,1,N,3,8
49,1,1,2,1,1,N,7,9
70,1,1,2,1,1,N,5,7
14,1,N,1,1,1,N,N,3
66,1,4,2,3,0,N,8,9
65,1,1,2,1,1,N,5,5
10,1,N,2,1,1,N,3,9
3,1,N,1,1,1,N,N,1
41,1,1,1,1,1,N,0,9
74,6,6,1,1,1,N,8,7
3,9,N,1,1,2,N,N,5
51,1,1,1,1,1,N,6,5
53,1,1,1,1,1,N,6,8
15,5,6,1,1,1,N,1,4
62,1,1,2,1,1,N,8,9
18,1,6,2,1,1,N,2,7
2,1,N,2,1,1,N,N,N
59,1,2,2,1,2,N,7,5
8,9,N,2,1,1,N,N,3
64,1,1,1,1,1,N,9,2
45,1,1,2,1,1,N,9,10
50,1,1,2,1,1,N,9,9
24,1,6,2,1,1,N,4,9
15,1,6,2,1,1,N,0,4
62,2,6,1,1,1,N,5,7
68,1,1,1,1,1,N,8,1
14,1,N,1,1,1,N,2,3
18,1,N,2,1,1,N,1,5
22,1,1,2,1,1,N,6,9
0,9,N,1,1,1,N,N,N
56,1,1,1,1,1,N,9,10
12,1,N,1,1,1,N,N,3
23,1,6,2,1,2,N,2,9
61,1,1,2,1,1,N,5,7
29,1,6,2,1,1,N,6,9
52,1,1,2,1,1,N,3,10
56,1,1,1,1,1,N,7,1
88,1,1,2,1,1,N,4,9
31,1,6,1,1,1,N,7,11
52,1,4,2,1,1,N,3,N
52,1,4,1,1,1,N,9,N
15,1,6,2,1,1,N,0,4
72,1,6,2,1,2,N,7,4
75,1,4,2,1,1,N,1,10
17,1,6,1,1,1,N,0,4
56,6,1,1,1,1,N,2,7
19,6,6,1,1,1,N,0,7
60,1,6,2,1,1,N,8,9
60,1,1,2,1,1,N,0,5
33,1,1,1,1,1,N,9,9
14,6,N,1,1,1,N,N,3
19,1,6,2,1,2,N,1,7
60,1,1,2,1,1,N,6,10
64,6,1,2,1,1,N,4,10
39,1,6,1,1,1,N,8,10
60,1,6,2,2,0,N,3,7
6,6,N,2,1,2,N,N,2
41,1,3,2,1,1,N,6,10
43,1,1,2,1,1,N,5,7
31,1,1,2,1,2,N,7,10
69,1,1,1,1,1,N,7,9
68,1,1,1,1,1,N,8,4
11,1,N,2,1,1,N,N,3
41,1,1,1,1,1,N,5,10
57,1,1,2,1,1,N,3,9
21,6,6,2,3,0,N,1,7
7,6,N,2,1,1,N,N,11
70,1,1,2,1,2,N,0,7
27,1,6,2,1,1,N,6,7
57,6,1,2,1,1,N,6,9
18,9,6,1,1,2,N,4,7
9,1,N,2,1,1,N,N,3
16,1,6,2,1,1,N,0,4
91,9,4,2,1,2,N,3,9
90,1,3,2,1,1,N,0,10
21,1,6,1,1,2,N,1,7
37,1,1,2,1,1,N,7,10
47,1,1,1,1,1,N,2,5
6,1,N,2,1,1,N,N,2
61,1,1,1,1,1,N,4,7
85,1,1,2,1,1,N,1,8
16,1,1,2,1,1,N,0,4
86,1,3,1,1,1,N,4,5
43,9,1,1,1,1,N,9,8
61,1,1,2,1,1,N,N,5
46,1,1,2,1,1,N,5,4
44,6,6,1,3,0,N,9,10
15,1,6,1,1,1,N,0,4
44,1,1,2,1,1,N,8,9
34,1,1,1,1,1,N,2,7
0,1,N,2,1,2,N,N,N
80,1,1,2,1,1,N,7,11
80,1,3,1,1,2,N,7,9
79,1,3,2,1,1,N,5,5
52,1,6,2,1,1,N,3,7
8,9,N,1,1,1,N,N,3
47,1,1,1,1,1,N,6,10
85,1,3,2,1,2,N,0,5
73,1,1,2,1,1,N,4,12
61,1,6,1,2,0,N,4,11
80,1,1,1,1,1,2,8,9
90,9,3,1,1,1,N,7,3
86,1,1,2,1,1,N,1,5
71,1,1,2,1,1,N,8,7
52,1,2,2,1,1,N,6,9
51,1,1,2,1,1,N,1,8
40,1,1,1,1,1,N,9,5
8,1,4,1,1,2,N,8,3
0,1,N,2,1,1,N,N,N
49,1,1,1,1,1,N,5,3
36,1,1,1,1,1,1,5,10
39,1,6,1,1,2,N,9,10
56,1,1,1,1,2,N,7,12
79,1,6,2,1,1,N,5,5
4,1,N,1,1,2,N,N,N
11,6,N,1,1,1,N,N,3
10,1,3,1,1,1,N,8,3
40,1,5,2,1,2,N,6,5
67,1,1,2,1,1,N,6,8
33,1,1,1,1,1,N,6,10
16,2,1,2,1,1,N,0,4
58,1,1,1,1,1,N,4,7
14,1,N,2,1,1,N,N,3
78,1,1,2,1,1,N,3,9
77,1,6,2,1,1,N,3,9
66,1,1,1,1,1,N,5,7
67,1,1,1,1,1,N,6,7
15,1,6,2,1,1,N,0,4
19,1,6,1,3,0,N,1,7
16,1,6,1,1,1,N,0,4
16,1,6,1,1,1,N,0,5
65,1,6,2,1,1,N,6,5
73,1,3,1,1,1,N,4,5
16,1,6,2,1,2,N,0,4
55,1,1,2,1,1,N,0,5
65,1,1,2,1,1,N,6,7
73,1,1,1,1,1,N,7,10
13,1,N,2,1,2,N,N,3
72,1,4,1,1,1,N,2,8
11,2,N,1,1,1,N,N,9
17,1,6,2,1,1,N,1,4
57,1,1,2,1,1,N,8,6
3,1,N,2,1,1,N,N,N
5,1,N,2,1,1,N,N,2
24,2,5,1,1,1,N,4,9
6,6,N,2,1,1,4,N,3
21,1,6,1,1,1,N,1,7
24,6,6,2,1,1,N,7,10
94,6,3,2,1,2,N,7,9
32,1,1,2,1,1,N,8,10
79,1,1,2,1,1,N,4,12
