SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
2,1,1,1,6,0,25-01300,50,0,2,501,2
1,1,1,1,8,0,25-01300,44,0,2,501,2
2,3,1,1,5,0,25-02800,52,4,6,199,2
1,6,1,1,8,0,25-00503,50,1,4,501,2
2,1,1,1,6,0,25-01000,66,1,4,501,2
2,3,1,2,3,0,25-01300,86,0,N,501,2
1,1,1,1,9,0,25-01300,31,0,N,501,2
2,1,6,1,5,4,25-01000,25,1,3,501,2
1,4,1,2,6,0,25-02800,78,0,2,15,2
1,1,1,1,9,0,25-02800,56,0,2,501,2
1,1,6,1,9,0,25-00503,62,0,N,501,2
2,1,1,1,5,0,25-00503,64,0,2,56,2
1,6,1,2,5,0,25-01000,21,0,2,321,2
1,6,6,1,2,0,25-01300,23,0,N,501,2
2,1,1,1,6,0,25-00703,54,0,2,501,2
1,1,1,1,9,0,25-00503,54,0,N,501,2
1,1,1,1,8,0,25-02800,70,0,N,501,2
2,6,1,1,3,0,25-00703,29,0,7,481,2
2,1,1,2,2,0,25-00503,70,0,2,501,2
1,4,1,2,5,0,25-02800,66,0,2,51,2
2,6,1,2,0,0,25-00703,19,1,4,154,2
2,6,1,1,7,0,25-00703,40,0,6,501,2
2,1,1,2,1,0,25-01300,62,0,2,205,2
1,N,1,1,N,0,25-01000,0,3,7,501,2
2,1,1,2,7,0,25-00703,69,0,N,501,2
2,5,1,1,9,0,25-02800,58,0,4,501,2
1,4,1,1,5,0,25-01000,57,0,N,501,2
1,1,1,1,9,0,25-01000,59,0,N,501,2
2,N,1,1,N,0,25-00503,0,1,3,501,2
1,1,1,1,8,0,25-00703,75,0,2,501,2
2,6,1,1,5,0,25-00703,24,0,5,427,2
1,6,1,1,8,0,25-00703,18,N,N,501,2
2,6,1,1,3,0,25-01300,21,0,4,301,2
2,6,1,1,4,0,25-02800,32,1,2,163,2
1,1,1,1,8,0,25-01000,38,1,2,501,2
1,N,1,1,N,4,25-02800,9,2,4,501,2
2,6,1,1,4,0,25-00503,63,0,2,28,2
2,1,1,1,8,0,25-01000,59,1,3,501,2
2,1,1,1,7,0,25-00703,49,1,4,501,2
2,1,1,1,5,0,25-00503,52,1,3,113,2
2,6,9,1,5,0,25-00703,27,N,N,438,2
1,6,1,2,3,0,25-02800,22,0,2,422,2
1,N,1,2,7,0,25-00503,68,0,4,501,2
2,1,1,1,7,0,25-01300,62,0,2,501,2
1,1,1,0,0,0,25-01000,55,0,2,0,2
1,4,1,1,5,0,25-00703,59,0,2,331,2
1,6,1,2,0,0,25-00703,24,0,2,0,2
1,6,6,2,1,0,25-00703,21,N,N,89,2
2,1,1,1,9,0,25-00503,52,0,3,501,2
2,1,6,2,0,0,25-00703,43,3,5,160,2
1,4,1,1,2,0,25-00703,72,0,2,501,2
2,N,1,1,N,0,25-01300,2,2,7,501,2
2,6,1,0,1,0,25-00503,18,N,N,N,2
2,1,1,2,3,0,25-01300,47,2,4,253,2
2,N,1,1,N,0,25-01300,7,4,6,501,2
1,1,1,1,3,0,25-02800,57,3,5,224,2
2,1,1,1,3,0,25-01300,70,3,5,471,2
2,1,1,1,5,0,25-00503,64,0,N,501,2
2,6,1,1,3,0,25-00503,68,0,4,112,2
1,6,1,1,8,0,25-01300,43,0,2,501,2
1,1,1,1,7,0,25-00503,10,2,5,501,2
2,N,1,1,N,0,25-00503,5,2,4,49,2
2,3,1,1,7,0,25-01300,75,0,3,501,2
1,1,1,1,7,0,25-01000,48,N,N,501,2
2,4,1,1,9,0,25-00503,50,2,3,501,2
1,4,1,1,9,0,25-01300,47,0,6,501,2
2,N,1,1,N,0,25-00703,6,3,5,303,2
2,3,1,1,1,0,25-01000,71,0,2,501,2
1,2,1,1,N,0,25-00703,8,1,3,501,2
1,1,6,1,7,0,25-01300,37,1,4,501,2
1,6,1,1,9,0,25-00703,30,N,N,501,2
2,6,1,2,4,0,25-00703,47,1,3,220,2
1,1,1,1,8,0,25-01000,72,0,2,501,2
1,1,1,1,8,0,25-00503,59,0,4,501,2
2,1,6,2,3,0,25-02800,44,3,5,380,2
2,1,6,1,5,0,25-01000,54,0,2,92,2
1,6,1,1,1,0,25-00703,21,0,2,335,2
1,4,1,1,7,0,25-02800,68,0,N,501,2
1,N,6,1,N,0,25-02800,13,1,3,501,2
2,6,1,1,N,0,25-01000,0,1,3,501,2
2,1,1,0,6,0,25-02800,61,1,3,467,2
1,1,1,1,6,0,25-01300,50,1,3,501,2
2,6,6,2,0,0,25-00703,15,3,4,0,2
1,N,1,1,N,0,25-01000,3,2,3,501,2
1,2,1,1,4,0,25-00503,53,0,N,501,2
1,4,2,1,N,0,25-01000,0,0,N,331,2
1,1,1,1,9,0,25-01000,36,2,4,501,2
1,1,1,1,5,0,25-00703,37,1,3,501,2
2,1,1,2,9,4,25-00703,41,2,4,501,2
2,N,1,1,3,0,25-01000,78,1,3,501,2
2,6,1,1,0,0,25-00503,18,0,N,0,2
1,1,1,1,8,0,25-00703,45,2,4,501,2
1,4,1,1,9,0,25-02800,45,2,4,501,2
2,2,2,1,5,0,25-00503,27,0,2,501,2
2,6,6,1,2,0,25-01300,60,0,3,501,2
1,6,1,1,7,0,25-00503,24,0,N,501,2
1,1,1,1,9,0,25-00703,43,2,4,501,2
1,1,6,1,4,0,25-01300,71,0,4,320,2
2,1,1,1,4,0,25-02800,94,0,2,143,2
1,6,1,1,2,0,25-00503,62,0,2,56,2
2,N,1,1,N,0,25-01000,4,1,3,501,2
2,6,1,0,2,0,25-01000,65,0,3,N,2
2,1,1,2,7,0,25-02800,57,0,2,501,2
2,N,1,1,N,0,25-01000,2,1,3,501,2
1,1,1,1,1,0,25-00503,27,1,3,52,2
2,6,1,0,1,0,25-01300,19,1,3,N,2
2,1,1,1,7,0,25-01300,40,0,N,501,2
1,1,1,2,4,0,25-00503,45,2,4,419,2
1,1,1,1,5,0,25-02800,47,1,3,405,2
1,4,1,1,9,4,25-01000,40,2,4,501,2
1,3,1,1,6,0,25-02800,28,0,4,347,2
2,6,1,1,0,0,25-01300,52,0,2,389,2
2,6,1,1,2,0,25-00503,30,0,2,363,2
2,1,1,2,4,0,25-00703,30,1,3,246,2
1,1,1,1,8,0,25-00503,56,1,3,501,2
1,1,6,1,8,0,25-02800,37,0,4,501,2
2,1,1,1,4,0,25-02800,57,0,4,501,2
2,1,1,1,9,0,25-02800,65,0,3,501,2
2,1,1,2,2,0,25-02800,81,2,5,353,2
2,1,1,2,3,0,25-01000,40,0,4,329,2
1,6,6,1,0,0,25-01300,15,4,6,501,2
1,1,1,0,3,0,25-00703,38,0,2,357,2
1,6,1,1,1,4,25-02800,21,0,6,285,2
1,N,6,0,N,0,25-02800,3,2,4,467,2
2,6,1,2,2,0,25-00503,18,0,N,251,2
1,6,1,1,4,0,25-00703,74,0,3,501,2
2,6,1,1,4,4,25-01300,32,0,2,200,2
1,1,1,2,7,0,25-01300,62,0,2,406,2
2,6,1,0,0,0,25-01300,88,1,3,N,2
2,6,2,1,6,0,25-02800,32,2,4,501,2
1,1,1,1,8,0,25-00703,45,2,4,265,1
1,1,1,1,8,0,25-02800,34,0,N,501,2
2,1,1,2,4,0,25-00503,57,0,2,114,2
2,1,1,1,2,0,25-01300,81,0,2,193,2
2,6,1,0,1,0,25-00503,21,0,2,357,2
2,3,1,2,4,0,25-02800,94,0,3,72,2
2,1,1,1,6,0,25-00703,48,0,2,501,2
