PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
25-01000,73,2,1,0,1,N,N,1,1,2406.4,8660,6,9,48000.0,5,369,N,2,1,2,2,83.60000000000001,25.6
25-00503,58,2,4,0,1,0,N,1,1,3020.7999999999997,7071,17,8,16400.0,9,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00703,58,2,1,0,1,0,2,1,1,2099.2,6170,8,9,27700.0,9,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00703,61,2,4,0,1,0,N,1,1,2099.2,8080,6,7,80000.0,7,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-01300,59,2,1,0,1,0,3,2,1,1484.8000000000002,4195,8,4,147000.0,4,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00703,44,1,1,0,6,2,4,1,1,2099.2,7970,14,11,0.0,0,168,N,2,2,2,2,83.60000000000001,76.80000000000001
25-01300,44,1,1,0,8,N,N,1,1,1484.8000000000002,770,3,4,155060.0,9,501,N,2,2,2,2,134.0,128.0
25-01000,25,2,6,4,1,0,2,1,0,2406.4,9370,16,9,33900.0,1,N,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00503,22,2,6,0,1,0,2,1,1,3020.7999999999997,7290,10,9,289000.0,9,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00703,62,2,1,0,1,0,3,1,2,2099.2,9480,6,4,50000.0,6,21,N,2,2,2,2,33.2,25.6
25-00703,75,1,1,0,1,0,2,1,1,2099.2,N,N,8,40000.0,5,458,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00503,36,2,1,0,1,2,4,1,1,3020.7999999999997,8180,12,10,37500.0,7,501,N,2,2,2,2,436.40000000000003,230.4
25-01300,75,2,1,0,2,0,4,1,1,1484.8000000000002,N,N,3,101000.0,8,501,N,2,2,2,2,184.4,179.2
25-01000,63,2,1,0,6,0,2,1,1,2406.4,7860,11,5,N,N,325,N,2,2,2,2,83.60000000000001,76.80000000000001
25-01300,17,1,6,0,1,2,4,1,2,1484.8000000000002,N,N,4,226200.0,1,297,N,2,2,2,2,33.2,76.80000000000001
25-01000,50,2,1,0,1,2,4,1,1,2406.4,9070,12,11,39700.0,9,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00703,11,1,N,0,1,1,4,2,0,2099.2,N,N,3,N,N,262,N,2,2,2,2,83.60000000000001,76.80000000000001
25-01300,17,1,6,0,1,1,3,1,1,1484.8000000000002,N,N,4,34920.0,1,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00703,50,1,4,0,1,0,N,1,1,2099.2,4180,4,9,90200.0,9,501,N,2,2,1,2,33.2,76.80000000000001
25-01000,55,1,1,0,6,0,2,1,0,2406.4,7480,6,9,62300.0,9,353,N,2,2,2,2,83.60000000000001,76.80000000000001
25-02800,15,2,6,0,1,1,4,1,1,3635.2000000000003,N,N,4,0.0,0,0,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00503,4,2,N,0,6,2,4,1,1,3020.7999999999997,N,N,1,N,N,501,N,2,N,2,2,184.4,179.2
25-00503,0,2,N,0,1,3,5,1,1,3020.7999999999997,N,N,N,27540.0,5,501,N,2,N,2,2,134.0,128.0
25-00503,51,2,1,0,1,0,4,1,1,3020.7999999999997,8180,6,10,50800.0,5,160,N,2,2,2,2,83.60000000000001,76.80000000000001
25-02800,53,1,1,0,1,0,3,1,1,3635.2000000000003,770,3,5,41800.0,9,501,N,2,2,2,2,83.60000000000001,25.6
25-00503,3,2,N,0,1,1,3,1,1,3020.7999999999997,N,N,1,N,N,344,N,N,N,2,2,33.2,25.6
25-01300,63,1,1,0,1,0,2,1,1,1484.8000000000002,N,N,9,100200.0,8,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00703,9,1,N,0,6,2,4,1,1,2099.2,7970,12,3,N,N,76,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00503,46,2,1,0,1,2,4,1,1,3020.7999999999997,3895,2,7,66800.0,9,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00703,19,2,6,0,1,0,4,3,1,2099.2,670,6,3,11600.0,4,457,N,2,2,2,2,33.2,25.6
25-00703,39,2,1,0,1,2,4,1,0,2099.2,8191,12,10,0.0,0,N,N,2,2,2,2,33.2,25.6
25-00503,35,1,2,0,1,0,2,1,1,3020.7999999999997,1370,12,11,0.0,0,501,N,2,2,2,2,83.60000000000001,128.0
25-00703,49,2,1,0,1,2,4,1,1,2099.2,8191,12,9,61400.0,9,501,N,2,2,2,2,386.0,486.4
25-01000,94,2,3,0,1,0,2,1,2,2406.4,N,N,10,60500.0,7,214,N,2,1,2,1,134.0,128.0
25-00503,40,2,1,0,1,1,3,1,2,3020.7999999999997,6170,15,9,118300.0,5,501,N,2,2,2,2,234.8,230.4
25-01000,69,2,1,0,1,0,4,1,1,2406.4,N,N,12,0.0,0,62,N,2,2,2,2,134.0,76.80000000000001
25-00503,26,1,1,0,1,0,N,1,1,3020.7999999999997,7380,10,5,15180.0,3,96,N,2,2,2,2,134.0,128.0
25-00703,62,1,1,0,1,0,N,1,1,2099.2,5470,4,5,N,N,501,N,2,2,2,2,33.2,25.6
25-01300,55,1,1,0,1,0,N,1,1,1484.8000000000002,3390,10,9,33000.0,4,444,N,1,2,2,2,83.60000000000001,76.80000000000001
25-00703,6,2,N,0,1,1,3,1,2,2099.2,N,N,2,N,N,431,N,2,2,2,2,134.0,76.80000000000001
25-01000,36,1,1,0,1,3,5,1,0,2406.4,6870,9,8,10000.0,0,N,N,2,2,2,2,83.60000000000001,76.80000000000001
25-01000,56,1,1,0,5,0,N,1,2,2406.4,5370,5,10,7000.0,2,164,N,2,2,2,2,83.60000000000001,76.80000000000001
25-01000,50,2,1,0,1,0,N,1,1,2406.4,4990,12,11,11480.0,9,501,N,2,2,2,2,33.2,25.6
25-00703,10,2,6,0,1,1,3,1,1,2099.2,N,N,3,71200.0,9,501,N,2,2,2,2,33.2,76.80000000000001
25-00703,19,2,6,0,1,N,N,1,0,2099.2,5370,9,7,80500.0,1,N,N,2,2,2,2,33.2,25.6
25-00703,64,2,2,0,1,0,2,1,1,2099.2,N,N,5,20000.0,3,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-01000,8,2,N,0,1,2,4,1,1,2406.4,N,N,3,N,N,501,N,N,2,2,2,83.60000000000001,128.0
25-00703,21,2,6,2,1,0,2,1,2,2099.2,4971,4,7,1300.0,1,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-02800,19,1,6,0,1,N,N,3,2,3635.2000000000003,2190,4,7,8010.0,2,402,N,2,2,2,2,33.2,25.6
25-00503,19,2,6,0,1,1,4,1,1,3020.7999999999997,8470,11,7,0.0,0,0,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00503,0,2,N,0,1,N,N,1,1,3020.7999999999997,N,N,N,N,N,501,N,2,N,2,2,134.0,128.0
25-00503,48,2,1,0,1,1,3,1,1,3020.7999999999997,4090,15,5,167250.0,7,235,N,2,2,2,2,134.0,128.0
25-01300,46,2,6,0,1,2,4,1,1,1484.8000000000002,7890,8,N,18700.0,7,501,N,2,N,2,2,33.2,76.80000000000001
25-02800,53,1,6,0,1,0,3,1,1,3635.2000000000003,6770,6,9,1300.0,9,501,N,2,2,2,2,83.60000000000001,25.6
25-02800,16,2,6,0,1,1,3,1,1,3635.2000000000003,N,N,4,N,1,71,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00503,49,2,1,0,1,2,6,1,1,3020.7999999999997,9490,10,10,82830.0,9,501,N,2,2,2,2,386.0,486.4
25-00703,94,2,4,0,2,0,2,1,1,2099.2,N,N,5,200700.0,3,38,N,2,1,2,2,134.0,128.0
25-02800,43,2,1,4,1,0,2,1,1,3635.2000000000003,4590,6,1,28700.0,9,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00703,51,1,N,0,1,1,3,1,1,2099.2,8680,14,10,51200.0,8,501,N,2,2,1,2,134.0,76.80000000000001
25-00703,2,1,N,0,1,4,5,1,1,2099.2,N,N,N,330000.0,9,501,N,2,2,2,2,184.4,179.2
25-01000,60,1,1,0,1,0,4,1,1,2406.4,7860,11,7,38300.0,5,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-01000,52,2,1,0,1,0,2,1,1,2406.4,4290,10,7,17300.0,3,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-01300,46,2,1,0,1,2,5,1,2,1484.8000000000002,8680,14,N,80800.0,9,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00703,64,1,1,0,1,0,N,1,1,2099.2,6370,5,9,714500.0,3,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-02800,66,1,1,0,1,0,2,1,1,3635.2000000000003,7870,11,9,120000.0,8,501,6,2,1,2,2,83.60000000000001,76.80000000000001
25-01000,40,1,1,4,1,1,3,1,1,2406.4,7970,14,9,26600.0,6,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-02800,14,2,N,0,1,3,2,1,2,3635.2000000000003,N,N,3,N,N,477,N,2,2,2,2,386.0,384.0
25-01300,46,1,N,0,1,3,5,1,1,1484.8000000000002,3680,10,10,140000.0,9,501,N,2,2,2,2,184.4,128.0
25-00503,53,1,1,0,1,0,N,1,2,3020.7999999999997,770,3,9,21700.0,0,383,N,2,2,2,2,33.2,76.80000000000001
25-00703,62,2,5,0,8,0,2,1,1,2099.2,7860,11,10,48800.0,9,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-01000,1,2,6,0,1,N,N,1,1,2406.4,N,N,7,N,N,501,N,2,N,2,2,83.60000000000001,76.80000000000001
25-02800,71,1,6,0,1,0,N,1,1,3635.2000000000003,7870,11,8,40000.0,5,501,N,2,2,2,2,134.0,128.0
25-01000,10,1,N,0,1,2,4,1,1,2406.4,N,N,3,N,N,501,N,N,2,2,2,33.2,25.6
25-01000,36,1,1,0,1,3,5,1,1,2406.4,7860,11,9,59100.0,4,362,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00703,58,1,1,0,1,0,3,1,1,2099.2,7460,10,9,120800.0,7,501,N,1,2,2,2,83.60000000000001,76.80000000000001
25-01000,50,2,1,0,1,2,4,1,0,2406.4,7860,11,9,135500.0,4,N,N,2,2,2,2,33.2,25.6
25-00703,65,1,1,0,8,0,N,1,1,2099.2,7290,10,5,120000.0,6,501,N,2,2,2,2,234.8,230.4
25-01300,49,2,1,0,1,0,3,1,1,1484.8000000000002,8191,12,10,25200.0,9,501,N,2,2,2,2,134.0,128.0
25-00703,68,2,1,0,1,0,3,1,2,2099.2,8770,8,7,2000.0,3,258,N,2,2,2,2,134.0,179.2
25-00703,68,2,1,0,1,0,2,1,0,2099.2,N,N,10,10.0,1,N,N,2,2,2,2,83.60000000000001,128.0
25-02800,44,1,1,2,1,2,5,1,1,3635.2000000000003,7370,4,9,57450.0,9,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-01000,59,2,1,0,1,0,2,1,1,2406.4,3390,4,7,99300.0,9,501,N,2,2,2,2,83.60000000000001,76.80000000000001
25-00703,70,1,1,0,1,0,2,1,1,2099.2,N,N,5,103800.0,7,501,N,2,2,2,2,134.0,128.0
25-02800,79,2,3,0,1,0,2,1,2,3635.2000000000003,N,N,10,10000.0,2,501,N,2,2,2,2,33.2,76.80000000000001
25-00703,64,2,1,0,1,0,N,1,0,2099.2,6670,6,7,11300.0,3,N,3,2,2,2,2,33.2,25.6
