,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
0,25-01000,30,1,3,0,1,0,N,1,1,3635.2000000000003,10,5,367000.0,4,501,N,2,2,2,2
1,25-01300,0,2,6,0,6,0,N,1,1,1484.8000000000002,N,10,169100.0,3,265,N,2,2,2,2
2,25-02800,25,2,1,0,6,0,2,1,1,3635.2000000000003,9,5,50000.0,6,501,N,2,2,2,2
3,25-02800,46,1,3,0,1,0,N,1,1,3635.2000000000003,3,9,87820.0,7,501,N,2,2,2,2
4,25-00503,6,1,6,0,1,2,4,1,1,3020.7999999999997,N,5,343000.0,3,501,N,2,2,2,2
5,25-01300,44,2,4,2,1,0,N,1,2,1484.8000000000002,18,10,122000.0,9,249,N,1,2,2,2
6,25-00703,32,1,1,0,1,1,3,1,1,2099.2,N,7,0.0,0,501,N,2,N,2,2
7,25-01300,68,2,1,0,1,0,2,1,1,1484.8000000000002,6,5,18100.0,5,501,N,2,1,2,2
8,25-00703,37,2,1,0,6,0,4,1,2,2099.2,13,7,33500.0,1,211,N,2,2,2,2
9,25-01000,87,2,6,0,1,0,4,1,2,2406.4,0,3,26710.0,2,398,N,2,2,2,2
10,25-02800,46,1,6,0,1,2,4,1,1,3635.2000000000003,14,N,35400.0,7,501,N,2,2,2,2
11,25-00503,26,2,6,0,1,0,5,1,2,3020.7999999999997,11,3,74350.0,1,253,N,2,2,2,2
12,25-00703,25,2,1,0,1,1,3,1,1,2099.2,11,9,109000.0,8,501,N,2,2,2,2
13,25-02800,49,1,6,0,1,0,N,1,1,2099.2,10,6,62000.0,8,501,N,2,2,2,2
14,25-00703,56,1,6,0,1,1,N,2,0,2099.2,15,5,0.0,0,216,N,1,2,2,2
15,25-01300,37,1,1,0,1,2,4,1,1,1484.8000000000002,1,10,155300.0,9,501,N,2,2,2,2
16,25-02800,36,2,6,0,1,0,N,3,0,3635.2000000000003,N,10,0.0,0,N,N,2,2,2,2
17,25-00703,94,2,1,0,1,2,4,1,1,2099.2,4,N,950.0,9,501,N,2,2,2,2
18,25-00503,85,2,6,0,1,0,N,1,1,3020.7999999999997,14,5,67500.0,2,501,N,2,2,1,2
19,25-00503,71,2,1,0,1,0,2,1,2,1484.8000000000002,N,4,96200.0,2,488,N,N,2,2,2
20,25-02800,71,2,1,2,6,0,2,1,2,3635.2000000000003,N,7,0.0,0,394,N,2,2,2,2
21,25-01300,61,2,N,0,1,0,3,1,1,1484.8000000000002,N,3,N,N,501,N,2,2,2,2
22,25-01300,22,1,6,0,1,1,4,1,1,1484.8000000000002,10,10,110100.0,9,501,N,2,2,2,2
23,25-02800,2,1,3,0,1,0,N,1,1,3635.2000000000003,16,9,29600.0,7,501,N,2,2,2,2
24,25-00703,56,1,1,0,1,0,2,1,2,2099.2,10,9,36200.0,9,501,N,2,2,2,2
25,25-01000,22,1,4,0,1,0,3,1,1,2406.4,9,4,46800.0,8,501,N,2,2,2,2
26,25-00703,49,2,1,0,1,0,2,1,1,2099.2,0,5,67900.0,5,501,N,2,2,2,2
27,25-02800,50,1,1,0,1,0,2,1,1,1792.0,3,10,180000.0,3,268,N,1,2,2,2
28,25-00703,33,1,6,0,1,1,3,1,2,2099.2,16,N,50000.0,7,477,N,2,2,2,2
29,25-01000,74,1,1,0,1,0,2,1,1,2406.4,6,7,76700.0,2,501,N,2,1,2,2
30,25-00503,38,2,6,0,1,0,2,1,1,3020.7999999999997,6,5,23700.0,1,27,N,2,2,2,2
31,25-01000,62,1,4,0,1,0,N,1,2,2406.4,18,10,332500.0,5,483,N,2,2,2,2
32,25-02800,13,1,1,0,1,1,3,1,1,2099.2,3,4,633200.0,6,501,N,2,2,2,2
33,25-01300,42,2,6,0,1,2,4,1,1,1484.8000000000002,11,5,21500.0,1,349,N,2,2,2,2
34,25-00503,31,2,4,0,1,1,3,1,1,3020.7999999999997,6,7,68800.0,6,499,N,2,1,2,2
35,25-00503,73,1,6,0,1,1,3,3,0,3020.7999999999997,10,5,24410.0,1,N,N,2,2,2,2
36,25-00703,23,1,1,0,6,1,2,1,2,2099.2,14,9,29510.0,2,373,N,2,2,2,2
37,25-00703,84,1,1,0,1,0,2,1,1,2099.2,N,2,96700.0,8,501,N,2,2,2,2
38,25-00503,88,2,1,0,1,0,2,1,1,3020.7999999999997,N,8,6400.0,8,501,N,N,2,2,2
39,25-01300,57,1,1,0,1,0,2,1,1,1484.8000000000002,1,5,10800.0,3,501,N,2,2,2,2
40,25-00703,32,2,1,0,1,1,3,1,1,2099.2,12,9,18200.0,7,435,N,2,2,2,2
41,25-00703,14,2,N,1,1,2,4,1,1,2099.2,N,2,N,N,501,N,2,N,2,2
42,25-00703,65,1,1,1,1,0,2,1,1,2099.2,N,9,296600.0,3,497,N,2,2,2,2
43,25-00503,9,1,6,0,1,2,4,1,2,3020.7999999999997,N,7,29200.0,0,501,N,2,N,2,2
44,25-00703,2,2,1,0,1,0,4,1,1,2099.2,17,5,195200.0,5,484,N,2,2,2,2
45,25-02800,81,2,3,0,1,0,N,1,1,3635.2000000000003,6,5,78000.0,3,203,N,2,2,2,2
46,25-01300,41,2,2,3,1,0,2,1,1,1484.8000000000002,18,9,40560.0,2,501,N,2,2,2,2
