,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
0,2,6,2,1,5,0,25-00703,73,0,2,459,2
1,1,N,2,2,N,0,25-02800,10,2,4,408,2
2,2,6,1,2,1,2,25-01000,15,1,3,264,2
3,1,1,1,1,8,0,25-00703,47,1,4,501,2
4,2,4,1,1,8,0,25-00703,61,0,N,501,2
5,2,3,1,1,7,0,25-02800,81,0,2,382,2
6,2,1,1,1,1,0,25-02800,50,0,3,501,2
7,2,1,1,1,3,0,25-01000,63,0,2,41,2
8,1,4,1,1,7,0,25-00703,61,0,N,501,2
9,2,1,1,2,5,2,25-00703,28,0,N,89,2
10,1,1,1,1,8,0,25-02800,44,3,5,501,2
11,1,1,1,1,8,0,25-00503,33,0,2,501,2
12,2,6,1,1,7,0,25-00703,33,0,2,501,2
13,1,6,1,1,9,0,25-01300,52,2,4,501,2
14,1,6,1,0,2,0,25-00703,19,1,3,N,2
15,2,N,1,1,N,0,25-01300,5,2,5,501,2
16,2,1,1,1,1,0,25-00703,48,1,2,501,2
17,1,1,1,1,8,0,25-01000,29,0,2,501,2
18,2,6,1,1,8,0,25-00703,31,0,N,501,2
19,1,1,1,1,5,0,25-02800,41,3,4,422,1
20,1,6,1,0,0,0,25-00703,17,1,4,N,2
21,2,6,1,1,7,0,25-00503,41,2,7,501,2
22,1,3,1,1,7,0,25-02800,72,0,4,501,2
23,2,1,1,2,4,0,25-00703,49,4,6,196,2
24,2,1,1,1,8,0,25-00503,70,0,2,501,2
25,2,1,9,1,0,0,25-00703,39,2,4,66,2
26,2,N,6,1,N,0,25-01300,7,3,5,180,2
27,2,6,1,1,7,0,25-00503,28,0,2,501,2
28,2,6,1,1,5,0,25-00703,24,0,N,387,2
29,1,6,1,1,1,0,25-01300,25,0,3,501,2
30,2,1,1,1,8,0,25-01000,29,0,2,501,2
31,1,6,1,0,1,0,25-00703,21,N,N,N,2
32,2,1,1,1,6,0,25-01300,29,0,2,501,2
33,2,6,1,1,1,0,25-00503,20,N,N,273,1
34,2,1,2,1,2,0,25-00503,65,0,3,501,2
35,2,6,1,1,7,0,25-00703,72,0,3,501,2
36,2,6,1,0,1,4,25-00703,19,N,N,N,2
37,1,6,1,1,2,0,25-00503,21,0,3,63,2
38,1,6,1,2,6,0,25-01300,26,1,3,252,2
39,2,3,1,0,3,0,25-02800,75,0,3,N,2
40,1,N,1,1,N,1,25-01300,11,3,5,7,2
41,2,6,1,2,1,4,25-01000,15,1,5,21,2
42,2,6,1,1,8,0,25-00503,29,N,N,261,2
43,2,4,1,1,9,0,25-00703,53,0,3,501,2
44,2,1,1,1,5,0,25-00503,73,0,N,501,2
45,1,1,1,2,6,0,25-00703,73,0,2,186,2
46,2,6,1,1,4,0,25-00703,91,0,3,2,2
47,1,1,1,1,3,0,25-00503,43,2,4,501,2
48,2,1,1,1,8,0,25-00503,83,0,N,501,2
49,2,1,1,1,2,0,25-00703,66,0,2,95,2
50,1,1,1,1,3,0,25-00703,58,1,3,397,2
51,1,6,1,1,8,0,25-01000,57,0,N,501,2
52,1,1,1,1,3,0,25-02800,53,0,N,60,2
53,1,1,1,1,1,0,25-02800,33,0,N,501,2
54,2,1,6,1,5,0,25-01000,58,0,5,501,2
55,2,1,1,1,2,0,25-00703,72,0,2,501,2
56,1,1,1,1,8,0,25-00703,39,2,4,501,2
57,2,1,1,1,2,0,25-02800,75,0,2,489,2
58,2,1,1,1,5,0,25-00503,30,0,4,501,2
59,2,1,1,2,3,0,25-02800,65,0,7,488,2
60,1,1,1,1,4,0,25-01000,77,0,3,106,2
61,1,6,1,0,0,0,25-00503,15,2,6,N,1
62,1,N,1,1,N,0,25-01300,13,3,6,501,2
63,1,6,1,1,0,0,25-01000,16,2,4,25,2
64,2,4,1,1,5,0,25-01300,24,0,2,501,2
65,2,4,1,1,2,2,25-00703,47,1,4,91,2
66,1,4,1,1,8,0,25-00503,55,0,4,501,2
67,1,1,1,1,9,0,25-00703,44,1,3,501,2
68,2,6,1,1,1,0,25-00703,57,0,4,501,2
69,2,6,1,1,7,0,25-00503,28,0,N,501,2
70,1,1,1,1,4,0,25-01000,63,0,3,468,2
71,2,6,1,1,8,0,25-00503,64,0,N,501,2
72,2,6,1,1,0,4,25-00703,16,2,4,366,2
73,1,6,9,1,6,0,25-00703,35,0,N,501,2
74,2,2,6,1,5,0,25-02800,28,1,3,416,2
75,1,1,1,1,4,0,25-00703,73,0,N,501,2
76,2,N,1,1,N,0,25-01000,5,N,N,501,2
77,1,1,1,2,6,0,25-00703,41,1,3,395,2
78,2,1,1,1,2,0,25-00703,63,0,3,155,2
79,1,1,1,1,9,0,25-00703,59,0,3,501,2
80,1,1,6,1,2,0,25-02800,81,N,N,501,2
81,2,N,1,1,N,0,25-00703,9,2,3,423,1
82,2,6,9,2,6,0,25-02800,28,0,2,140,2
83,2,1,1,2,7,0,25-00503,55,N,N,501,2
84,2,1,1,1,2,0,25-00703,37,2,5,126,2
85,2,1,1,1,2,4,25-00503,75,0,2,403,1
86,1,1,1,1,7,0,25-00703,38,1,3,501,2
87,2,1,1,1,9,0,25-01300,73,0,2,501,2
88,1,4,1,1,8,0,25-02800,73,0,3,501,2
89,2,6,1,2,6,0,25-00503,48,0,N,486,2
90,1,N,1,2,N,4,25-00703,12,2,4,375,2
91,1,1,1,1,7,0,25-00703,62,0,2,414,2
92,2,1,1,2,7,0,25-02800,33,0,4,501,2
93,2,6,1,0,7,0,25-00503,24,0,2,N,2
94,1,1,6,1,7,0,25-02800,73,0,4,501,2
95,2,1,1,1,4,0,25-00703,78,0,N,489,2
96,2,4,1,1,1,0,25-01300,94,N,N,91,2
97,2,6,1,1,3,0,25-00703,89,N,N,452,2
98,2,6,1,2,2,0,25-00503,20,0,2,300,2
99,1,N,1,2,N,0,25-00703,7,3,5,443,2
100,1,1,1,1,8,0,25-00703,48,0,N,501,2
101,1,N,1,1,N,0,25-00703,14,2,4,463,2
102,1,N,8,1,N,0,25-00503,0,0,4,501,2
103,2,1,1,0,1,0,25-00503,73,0,2,N,2
104,1,1,1,1,6,0,25-00503,34,2,4,501,2
105,2,1,3,2,4,0,25-00703,35,0,N,252,2
106,1,1,2,1,6,4,25-00703,78,0,3,230,2
107,1,1,1,1,5,0,25-01000,57,0,2,141,2
108,2,5,1,1,7,0,25-00503,71,0,N,501,2
109,1,6,8,2,1,0,25-01300,16,4,7,294,2
110,1,1,1,1,9,0,25-00503,63,0,2,501,2
111,2,1,1,1,6,0,25-00703,57,0,2,501,2
112,2,1,1,1,0,0,25-01000,36,0,N,501,2
113,2,N,1,1,N,0,25-01300,13,2,4,501,2
114,1,N,9,1,N,0,25-02800,12,0,3,501,2
115,2,1,1,1,7,0,25-01000,67,0,N,501,2
116,2,4,1,1,0,0,25-01300,53,0,2,199,2
117,2,6,2,1,0,0,25-00703,16,1,3,387,2
118,2,1,1,1,7,0,25-01000,46,0,2,501,2
119,1,6,1,1,2,0,25-00503,22,0,3,501,2
120,1,6,1,2,4,0,25-01000,87,0,N,302,2
121,2,1,1,1,4,0,25-02800,67,2,4,243,2
122,1,1,1,1,8,0,25-00503,43,0,6,501,2
123,1,6,1,1,8,0,25-01000,41,3,5,501,2
124,1,1,1,2,3,0,25-00703,84,0,2,408,2
125,1,4,1,1,0,0,25-02800,39,4,6,501,2
126,2,1,6,1,5,0,25-00503,58,0,N,51,2
127,1,4,1,1,9,0,25-00703,58,1,3,501,2
128,1,N,1,1,N,0,25-00503,2,0,2,271,2
129,2,6,1,1,5,0,25-00503,28,1,3,501,2
130,2,1,1,1,4,0,25-00703,48,1,3,501,2
131,2,1,1,1,7,0,25-01000,28,0,2,501,2
132,2,4,1,2,2,0,25-00703,56,0,N,269,2
133,1,1,1,1,9,0,25-01300,47,1,3,501,2
134,1,N,6,1,N,0,25-02800,8,2,4,501,2
135,2,1,1,1,8,0,25-02800,32,2,6,501,2
136,1,1,6,0,1,0,25-00503,46,1,4,N,2
137,1,1,1,1,8,0,25-00503,58,0,2,501,2
138,1,N,1,1,N,0,25-01300,10,1,2,501,2
139,1,N,1,2,N,4,25-00503,7,2,4,501,2
140,2,N,1,1,N,0,25-02800,14,2,7,501,2
141,2,1,1,1,8,0,25-00503,50,2,4,501,2
142,1,N,9,1,N,0,25-01300,2,0,2,470,2
143,2,6,1,1,6,0,25-02800,60,0,6,238,2
144,1,1,1,1,8,0,25-01000,72,0,N,501,2
145,2,6,1,2,1,0,25-01300,18,N,N,301,2
146,2,1,1,1,8,0,25-00503,40,0,4,501,2
147,2,1,1,1,4,0,25-00703,40,1,3,501,2
148,1,1,1,1,8,0,25-02800,62,0,2,501,2
149,1,6,1,1,3,0,25-00503,27,0,2,298,2
150,1,4,1,2,2,0,25-00503,51,2,4,323,2
151,1,N,1,1,N,0,25-00503,3,1,3,501,2
152,2,N,2,1,N,0,25-02800,13,3,5,501,2
153,2,1,6,1,2,0,25-01000,87,0,2,412,2
154,2,4,1,1,9,0,25-02800,62,0,N,501,2
155,2,6,6,0,1,4,25-01300,16,1,3,N,2
156,1,1,1,1,8,0,25-01000,72,0,3,423,2
157,2,2,1,1,0,0,25-00503,71,0,3,501,2
158,2,1,1,1,4,0,25-02800,62,0,2,427,2
159,1,2,1,2,2,0,25-00503,19,N,N,174,2
160,2,6,1,1,1,0,25-00703,21,0,3,501,2
161,1,N,1,1,N,0,25-01000,12,4,6,501,2
162,2,6,1,1,1,0,25-00503,15,1,4,401,2
163,1,1,1,1,0,0,25-00703,39,0,N,501,2
164,1,1,1,2,6,0,25-01300,37,1,4,501,2
165,1,N,2,1,N,0,25-00503,8,1,3,501,2
166,1,3,1,1,N,0,25-01000,4,N,N,235,2
167,1,N,6,1,N,0,25-00503,2,2,4,89,2
168,1,N,1,1,N,0,25-00703,14,2,4,501,2
169,1,1,1,2,8,0,25-01000,33,0,N,277,2
170,2,1,1,1,0,0,25-00503,69,0,2,0,2
171,2,1,1,1,5,0,25-02800,58,0,N,501,2
172,2,6,1,1,0,0,25-00703,20,N,N,501,2
173,2,1,1,1,5,0,25-00703,53,4,6,501,2
174,2,4,1,1,8,0,25-00503,53,0,2,501,2
175,1,6,1,1,6,0,25-00703,48,2,4,501,2
176,2,1,1,1,7,0,25-02800,35,2,4,501,2
177,2,3,1,0,3,0,25-02800,85,0,2,N,1
178,1,N,1,1,6,0,25-01300,49,0,N,166,2
179,1,1,1,1,8,0,25-00703,54,0,2,501,2
180,2,N,1,0,1,0,25-00703,30,0,4,N,2
181,2,N,6,1,N,0,25-01300,2,2,4,501,2
182,2,1,6,1,5,0,25-01000,46,1,2,501,2
183,2,6,1,1,4,0,25-00503,22,0,N,176,2
184,2,6,6,0,0,0,25-01000,16,3,5,N,1
185,1,N,6,1,N,0,25-00503,11,3,4,501,2
186,1,1,1,1,9,0,25-01300,58,0,2,501,2
187,1,1,1,1,7,0,25-00503,69,0,3,501,2
188,1,N,1,1,N,0,25-01300,13,0,2,501,2
