,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
0,25-02800,65,1,4,2,1,0,2,1,1,3635.2000000000003,N,9,32000.0,4,264,N,2,2,2,2
1,25-01300,5,1,N,0,1,3,5,3,0,1484.8000000000002,N,2,50000.0,6,N,N,2,2,2,2
2,25-00703,42,1,1,0,1,2,4,1,1,2099.2,10,9,240600.0,5,212,N,2,2,2,2
3,25-02800,69,2,1,0,1,0,N,1,1,3635.2000000000003,9,5,28000.0,7,501,N,2,2,2,2
4,25-00503,28,1,6,0,1,0,2,1,1,3020.7999999999997,17,7,90000.0,1,285,N,2,2,2,2
5,25-02800,10,2,N,0,1,2,5,1,1,3635.2000000000003,N,3,N,N,501,N,2,2,2,2
6,25-01000,46,2,2,0,1,0,2,1,1,2406.4,8,9,48000.0,6,501,N,2,2,2,2
7,25-00703,72,2,1,0,1,0,4,1,1,2099.2,12,7,341000.0,5,501,N,2,2,2,1
8,25-01300,11,2,N,0,1,0,2,1,1,1484.8000000000002,10,3,N,N,501,N,N,2,2,2
9,25-02800,28,2,6,0,1,0,2,1,1,3635.2000000000003,11,10,461000.0,9,501,N,2,2,2,2
10,25-00503,17,2,6,0,1,0,2,1,1,3020.7999999999997,13,4,93040.0,4,247,N,2,2,2,2
11,25-02800,42,2,1,0,1,4,6,1,1,3635.2000000000003,16,9,80000.0,7,501,N,2,2,2,2
12,25-01000,7,2,N,4,1,1,3,1,1,2406.4,N,11,N,N,481,N,2,2,2,2
13,25-01000,42,1,1,0,1,2,4,1,1,2406.4,4,11,50000.0,6,501,N,2,2,2,2
14,25-00703,25,2,6,0,1,0,N,1,1,2099.2,11,8,8400.0,9,501,N,2,2,2,2
15,25-00503,57,1,6,0,1,0,4,1,1,3020.7999999999997,16,6,-4560.0,9,501,N,2,2,2,2
16,25-02800,58,2,1,0,1,0,7,1,1,3635.2000000000003,16,5,132100.0,2,501,N,1,2,2,2
17,25-01300,58,2,1,0,1,0,2,1,1,1484.8000000000002,10,5,33000.0,2,271,N,2,2,2,2
18,25-00703,55,1,1,0,1,1,3,1,1,2099.2,N,9,123220.0,4,501,N,2,2,2,1
19,25-00503,28,2,6,0,2,0,3,1,1,3020.7999999999997,12,10,70000.0,7,501,N,2,2,2,2
20,25-01000,62,1,4,0,1,0,2,1,1,2406.4,7,8,58600.0,9,501,N,2,2,2,2
21,25-02800,25,2,6,0,2,2,5,1,2,3635.2000000000003,11,7,20000.0,3,137,N,2,2,2,2
22,25-01300,94,2,3,1,1,0,4,2,0,1484.8000000000002,N,5,5300.0,7,N,N,2,1,2,2
23,25-00703,36,1,1,0,1,0,5,1,1,2099.2,16,10,95010.0,8,501,N,2,2,2,2
24,25-02800,77,2,1,0,1,0,N,1,1,3635.2000000000003,N,5,45000.0,5,365,N,2,1,2,2
25,25-01300,41,2,1,0,1,2,4,1,1,1484.8000000000002,10,5,124100.0,9,501,N,2,2,2,2
