,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
0,32,1,1,2,1,1,N,6,9
1,24,1,6,1,1,2,N,6,9
2,41,1,1,1,1,1,N,8,8
3,88,1,4,2,1,1,N,5,5
4,35,1,1,1,1,2,N,8,9
5,83,1,6,2,2,0,N,6,7
6,1,6,N,1,1,1,N,N,N
7,91,6,4,2,1,1,N,2,5
8,43,6,1,1,1,2,N,9,9
9,74,1,1,2,1,1,N,3,5
10,31,1,6,2,1,1,N,1,9
11,32,1,1,2,1,1,N,2,8
12,50,1,6,1,1,1,N,5,11
13,43,1,1,1,1,1,N,8,10
14,19,1,6,2,1,2,N,1,7
15,15,1,6,1,3,0,N,1,4
16,30,1,6,2,1,1,N,4,5
17,48,1,1,1,1,1,N,9,5
18,9,1,N,2,1,2,N,N,3
19,62,1,1,2,1,1,N,0,9
20,70,1,1,1,1,1,N,2,3
21,49,1,1,2,1,1,N,3,9
22,78,2,N,2,1,1,N,6,5
23,80,1,1,1,1,1,N,4,9
24,67,1,4,1,1,1,N,6,6
25,13,1,N,2,1,1,N,N,3
26,29,2,6,1,1,1,N,9,7
27,0,1,N,2,1,1,N,N,5
28,64,1,4,2,1,1,N,4,5
29,4,1,N,1,1,1,N,N,5
30,77,1,3,2,1,2,N,5,9
31,52,1,1,1,1,1,N,6,9
32,75,1,1,2,1,1,N,3,10
33,35,1,6,2,1,1,N,8,10
34,25,1,6,1,1,1,N,2,9
35,45,6,1,1,1,1,N,8,10
36,24,2,1,2,1,1,N,3,9
37,43,1,1,1,1,1,N,7,10
38,73,1,4,2,1,1,N,4,5
39,26,1,6,2,1,1,N,7,9
40,13,1,N,1,1,2,N,N,3
41,64,1,6,1,1,1,N,7,9
42,25,1,6,2,1,1,N,4,7
43,60,1,6,2,1,1,N,6,7
44,60,1,1,1,1,1,N,8,7
45,77,1,1,2,1,1,N,7,4
46,20,1,6,2,1,1,N,1,7
47,14,1,N,2,1,1,N,N,3
48,6,1,N,2,1,1,N,N,2
49,59,1,6,1,1,1,N,0,5
50,42,1,1,1,1,1,N,9,11
51,72,1,1,1,1,1,N,7,4
52,14,9,N,1,1,1,N,N,3
53,70,9,1,1,1,1,N,6,2
54,50,9,4,1,1,2,N,5,12
55,72,1,1,1,1,2,N,5,9
56,91,1,6,1,1,1,N,1,9
57,21,1,6,2,1,1,N,2,5
58,58,1,1,1,1,1,N,8,8
59,58,1,6,2,2,0,N,6,3
60,15,1,6,2,1,2,N,0,4
61,62,1,6,2,1,2,N,1,8
62,26,1,1,2,1,2,N,6,8
63,49,2,1,1,1,1,N,9,7
64,19,1,6,2,3,0,N,3,N
65,28,1,6,2,1,2,N,6,9
66,16,1,6,1,1,2,N,0,4
67,33,1,1,2,1,1,N,8,9
68,38,1,1,2,1,1,N,8,10
69,41,1,1,1,1,1,N,9,9
70,62,1,4,1,1,2,N,9,5
71,29,1,6,2,1,2,N,8,7
72,75,1,4,1,3,0,N,9,5
73,25,1,6,2,1,2,N,7,9
74,41,1,1,1,1,1,N,9,10
75,48,1,1,1,1,2,N,6,9
76,21,1,6,1,1,1,N,8,7
77,50,1,1,1,1,1,N,9,9
78,18,1,6,1,1,2,N,1,4
79,24,6,6,2,1,1,N,3,9
80,21,1,6,1,1,1,N,2,7
81,56,1,1,1,1,1,N,9,10
82,56,1,1,2,1,1,N,2,10
83,0,1,6,1,1,1,N,N,N
