,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
0,1,1,1,1,6,0,25-00703,53,1,3,329,2
1,1,6,6,1,5,0,25-00703,46,0,N,98,2
2,1,1,6,2,6,0,25-00703,90,0,2,419,2
3,2,6,1,1,6,0,25-00503,23,0,4,501,2
4,2,1,6,1,8,0,25-00503,80,1,5,501,2
5,1,3,1,1,9,0,25-00703,72,0,N,501,2
6,2,N,1,1,N,0,25-02800,85,3,5,501,2
7,2,1,1,1,7,0,25-01000,70,2,4,501,1
8,2,1,1,2,9,0,25-02800,61,0,2,501,2
9,2,6,2,1,8,0,25-01300,66,2,4,501,2
10,1,1,1,2,2,0,25-00703,35,0,2,131,2
11,2,2,5,1,0,0,25-00503,15,0,2,501,1
12,1,6,1,1,0,0,25-01300,60,0,N,501,2
13,1,1,1,1,7,0,25-02800,74,2,4,501,2
14,1,N,1,2,N,0,25-01000,8,4,6,501,2
15,2,6,1,1,1,0,25-01300,60,0,N,63,1
16,1,1,2,0,0,0,25-01300,45,0,2,N,2
17,2,N,1,1,N,4,25-00703,17,0,2,366,2
18,2,1,1,1,5,0,25-00703,54,0,3,501,2
19,2,1,1,1,0,0,25-00703,41,0,2,339,2
20,1,6,1,1,4,0,25-01000,72,0,N,362,2
21,2,4,6,1,9,0,25-00503,24,0,N,501,2
22,2,1,9,2,7,0,25-02800,55,3,5,501,2
23,1,N,1,1,N,0,25-01000,78,1,6,68,2
24,2,5,1,1,9,0,25-01000,79,4,9,501,2
25,1,1,1,0,1,0,25-01300,60,1,3,N,2
26,2,1,1,1,6,0,25-00503,22,0,2,501,2
27,1,6,1,1,4,0,25-01300,73,0,2,274,2
28,2,6,1,2,2,0,25-01000,90,0,4,331,2
29,1,3,1,1,1,0,25-02800,27,0,N,501,2
30,1,6,1,1,3,0,25-01000,68,0,N,239,2
31,1,N,1,1,N,0,25-02800,36,0,2,501,2
32,2,1,1,1,7,0,25-01000,82,1,3,501,2
33,1,4,1,1,8,0,25-01000,52,0,2,501,2
34,2,1,1,2,3,0,25-02800,33,0,2,28,2
35,1,1,1,1,3,0,25-02800,70,0,2,501,2
36,1,6,1,1,0,0,25-01300,57,0,N,501,2
37,2,4,1,1,2,0,25-02800,50,0,N,501,2
38,1,1,1,1,8,0,25-01000,83,0,2,501,2
39,2,N,1,1,N,0,25-00503,17,0,4,501,2
40,2,4,1,1,3,0,25-01000,7,0,2,501,2
41,2,1,1,2,6,0,25-00703,31,1,4,283,2
42,2,1,1,1,8,0,25-00703,7,0,2,501,2
43,2,N,1,2,N,0,25-00503,78,2,4,237,2
44,1,6,1,1,9,0,25-00703,49,N,N,501,2
45,2,3,1,1,0,0,25-01300,52,0,N,410,2
46,2,1,6,1,4,0,25-01000,31,0,2,36,2
47,1,1,1,2,2,0,25-00703,62,0,3,501,2
48,2,1,1,1,4,0,25-02800,42,0,2,388,2
49,2,6,1,1,0,0,25-01300,41,2,4,501,2
50,1,1,1,1,9,0,25-02800,58,1,3,501,2
51,2,6,1,1,4,0,25-01300,66,2,4,312,2
52,1,6,1,1,7,0,25-00703,62,0,N,501,2
53,1,1,1,1,4,0,25-01300,59,3,5,456,2
54,2,6,6,1,6,0,25-00703,0,0,N,316,2
55,2,N,1,2,N,0,25-02800,82,4,6,421,2
56,1,4,2,1,7,0,25-00503,16,2,5,501,2
57,1,1,1,2,4,0,25-00703,62,1,3,91,2
58,2,6,1,2,0,0,25-02800,58,0,2,196,2
59,1,N,1,1,N,0,25-02800,33,2,4,501,2
60,2,1,1,1,7,0,25-01300,78,1,3,501,2
61,2,6,9,1,5,0,25-01300,73,1,4,501,2
62,2,3,1,1,5,0,25-00503,6,0,2,501,1
63,2,6,1,1,5,0,25-01300,53,0,N,501,2
64,1,N,1,1,N,0,25-01300,27,2,4,423,2
65,2,6,1,2,2,0,25-00503,62,0,3,231,2
66,1,6,1,2,1,0,25-00503,42,2,4,242,2
67,2,1,1,2,4,0,25-00703,1,1,3,185,2
68,1,4,1,1,8,0,25-01000,79,2,3,501,2
69,1,6,1,1,0,0,25-00703,58,0,N,501,2
70,2,6,1,1,0,0,25-02800,14,2,4,501,2
71,1,3,1,1,1,0,25-00503,83,N,N,501,2
72,2,6,1,0,1,0,25-01000,23,1,3,N,2
73,1,6,9,0,1,0,25-00503,55,0,N,N,2
74,2,6,1,1,0,0,25-01300,82,2,4,501,2
75,2,6,6,1,3,0,25-00503,71,2,4,501,2
76,2,1,1,1,3,0,25-01300,94,3,5,222,2
77,1,N,1,1,N,0,25-00703,91,4,6,501,2
78,2,6,1,1,4,0,25-00503,42,2,4,220,2
79,1,N,1,2,N,0,25-00703,24,0,2,501,2
80,1,3,6,1,3,0,25-00503,46,0,N,81,2
81,1,1,1,1,9,0,25-00503,42,0,2,501,2
82,1,2,1,1,7,0,25-00703,27,0,N,103,2
83,1,N,1,1,N,0,25-02800,18,4,9,501,2
84,2,1,1,2,9,0,25-00503,84,2,4,501,2
85,1,1,1,2,4,0,25-00503,62,1,2,194,2
86,1,6,1,1,5,0,25-02800,0,1,4,501,2
87,1,N,1,1,N,0,25-02800,30,1,4,501,2
88,1,6,2,2,8,0,25-02800,74,3,2,501,2
89,1,1,1,1,9,0,25-01300,63,0,2,501,2
90,2,6,8,1,7,0,25-01000,34,0,N,187,2
91,1,N,1,1,N,0,25-00703,27,4,4,501,2
92,2,1,6,1,9,0,25-01000,43,0,2,501,2
93,2,6,1,1,2,0,25-01300,63,4,6,501,2
94,2,6,1,1,9,0,25-00503,77,0,2,501,2
95,1,N,6,2,N,0,25-00703,29,2,4,501,2
96,2,N,1,1,N,0,25-00703,80,0,6,501,2
97,1,5,5,1,9,0,25-00703,16,2,6,501,2
98,2,6,2,1,1,0,25-00703,45,1,3,501,2
99,1,6,1,1,8,0,25-01000,55,0,N,501,2
100,2,1,1,1,5,0,25-00503,53,2,4,501,2
101,2,1,1,1,3,0,25-00503,6,0,2,365,2
102,2,1,1,1,9,1,25-00703,69,0,2,501,2
103,2,1,1,1,3,0,25-00503,65,2,4,18,2
104,1,6,1,1,5,0,25-00703,19,0,6,464,2
105,1,1,6,1,2,0,25-00703,81,1,3,363,2
106,1,6,1,1,6,0,25-00503,59,2,4,342,2
107,2,1,1,2,0,0,25-00703,15,0,4,194,2
108,1,2,6,1,7,0,25-01300,46,0,2,501,2
109,1,6,1,1,0,0,25-02800,54,0,N,384,2
110,1,N,1,1,N,0,25-00703,67,2,5,501,2
111,1,4,1,1,4,0,25-01300,8,0,N,380,2
112,2,6,1,1,9,0,25-01300,13,0,3,501,2
113,1,4,1,1,8,0,25-00703,58,0,2,501,2
114,2,3,1,1,2,0,25-01000,79,0,N,174,2
115,2,6,1,1,6,0,25-02800,23,0,N,19,2
116,2,5,1,1,9,0,25-01000,52,0,2,501,2
117,1,6,1,2,1,0,25-00703,45,2,4,501,2
118,2,1,1,1,5,0,25-00503,6,0,2,497,2
119,1,4,9,1,7,0,25-02800,55,0,2,501,2
120,2,4,1,2,6,0,25-02800,61,0,N,228,2
121,1,1,1,1,7,0,25-01000,47,0,3,501,2
122,2,1,6,1,1,0,25-00703,29,0,2,501,2
123,2,N,1,2,N,0,25-01000,67,2,4,501,2
124,1,6,1,1,6,0,25-00703,11,N,N,501,2
125,2,6,6,2,5,0,25-01300,63,2,5,305,2
126,1,1,1,1,9,0,25-00703,62,0,3,501,2
127,1,1,1,1,5,0,25-00703,90,0,3,501,2
128,1,6,6,1,4,0,25-02800,57,2,4,126,2
129,2,N,1,1,N,0,25-02800,48,2,4,501,2
130,1,6,1,1,2,0,25-00703,63,N,N,501,2
131,1,1,1,1,9,0,25-00503,17,1,3,501,2
132,2,1,6,1,8,0,25-01300,40,2,4,501,2
133,2,1,1,1,6,0,25-00703,65,3,5,501,2
134,1,N,1,1,N,0,25-00703,83,2,4,501,2
135,1,3,1,1,N,0,25-01000,90,0,N,501,1
136,1,N,1,1,N,0,25-02800,67,0,4,501,2
137,2,1,1,1,5,0,25-00703,56,2,4,501,2
138,2,6,1,1,0,0,25-00503,15,0,N,501,2
139,1,4,6,0,4,0,25-00703,89,1,3,N,2
140,1,1,1,2,5,0,25-01000,31,0,2,45,2
141,2,6,1,1,1,0,25-02800,33,0,6,17,2
142,1,6,1,1,8,0,25-00703,48,0,3,501,2
143,2,3,1,1,0,0,25-00503,15,N,N,501,2
144,1,6,1,1,2,0,25-00703,87,N,N,177,2
145,1,1,1,1,6,0,25-00703,22,0,3,301,2
146,1,1,1,1,9,0,25-01300,65,2,5,501,2
147,2,N,1,1,N,0,25-02800,84,2,4,501,2
148,1,3,1,2,2,0,25-00503,44,0,N,501,2
149,1,1,1,1,4,0,25-00503,26,N,3,438,2
150,2,6,1,2,7,0,25-00503,10,1,3,501,2
151,2,3,1,2,7,0,25-02800,23,0,3,55,2
152,2,1,1,1,6,0,25-00703,85,0,2,397,2
153,2,2,1,2,5,0,25-00503,53,3,5,501,2
154,1,6,1,2,9,0,25-00503,26,0,N,501,2
155,2,4,6,1,8,0,25-01300,40,N,N,501,2
156,1,6,1,0,4,0,25-01000,47,0,N,N,2
157,2,1,1,1,0,0,25-00703,15,0,2,501,1
158,1,1,1,2,4,0,25-00503,10,1,3,127,2
159,1,1,1,1,5,2,25-00503,44,0,3,3,2
160,2,N,1,1,N,0,25-00703,89,2,4,501,2
161,2,1,1,1,9,0,25-01300,88,0,2,501,2
162,2,2,1,1,7,0,25-02800,28,3,5,501,2
163,2,1,1,1,4,0,25-02800,48,0,3,501,2
164,1,N,6,1,N,0,25-01300,13,1,6,501,2
165,2,1,1,1,3,0,25-00703,49,0,2,501,2
166,1,4,1,1,7,0,25-00503,55,0,N,301,2
167,1,N,1,1,N,0,25-01000,90,1,4,501,2
168,2,1,1,1,0,0,25-00503,33,0,2,289,2
169,2,6,1,1,6,0,25-01000,53,0,N,501,2
170,2,N,1,2,N,0,25-00703,21,0,2,9,2
171,1,1,1,1,3,0,25-02800,85,0,2,501,2
172,2,6,1,1,0,0,25-02800,94,2,3,501,2
173,2,1,1,0,3,0,25-02800,70,4,6,N,2
174,2,1,1,1,6,0,25-00703,10,0,2,501,2
175,2,1,9,1,9,0,25-00703,61,0,3,501,2
176,2,1,1,1,4,4,25-02800,86,0,2,501,2
177,2,3,1,1,3,0,25-01000,30,0,3,454,2
178,1,1,1,1,9,0,25-00703,41,1,2,501,2
179,1,N,1,1,N,0,25-02800,42,0,5,501,2
180,1,6,1,1,0,0,25-01000,60,0,N,501,1
181,2,6,1,0,1,0,25-00703,25,0,N,107,2
182,1,1,1,1,4,0,25-00703,72,2,4,159,2
183,1,1,1,1,2,0,25-00503,62,0,2,268,2
184,2,1,1,0,2,0,25-00503,39,3,2,N,2
185,2,N,1,1,N,0,25-00703,44,0,5,501,2
186,2,6,1,1,6,0,25-00703,58,0,N,92,2
187,2,6,1,0,2,0,25-02800,70,2,4,N,2
188,1,1,1,1,9,0,25-00703,7,0,2,501,2
189,2,6,1,2,0,0,25-00703,15,0,4,406,2
190,1,3,1,1,9,0,25-00703,64,1,3,501,2
191,2,1,6,1,6,0,25-00503,78,3,5,501,2
192,2,6,1,1,6,0,25-00703,14,0,4,501,2
193,2,1,1,2,0,0,25-00503,64,0,6,92,2
194,1,6,1,1,2,0,25-00703,72,1,3,501,2
195,2,3,1,1,3,0,25-02800,73,0,N,262,2
196,2,N,3,1,N,0,25-00703,16,4,6,369,2
197,2,6,1,2,1,0,25-00703,56,0,N,501,1
198,2,1,1,1,7,0,25-00703,6,0,4,501,2
199,2,1,1,1,4,0,25-00503,65,1,3,349,2
200,1,1,1,1,8,0,25-01300,35,0,2,501,2
