,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
0,89,1,3,2,3,0,3,1,9,8
1,45,6,N,2,2,0,5,1,1,10
2,81,5,5,1,1,1,6,2,9,3
3,45,3,N,2,1,0,2,1,8,10
4,69,6,5,1,2,0,5,2,5,N
5,71,1,4,2,1,1,3,1,0,9
6,8,9,2,2,1,2,4,2,3,10
7,21,1,5,2,1,0,6,2,5,9
8,18,1,5,2,2,1,N,2,N,10
9,7,8,3,2,2,2,2,2,7,3
10,57,6,4,2,1,1,6,2,5,N
11,63,6,2,2,2,2,5,2,8,7
12,48,7,2,2,1,1,2,2,5,9
13,56,5,5,2,3,2,6,2,7,10
14,52,1,1,1,1,0,5,1,5,12
15,20,6,5,1,1,1,6,1,6,6
16,76,3,N,2,1,1,4,2,0,8
17,12,7,3,1,3,0,5,1,6,10
18,38,1,2,1,2,0,6,1,4,5
19,66,3,2,1,3,2,1,2,4,7
20,59,9,2,2,1,1,4,2,1,4
21,12,8,3,2,1,2,1,2,1,7
22,5,1,1,2,1,0,N,1,6,12
23,5,1,2,1,2,2,4,2,4,9
24,75,9,6,1,1,2,4,1,7,6
25,68,9,4,2,3,1,N,2,0,N
26,75,1,3,2,1,1,4,2,N,11
27,6,2,1,1,2,2,5,2,7,4
28,30,7,N,1,2,1,N,2,8,10
29,58,2,2,1,1,0,4,1,5,5
30,14,7,6,1,3,0,5,2,5,10
31,45,1,N,1,3,1,2,1,7,9
32,30,9,6,1,2,0,6,2,4,8
33,50,9,6,1,2,1,5,1,7,11
34,49,3,5,1,1,0,4,1,8,N
35,81,7,2,1,2,0,4,2,5,3
36,23,8,5,2,1,1,5,1,3,10
37,90,8,1,2,2,1,2,1,N,N
38,9,5,5,1,2,2,3,2,7,N
39,32,5,6,1,1,1,4,1,0,2
40,41,9,6,2,2,2,4,1,7,10
41,20,3,1,2,3,0,2,1,8,1
42,23,8,4,1,2,0,N,1,9,4
43,74,5,2,2,3,0,N,1,8,8
44,65,1,3,1,1,0,N,1,1,12
45,33,2,3,2,2,2,3,2,0,3
46,18,7,6,1,3,0,N,2,4,1
47,88,9,2,1,2,0,4,2,9,8
48,10,5,1,1,1,0,3,1,3,11
49,2,5,2,1,3,0,3,2,8,9
