,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
0,2,1,7,0,7,2,25-01000,67,0,2,448
1,1,4,8,2,6,2,25-00503,44,4,N,291
2,2,4,9,0,1,1,25-00703,44,3,7,21
3,1,1,9,0,9,0,25-01000,83,0,N,90
4,2,6,7,0,9,0,25-00703,47,5,9,102
5,2,4,6,2,6,0,25-00703,28,1,9,301
6,2,3,9,0,0,2,25-01300,65,1,7,141
7,1,3,9,1,5,3,25-00703,80,5,5,415
8,2,2,1,1,0,1,25-00703,56,N,5,361
9,1,5,1,1,4,0,25-01300,30,4,9,385
10,2,3,8,0,9,1,25-01300,24,5,3,123
11,2,3,5,0,4,3,25-01000,78,2,2,43
12,2,4,2,2,4,4,25-01000,33,0,2,473
13,1,4,7,1,4,2,25-02800,61,2,7,162
14,2,1,9,0,8,0,25-01300,0,1,2,256
15,1,3,9,1,4,0,25-01300,87,N,4,303
16,1,1,9,0,9,0,25-02800,56,1,N,398
17,2,6,9,1,7,0,25-00503,71,0,7,339
18,1,6,1,1,3,2,25-02800,30,4,N,419
19,1,N,6,2,2,2,25-01300,11,3,2,368
20,2,1,6,1,6,2,25-01300,46,0,7,2
21,2,3,5,0,5,1,25-00703,56,2,5,462
22,2,4,2,1,2,3,25-00503,57,0,N,455
23,1,6,3,1,4,0,25-00703,52,4,3,424
24,2,1,1,2,5,4,25-00703,17,3,3,8
25,2,1,1,2,7,0,25-00703,74,N,4,361
26,1,6,7,2,N,4,25-01300,74,N,2,N
27,2,3,5,1,7,2,25-02800,10,4,9,24
28,2,6,8,0,9,2,25-00503,21,2,2,303
29,2,5,5,2,8,2,25-01000,74,N,N,20
30,1,2,7,0,3,2,25-00703,68,1,4,455
31,2,1,7,1,6,2,25-00703,25,3,3,55
32,2,4,7,0,3,0,25-00503,55,4,4,145
33,2,1,8,0,9,0,25-00503,79,3,4,403
34,2,4,6,2,9,0,25-01000,1,3,N,328
35,2,1,1,1,7,3,25-01000,10,2,2,289
36,2,5,3,1,N,4,25-01000,53,4,5,31
37,1,2,9,0,0,3,25-01300,37,2,9,340
38,2,5,7,2,4,3,25-00703,82,N,3,225
39,1,6,7,0,7,2,25-01300,60,2,5,116
40,1,6,2,0,8,0,25-01300,24,2,4,128
41,2,3,7,1,9,2,25-00503,9,3,N,122
42,2,3,7,1,9,4,25-01300,52,N,4,484
43,2,6,2,1,6,0,25-00503,29,5,6,85
44,1,2,1,2,2,0,25-00503,35,0,2,69
45,2,6,9,0,9,2,25-00503,14,1,5,243
46,2,6,1,2,6,1,25-02800,24,N,7,104
47,2,4,6,1,6,2,25-00503,66,3,3,377
