,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
0,25-01000,54,1,1,0,1,0,3,1,1,1820.2502899169922,10,9,13170.0,4,501,N,2,2,2,2
1,25-01000,68,1,1,0,6,0,4,1,1,2376.5017013549805,7,8,16600.0,9,501,N,2,1,2,2
2,25-00703,21,1,4,0,1,0,N,1,2,1880.5345153808594,12,9,101200.0,5,501,N,2,2,2,2
3,25-02800,58,1,1,0,1,0,3,1,1,2440.576644897461,10,8,29700.0,5,475,N,2,2,2,2
4,25-00503,61,2,4,0,1,0,2,1,1,2034.4227600097656,N,9,77400.0,9,233,N,2,2,2,2
5,25-00703,59,1,5,0,1,1,3,1,2,2008.2194519042969,4,5,4000.0,8,0,N,2,2,2,2
6,25-00703,45,2,6,0,1,1,4,1,1,1608.1211853027344,6,7,13600.0,1,501,N,2,2,2,2
7,25-00703,23,2,1,0,1,1,4,1,1,1712.8017578125,N,5,21000.0,6,445,N,2,2,2,2
8,25-00703,50,1,1,0,1,0,4,1,1,2107.759017944336,14,7,35800.0,0,227,N,2,2,2,2
9,25-00503,22,1,4,0,1,0,6,1,1,2385.7206954956055,14,9,4800.0,7,501,N,2,2,2,2
10,25-01000,67,2,1,0,1,0,2,1,1,2473.5969066619873,N,10,10400.0,4,142,N,2,1,2,2
11,25-01000,24,1,1,0,1,1,2,1,1,1530.3140869140625,14,9,48000.0,5,501,N,2,2,2,2
12,25-00503,74,2,1,0,1,0,3,1,1,2846.3582763671875,11,9,53500.0,6,501,N,2,2,2,2
13,25-01300,33,1,4,0,1,0,2,1,1,2373.625114440918,11,5,71000.0,5,411,N,2,2,2,2
14,25-01300,55,2,1,0,1,2,2,1,2,2222.567726135254,14,9,75000.0,7,341,N,2,2,2,2
15,25-00703,63,2,3,0,1,0,2,1,1,2389.343620300293,N,7,41000.0,1,248,N,2,2,2,2
16,25-01000,52,2,1,0,1,0,2,1,2,1849.9242706298828,4,5,4800.0,9,501,N,2,2,2,2
17,25-02800,69,1,1,0,1,1,3,1,1,1789.8644409179688,13,9,25900.0,3,501,N,2,1,2,2
18,25-02800,57,1,1,0,1,0,2,1,1,2499.026508331299,7,9,146200.0,3,243,N,2,2,2,2
19,25-00503,31,1,1,0,1,0,3,1,1,3449.439666748047,6,5,53000.0,N,501,N,2,2,2,2
20,25-00503,39,1,1,0,1,0,N,1,1,2794.08056640625,15,4,19000.0,1,501,N,2,2,2,2
21,25-00503,12,2,4,0,1,2,4,1,2,3198.6856079101562,8,7,56700.0,5,290,N,2,2,2,2
22,25-02800,91,2,1,0,1,0,2,1,1,3623.6456604003906,11,7,0.0,0,501,N,2,2,2,2
23,25-00703,60,1,1,0,1,0,3,1,1,2430.073211669922,14,9,39000.0,2,501,N,2,2,2,2
24,25-00703,17,2,6,0,1,1,7,1,1,2168.546417236328,15,3,0.0,5,482,N,2,2,2,2
25,25-00703,49,2,4,0,1,0,3,1,1,1674.1653137207031,4,9,72000.0,3,501,N,2,2,2,2
26,25-00703,24,2,1,0,1,0,2,1,1,1853.236831665039,N,7,53000.0,9,501,N,2,2,2,2
27,25-01000,62,2,1,0,1,0,7,1,1,2550.7234992980957,6,5,29000.0,3,501,N,2,2,2,2
28,25-00703,71,1,1,0,1,1,3,1,1,2861.730644226074,N,9,2200.0,4,501,N,2,2,2,2
29,25-01000,59,2,2,0,1,1,2,1,1,2754.671531677246,11,10,28900.0,4,407,N,1,2,2,2
30,25-00703,9,2,6,0,1,2,5,1,1,1597.4194946289062,9,10,75070.0,7,501,N,2,2,2,2
31,25-01000,56,2,4,0,1,0,3,1,1,2156.2800903320312,N,5,60000.0,8,501,N,2,2,2,2
32,25-01000,53,1,1,0,1,2,N,1,2,1625.8564147949219,16,9,50.0,6,429,N,2,2,2,2
33,25-01300,41,1,1,0,1,0,3,1,1,2011.9829559326172,N,4,130000.0,3,0,N,2,2,2,2
34,25-00703,65,1,1,0,1,3,2,1,1,1682.6522521972656,N,8,43000.0,6,501,N,2,2,2,2
35,25-02800,51,2,1,2,1,0,2,1,1,3556.3213500976562,16,5,59000.0,2,501,N,2,2,2,2
36,25-01300,15,2,1,4,1,0,2,1,1,2547.0889372825623,15,5,17600.0,3,110,N,2,2,2,2
37,25-00503,42,1,1,0,1,0,2,1,1,2603.3259468078613,3,9,6000.0,0,392,N,2,2,2,2
38,25-00703,77,2,1,0,1,1,N,1,1,2477.581922531128,12,9,53000.0,4,342,N,2,2,2,2
39,25-01300,22,2,6,0,2,0,N,1,1,2403.6739234924316,3,9,25000.0,N,501,N,2,2,2,2
40,25-01300,35,1,6,0,1,0,N,1,2,2791.072120666504,10,6,5000.0,7,407,N,2,2,2,2
41,25-00503,38,2,1,0,1,0,3,1,1,3166.2412872314453,N,9,30000.0,N,290,N,2,2,2,2
42,25-01000,29,2,6,0,6,0,7,1,1,2484.944450378418,6,8,127100.0,2,0,N,1,2,2,2
43,25-02800,60,2,1,0,1,2,N,1,1,3504.8956298828125,N,5,13500.0,4,155,N,2,2,2,2
44,25-00703,50,1,6,0,1,0,2,1,1,2669.8266944885254,N,9,191000.0,1,441,N,2,2,2,2
45,25-00703,57,2,1,0,2,0,2,1,2,1867.843521118164,9,9,20000.0,5,500,N,2,2,2,2
46,25-00503,35,2,1,0,1,0,3,1,1,1258.589599609375,6,9,230500.0,6,1,N,2,2,2,2
47,25-00703,49,1,1,0,1,0,3,1,1,2199.2504348754883,N,7,27000.0,3,501,N,2,2,2,2
48,25-01000,54,1,1,0,1,0,3,1,1,1954.2370300292969,N,8,79900.0,6,260,N,2,2,2,2
49,25-00703,47,2,1,0,1,0,2,1,1,3135.9258880615234,N,10,30000.0,8,501,N,2,2,2,2
50,25-01300,67,1,3,0,6,0,3,1,1,1771.8881530761719,6,9,45000.0,4,131,N,2,2,2,2
51,25-02800,61,1,1,0,6,1,4,1,1,1967.1513214111328,7,9,78020.0,4,501,N,2,2,2,2
52,25-01000,68,2,1,0,1,0,4,1,1,2621.6498317718506,11,7,8000.0,2,501,N,2,2,2,2
53,25-01300,15,2,6,0,1,1,N,1,1,2060.6825561523438,N,10,65000.0,3,501,N,2,2,2,2
54,25-01300,36,1,6,4,1,2,6,1,2,2049.607696533203,10,10,75800.0,7,501,N,2,2,2,2
55,25-00703,78,2,6,0,1,0,2,1,1,2966.01220703125,7,10,20100.0,6,227,N,2,2,2,2
56,25-02800,19,2,4,0,6,0,6,1,1,2008.1258850097656,10,9,24000.0,4,501,N,2,2,2,2
57,25-02800,56,1,1,0,1,0,4,1,1,3081.0164489746094,10,8,3600.0,0,501,N,2,2,2,2
58,25-02800,54,1,4,0,1,0,4,1,1,3038.1422119140625,9,10,8500.0,N,68,N,2,2,1,2
59,25-00703,62,2,4,0,1,2,2,1,1,2087.096710205078,10,7,14000.0,6,501,N,2,2,2,2
60,25-00703,74,2,1,0,1,0,2,1,1,3304.7987060546875,6,9,50000.0,6,501,N,2,2,2,2
61,25-01000,78,2,1,0,1,2,2,1,1,3278.7426147460938,13,4,32000.0,N,501,N,2,2,2,2
62,25-01000,59,2,1,0,1,0,4,1,1,2790.5979232788086,N,9,75900.0,5,501,N,2,2,2,2
63,25-00703,34,1,6,0,1,4,3,1,1,2342.8302993774414,16,5,8100.0,6,366,N,2,2,2,2
64,25-02800,53,2,1,0,1,0,4,1,1,2739.736339569092,N,7,40000.0,7,501,N,2,2,2,2
65,25-01000,27,1,1,0,1,0,3,1,1,2244.9511108398438,3,11,2500.0,7,501,N,2,2,2,2
66,25-00703,88,2,1,3,1,0,3,1,1,2225.401809692383,14,9,6000.0,5,501,N,2,2,2,2
67,25-00503,47,2,1,0,1,0,3,1,1,3263.517303466797,N,1,25400.0,9,501,N,2,2,2,2
68,25-01000,31,1,1,0,1,0,4,1,1,2406.2341499328613,12,9,29900.0,6,501,N,2,2,2,2
69,25-00703,75,2,1,0,1,0,5,1,1,1901.970947265625,10,7,37200.0,6,501,N,2,2,2,2
70,25-00703,22,1,1,0,1,2,2,1,1,1970.1030731201172,4,5,121600.0,5,155,N,2,2,2,2
71,25-00703,40,1,1,0,1,1,N,1,1,1503.5220947265625,10,8,800.0,4,331,N,2,2,2,2
72,25-01300,38,1,1,0,8,0,2,1,1,2794.633476257324,N,8,2000.0,7,288,N,2,2,2,2
73,25-01000,66,2,1,0,1,0,2,1,1,3073.9344787597656,11,9,77100.0,7,501,N,2,2,2,2
74,25-01000,26,2,1,0,1,0,2,1,1,2096.7708129882812,N,12,2000.0,6,382,N,2,2,2,2
75,25-00703,79,1,4,0,2,0,N,1,1,1825.4800109863281,10,5,125000.0,2,501,N,1,2,2,2
