,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,29,1,6,0,3,1,4,48,38-00100,8,1,15,4,6,0,501,0.0
1,51,4,1,0,5,1,1,180,24-01004,6,1,87,0,2,7,501,20.0
2,49,0,2,0,N,0,1,0,32-00405,2,1,36,N,N,7,N,20.0
3,59,0,4,0,5,1,8,468,17-03529,9,2,48,0,N,8,501,40.0
4,66,4,6,1,N,1,9,357,24-01004,2,2,72,0,2,2,64,0.0
5,43,0,4,0,3,1,2,7,36-04010,9,2,65,0,2,6,452,20.0
6,31,4,6,0,6,2,3,501,06-07502,8,1,89,0,N,2,83,20.0
7,33,0,N,0,3,1,3,314,36-04010,1,1,6,3,5,N,182,0.0
8,57,2,4,0,4,1,1,22,51-01301,1,2,78,0,N,9,501,20.0
9,32,4,6,N,N,2,1,351,19-01700,8,2,34,1,3,5,223,0.0
10,68,1,6,2,8,0,7,501,30-00600,1,1,18,N,N,1,N,0.0
11,32,4,2,0,N,1,1,26,24-01004,1,1,50,0,N,3,155,40.0
12,22,0,4,0,N,2,N,148,29-01901,9,2,65,0,N,4,156,40.0
13,24,4,4,2,5,1,3,216,08-00803,1,1,64,0,N,9,501,0.0
14,52,1,N,0,3,2,8,127,38-00100,1,2,10,3,6,N,123,0.0
15,28,0,6,0,7,1,3,78,32-00405,8,1,22,1,4,0,76,0.0
16,35,1,1,0,5,1,0,501,19-01700,9,2,25,1,3,6,288,0.0
17,59,1,6,2,2,1,7,501,30-00600,9,2,16,3,6,0,63,0.0
18,16,1,3,2,3,1,3,501,30-00600,1,2,73,0,N,1,13,0.0
19,47,4,4,0,3,1,0,501,24-01004,2,1,50,0,2,7,501,40.0
20,70,3,6,0,2,1,0,378,36-04010,2,2,76,0,3,6,365,20.0
21,23,4,4,1,8,1,6,83,36-03710,1,1,64,0,3,8,501,0.0
22,29,1,1,0,2,2,6,85,32-00405,9,2,28,3,5,5,99,0.0
23,38,0,4,1,2,1,0,237,36-04010,6,2,64,0,5,2,227,0.0
24,66,4,1,0,4,2,4,60,17-03531,1,1,55,1,4,5,298,20.0
25,35,0,1,1,5,2,2,501,32-00405,9,2,31,2,4,5,264,0.0
26,50,4,4,0,3,1,0,501,13-04600,1,2,58,0,N,4,152,20.0
27,63,0,5,0,4,1,6,287,32-00405,2,2,59,0,N,1,35,20.0
28,47,0,2,1,3,1,8,501,24-01004,9,1,73,1,4,0,501,40.0
29,28,4,1,0,3,1,6,501,13-04600,9,1,72,0,2,2,158,20.0
30,31,4,4,3,5,2,0,456,30-00600,1,2,52,2,3,8,360,0.0
31,70,2,6,0,3,2,1,109,08-00803,1,2,22,0,N,1,18,40.0
32,20,4,2,0,N,1,4,236,36-03710,8,2,60,0,N,4,180,60.0
33,33,1,1,0,3,2,7,181,17-03529,1,2,74,0,2,2,204,20.0
34,53,3,6,0,N,2,6,501,51-51255,1,1,28,0,N,6,404,60.0
35,44,0,6,1,5,2,0,244,17-03531,9,1,28,0,N,5,234,0.0
36,30,1,6,2,8,2,5,477,38-00100,8,1,19,0,N,1,60,0.0
37,69,0,1,0,N,1,6,501,08-00803,7,1,66,0,2,6,466,40.0
38,76,4,6,0,6,0,4,246,26-02702,1,2,22,N,N,4,N,20.0
39,65,0,4,0,2,1,3,294,26-02702,6,2,46,0,2,5,200,40.0
40,9,0,3,0,3,0,3,194,06-07502,1,1,66,N,N,1,N,0.0
41,75,0,2,1,4,2,7,196,38-00100,5,2,28,3,4,0,0,20.0
