,INDP,count_target,count_deidentified
40,1070,1,0.0
31,1090,3,0.0
43,1170,4,1.0
39,1180,2,0.0
1,1190,3,0.0
11,1270,4,0.0
18,1280,9,0.0
20,1370,7,0.0
46,1480,1,0.0
44,1670,1,0.0
5,1691,3,1.0
36,1790,1,0.0
42,1870,1,1.0
32,1880,1,0.0
7,1890,1,0.0
0,1990,8,0.0
47,2170,1,0.0
4,2190,12,0.0
37,2280,5,0.0
16,2290,3,1.0
30,2370,2,1.0
35,2390,1,0.0
26,2490,3,1.0
38,2670,1,0.0
34,2770,1,0.0
22,2870,1,0.0
29,2880,2,0.0
33,2890,2,1.0
45,2980,1,0.0
12,3095,3,2.0
25,3170,1,1.0
23,3180,4,0.0
28,3291,3,0.0
17,3365,3,0.0
10,3370,2,0.0
14,3380,13,0.0
9,3390,5,3.0
27,3470,2,0.0
3,3490,4,0.0
24,3570,31,0.0
2,3580,16,0.0
21,3590,3,1.0
19,3690,1,0.0
13,3895,4,0.0
8,3960,9,0.0
15,3970,2,1.0
6,3980,9,0.0
41,3990,3,0.0
