,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,-1.0103029524088925e-14,0.01977715411505944,0.005138326089417696,-0.06818707007917335,-0.47094494934755915,-0.0765583782447025,-0.02870912101093354,-0.10055574978431699,-0.08670524464840024,0.27436446597394126,0.061572980318079076
AGEP,0.01977715411505944,-5.551115123125783e-16,-0.0403957588623009,-0.13009541645092687,0.09700898461753812,0.11039684057371686,0.13632496186209436,0.31115180269895304,0.028194782865489217,-0.4566920570975758,0.13066600992327623
SEX,0.005138326089417696,-0.0403957588623009,0.0,0.009870893902500887,-0.029624408714643457,0.017041956434049085,-0.0739659453439291,-0.044626567047036186,-0.08864962051758672,0.06596595907551533,-0.0023007224514972856
MSP,-0.06818707007917335,-0.13009541645092687,0.009870893902500887,-5.440092820663267e-15,-0.012483561694451684,0.0974012391444673,0.4490375805126186,0.48353356544029635,0.07264933257205348,-0.16473178048318843,0.03188948163519997
HISP,-0.47094494934755915,0.09700898461753812,-0.029624408714643457,-0.012483561694451684,0.0,-0.19924719599820284,-0.07571196444664367,-0.10545439563136852,-0.04337244220713049,0.06002337775087954,0.041273372038976595
RAC1P,-0.0765583782447025,0.11039684057371686,0.017041956434049085,0.0974012391444673,-0.19924719599820284,0.0,-0.13246720327494285,-0.1914744911308613,-0.07791474219416075,0.08035849246884749,-0.03917236974350621
NOC,-0.02870912101093354,0.13632496186209436,-0.0739659453439291,0.4490375805126186,-0.07571196444664367,-0.13246720327494285,-7.771561172376096e-16,-0.6589430654279549,-0.2756171441348429,0.21589592545899886,-0.052500517815721987
NPF,-0.10055574978431699,0.31115180269895304,-0.044626567047036186,0.48353356544029635,-0.10545439563136852,-0.1914744911308613,-0.6589430654279549,-1.887379141862766e-15,-0.16953554833864357,0.2463125052877587,-0.011768573559969544
OWN_RENT,-0.08670524464840024,0.028194782865489217,-0.08864962051758672,0.07264933257205348,-0.04337244220713049,-0.07791474219416075,-0.2756171441348429,-0.16953554833864357,-4.107825191113079e-15,-0.04003290985346046,0.047907749760818075
PINCP_DECILE,0.27436446597394126,-0.4566920570975758,0.06596595907551533,-0.16473178048318843,0.06002337775087954,0.08035849246884749,0.21589592545899886,0.2463125052877587,-0.04003290985346046,9.992007221626409e-16,-0.020834854306308416
DEYE,0.061572980318079076,0.13066600992327623,-0.0023007224514972856,0.03188948163519997,0.041273372038976595,-0.03917236974350621,-0.052500517815721987,-0.011768573559969544,0.047907749760818075,-0.020834854306308416,0.0
