,INDP,count_target,count_deidentified
21,1080,1,0.0
10,1190,1,1.0
25,1270,1,0.0
13,1280,3,0.0
31,1370,1,0.0
35,1490,1,1.0
18,1691,2,0.0
29,1770,1,1.0
20,1870,2,0.0
0,1880,1,0.0
1,1990,4,1.0
34,2170,1,1.0
5,2190,36,2.0
14,2270,3,3.0
4,2290,5,3.0
32,2570,1,1.0
23,2590,1,3.0
17,2670,1,1.0
28,2690,1,1.0
26,2880,7,2.0
27,3095,1,1.0
7,3291,10,1.0
16,3365,3,1.0
24,3370,3,2.0
8,3380,12,1.0
11,3390,11,2.0
12,3490,6,2.0
30,3570,1,1.0
3,3580,13,6.0
2,3590,2,3.0
33,3680,1,3.0
22,3875,1,1.0
19,3895,2,4.0
6,3960,11,1.0
36,3970,1,0.0
9,3980,4,3.0
15,3990,6,0.0
