,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,42,1,3,11,2,6,0,6,6,2,25,2,N,3,1,0.0
1,14,2,N,4,1,N,2,N,9,1,14,2,N,1,N,100.0
2,10,2,N,3,2,N,0,N,9,1,10,2,N,2,N,100.0
3,63,2,6,11,1,3,1,4,6,2,66,2,N,1,9,40.0
4,38,2,N,7,1,5,1,3,6,1,38,2,N,1,3,100.0
5,35,2,N,10,3,2,0,3,1,2,35,2,N,3,3,100.0
6,74,2,N,1,1,3,1,0,8,2,74,2,N,1,0,100.0
7,62,2,N,1,1,1,2,6,1,1,62,2,N,1,6,100.0
8,32,2,3,1,1,4,2,2,8,1,40,2,N,1,3,40.0
9,84,1,6,3,1,2,1,2,6,1,27,2,N,1,2,40.0
10,35,2,N,1,1,6,1,N,8,2,44,2,N,1,7,60.0
11,28,2,N,12,1,1,2,0,9,1,28,2,N,1,0,100.0
12,81,2,3,5,1,3,1,1,6,1,84,2,N,1,9,40.0
13,55,2,N,9,2,2,0,2,2,2,55,2,N,2,2,100.0
14,66,2,N,8,1,4,1,8,6,2,66,2,N,1,8,100.0
15,77,1,5,3,1,2,1,5,2,1,88,2,N,1,3,20.0
16,22,2,N,6,1,6,2,1,8,1,22,2,N,1,1,100.0
17,64,2,N,4,1,5,1,0,8,2,64,2,N,1,0,100.0
18,36,2,2,9,1,4,2,5,3,1,84,1,N,1,3,20.0
19,39,2,N,2,1,4,1,6,6,2,39,2,N,1,6,100.0
20,30,2,N,10,1,6,1,4,3,2,30,2,N,1,4,100.0
21,70,1,4,6,1,6,2,N,6,2,79,2,N,1,5,20.0
22,69,1,N,7,2,3,0,6,5,2,69,1,N,2,6,100.0
23,63,2,N,3,1,6,2,0,6,2,63,2,N,1,0,100.0
24,57,2,N,1,1,2,2,1,6,1,57,2,N,1,1,100.0
25,10,2,N,3,1,N,1,N,4,1,10,2,N,1,N,100.0
26,39,2,N,8,1,2,1,7,5,2,39,2,N,1,7,100.0
27,57,2,1,11,1,3,1,0,2,1,44,2,N,1,1,40.0
28,40,2,N,2,1,1,1,5,2,2,40,2,N,1,5,100.0
29,16,2,N,4,1,5,1,0,2,2,16,2,N,1,0,100.0
30,77,1,N,10,2,4,0,2,1,1,77,1,N,2,2,100.0
31,76,2,4,9,1,5,2,8,8,2,36,2,N,1,3,40.0
32,54,2,N,8,1,6,2,5,7,1,54,2,N,1,5,100.0
33,26,1,N,5,1,5,2,0,8,1,26,1,N,1,0,100.0
34,30,2,N,5,2,2,0,0,6,1,30,2,N,2,0,100.0
35,25,1,N,6,1,3,1,N,3,1,61,1,N,1,1,60.0
36,22,2,2,3,1,6,2,7,5,1,15,2,N,1,0,40.0
37,52,2,N,5,1,3,1,7,7,2,52,2,N,1,7,100.0
38,39,1,1,10,1,1,2,4,3,1,31,2,N,1,1,20.0
39,17,2,N,4,1,6,1,0,7,2,17,2,N,1,0,100.0
40,83,2,2,10,3,2,0,0,6,1,55,2,N,2,7,20.0
41,50,2,N,1,1,5,2,5,6,2,50,2,N,1,5,100.0
42,50,2,N,12,1,5,2,9,1,1,50,2,N,1,9,100.0
43,59,2,N,11,1,6,1,8,9,2,59,2,N,1,8,100.0
44,49,2,N,12,1,4,2,8,6,1,49,2,N,1,8,100.0
45,32,2,N,10,1,4,2,9,8,2,32,2,N,1,9,100.0
46,69,2,N,11,1,6,1,7,9,1,69,2,N,1,7,100.0
47,78,2,N,1,1,6,1,5,5,1,78,2,N,1,5,100.0
48,25,1,3,3,1,N,2,2,5,2,6,2,N,1,N,20.0
49,82,2,N,8,1,3,2,7,3,2,82,2,N,1,7,100.0
50,60,2,N,8,1,4,1,7,8,2,60,2,N,1,7,100.0
