SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
2,1,1,2,8,10,0,48-02510,13,2567
1,1,1,1,7,10,0,48-02510,10,2652
2,1,1,2,7,1,0,48-02510,2,2071
1,1,1,2,8,7,0,48-02507,2,2442
1,1,1,2,8,7,0,48-02507,13,3119
1,6,1,1,5,7,0,48-02507,13,2615
2,1,1,2,4,5,0,48-02507,13,2662
1,1,1,2,7,7,0,48-02101,12,2339
1,N,1,1,9,1,0,48-02507,9,818
2,1,1,1,8,5,0,48-02510,4,2346
1,6,1,2,4,8,0,48-02101,4,1852
2,1,1,2,4,5,0,48-02507,12,2213
2,1,1,1,7,10,0,48-02510,12,2565
2,1,1,2,8,10,0,48-02510,13,2313
2,1,1,2,5,7,0,48-02101,13,2056
2,1,1,2,8,5,0,48-02510,13,2427
1,1,1,1,7,7,0,48-02510,13,2766
1,1,1,1,4,7,0,48-02101,1,2019
1,1,1,1,8,10,0,48-02507,3,2689
1,6,1,1,5,10,0,48-02510,13,2590
2,1,1,2,8,10,0,48-02507,14,2599
1,1,1,2,4,10,0,48-02510,13,2528
1,6,1,2,8,5,0,48-02510,3,4811
2,6,1,2,9,10,0,48-02507,9,8883
1,1,1,2,5,9,1,48-02507,9,3048
2,1,1,1,9,9,0,48-02507,9,9022
1,1,1,1,5,7,0,48-02510,2,2363
1,1,1,2,7,10,0,48-02510,10,2160
1,1,1,2,5,10,0,48-02510,12,2025
1,6,1,2,8,1,0,48-02507,3,2148
1,6,2,1,8,9,0,48-02510,10,1856
1,1,1,2,4,10,0,48-02510,12,2629
1,N,1,1,9,10,0,48-02507,9,8998
1,6,8,1,8,5,0,48-02507,10,2383
1,1,1,1,7,10,0,48-02510,10,2152
2,1,1,1,8,5,0,48-02510,1,2623
1,1,1,2,8,10,0,48-02507,9,2366
2,6,1,1,5,7,0,48-02515,14,2647
1,6,1,1,8,10,0,48-02507,4,2863
1,1,1,1,7,10,0,48-02507,12,2090
2,6,1,2,4,7,0,48-02507,14,2433
1,1,1,1,8,7,0,48-02102,13,2691
2,1,2,2,5,10,0,48-02515,14,2222
1,1,1,1,6,1,0,48-02510,1,1605
2,1,1,1,5,7,0,48-02101,3,2545
2,1,1,2,8,10,0,48-02510,13,2489
1,1,1,2,5,10,0,48-02510,13,2336
2,1,1,1,8,10,0,48-02510,12,2262
1,1,1,2,3,7,0,48-02510,12,2362
2,1,1,1,7,7,0,48-02510,12,1608
1,1,1,2,4,7,0,48-02510,11,2706
1,N,1,2,9,3,1,48-02507,9,8610
1,6,1,2,8,1,0,48-02507,1,2895
1,1,1,2,7,10,0,48-02507,12,2599
1,1,1,2,8,10,0,48-02510,9,2817
1,N,1,2,9,10,0,48-02507,9,9257
2,1,1,1,5,1,0,48-02510,12,2135
2,1,1,1,8,6,0,48-02510,13,1841
1,1,1,1,7,10,0,48-02510,12,2154
1,1,1,2,8,10,0,48-02510,12,2015
1,N,1,1,0,5,1,48-02507,N,2474
1,1,1,1,8,1,0,48-02101,13,1962
1,1,1,1,0,5,0,48-02102,9,448
1,1,1,1,8,10,0,48-02507,10,2309
2,1,1,1,8,7,0,48-02510,1,1809
2,1,1,2,4,7,0,48-02510,14,1902
1,6,1,1,8,10,0,48-02507,9,852
1,1,1,1,0,1,0,48-02507,9,847
1,1,1,2,7,7,0,48-02510,12,2399
1,1,1,1,4,7,0,48-02510,1,1923
2,1,1,2,8,10,0,48-02510,1,2494
1,1,1,2,9,9,0,48-02101,5,464
1,1,1,1,2,10,0,48-02515,13,4469
1,6,6,1,8,9,0,48-02507,13,2668
1,1,1,2,8,7,0,48-02510,10,3059
2,6,1,2,5,10,0,48-02507,10,2409
1,1,1,1,8,10,0,48-02102,13,2059
1,6,1,1,5,5,0,48-02101,4,2774
2,1,1,2,3,10,0,48-02510,12,3133
1,N,1,1,9,1,0,48-02507,9,8447
1,1,1,1,5,1,0,48-02510,10,2163
1,6,1,0,6,5,0,48-02101,14,697
2,6,6,1,9,10,0,48-02101,9,2944
2,1,1,1,4,10,0,48-02101,13,2523
1,1,1,2,8,10,0,48-02510,2,2340
2,1,1,2,7,10,0,48-02510,12,2667
1,1,1,2,2,10,0,48-02510,9,610
1,1,1,2,5,10,0,48-02507,12,2375
2,1,1,1,8,10,0,48-02510,10,2978
1,5,1,2,8,10,0,48-02507,10,2238
1,1,1,2,5,10,0,48-02510,13,2921
1,1,1,1,5,10,0,48-02510,3,2009
2,1,1,1,7,10,0,48-02510,13,2036
1,1,1,1,8,10,0,48-02510,13,2809
1,1,1,1,8,7,0,48-02101,14,8682
1,6,1,2,8,10,0,48-02510,4,2314
1,N,1,1,9,1,0,48-02507,9,8757
1,1,1,2,4,2,0,48-02516,N,559
1,6,1,2,4,10,0,48-02101,4,719
1,1,1,1,8,1,0,48-02507,2,2141
1,1,1,1,7,10,0,48-02507,3,2244
1,1,1,2,8,10,0,48-02510,13,2413
1,1,1,2,8,7,0,48-02101,3,2606
1,N,1,1,9,1,0,48-02510,9,3919
2,1,1,1,2,7,0,48-02510,15,638
1,1,1,2,8,10,0,48-02510,1,1781
1,1,1,1,5,7,0,48-02507,3,356
2,1,1,2,8,9,0,48-02507,9,2286
1,1,1,2,6,7,0,48-02510,14,2663
1,1,1,1,8,10,0,48-02510,12,2210
1,1,1,1,8,10,0,48-02510,1,2294
2,1,1,1,8,7,0,48-02510,13,2585
2,6,1,2,8,10,0,48-02510,14,2597
1,1,1,2,7,1,0,48-02507,9,2772
1,1,1,1,8,10,0,48-02510,10,2871
2,1,1,1,8,7,0,48-02510,13,1656
2,1,1,2,8,1,0,48-02510,14,2675
1,1,1,1,5,7,0,48-02507,1,2122
1,1,1,1,8,10,0,48-02101,13,2398
2,1,1,1,4,10,0,48-02507,13,6465
1,1,1,1,8,10,0,48-02510,12,2893
1,1,1,1,4,7,0,48-02507,13,2078
1,1,1,1,8,10,0,48-02507,4,2422
1,6,1,2,8,10,0,48-02510,13,2702
2,1,1,2,9,1,0,48-02510,9,885
1,1,1,1,7,10,0,48-02510,11,2686
1,1,1,1,8,5,0,48-02101,14,1979
2,6,1,1,2,7,0,48-02510,14,4773
2,6,1,1,1,9,1,48-02507,9,6776
1,1,1,2,5,7,0,48-02516,12,2356
1,N,1,1,9,1,0,48-02101,9,9219
1,1,1,1,8,7,0,48-02510,14,1982
2,6,1,0,5,5,0,48-02101,13,2568
1,1,1,2,7,10,0,48-02510,13,1999
2,1,1,1,4,10,0,48-02510,10,1463
1,N,1,1,9,10,0,48-02507,9,9275
2,1,1,2,4,7,0,48-02510,13,2205
1,1,1,1,8,10,0,48-02507,12,2005
1,1,1,2,8,10,0,48-02507,9,770
2,6,1,2,5,7,0,48-02510,2,3011
1,1,1,1,8,10,0,48-02507,13,2937
1,6,1,1,9,1,0,48-02507,9,9078
1,1,1,1,8,10,0,48-02507,12,2524
1,6,1,1,7,7,0,48-02507,10,2099
1,1,1,1,5,1,0,48-02510,3,2453
1,1,1,1,8,10,0,48-02507,3,2015
1,1,1,2,4,9,0,48-02507,1,2105
1,N,1,2,9,3,0,48-02507,9,9275
1,1,1,1,8,7,0,48-02507,1,1909
2,1,1,1,8,7,0,48-02101,13,2936
1,N,1,2,9,10,0,48-02507,9,8654
1,6,1,2,5,5,0,48-02101,3,1692
1,1,1,2,7,7,0,48-02510,11,2590
1,1,1,2,8,7,0,48-02102,10,2308
2,1,1,2,5,7,0,48-02507,2,2669
1,6,1,2,9,10,0,48-02510,9,9030
2,6,1,0,0,10,0,48-02507,11,386
1,4,1,1,0,1,0,48-02101,11,525
1,1,1,1,8,7,0,48-02510,2,1741
1,6,2,1,2,10,1,48-02515,10,1943
1,1,1,1,9,10,0,48-02516,4,1665
2,1,1,1,8,7,0,48-02510,3,2410
1,6,1,2,5,7,0,48-02510,14,2020
1,1,1,1,8,7,0,48-02510,12,2273
1,1,1,1,4,10,0,48-02507,13,1947
1,1,1,1,7,10,0,48-02510,12,2100
1,6,1,2,9,10,0,48-02507,9,7397
2,1,1,2,6,5,0,48-02510,13,2507
2,1,1,1,4,10,0,48-02507,13,2855
2,1,1,1,0,10,0,48-02101,N,860
1,N,1,2,9,1,0,48-02510,9,8867
1,1,1,1,8,10,0,48-02507,13,547
2,1,1,2,8,7,1,48-02510,13,2366
1,N,2,2,9,3,0,48-02507,9,8780
2,1,1,1,5,9,0,48-02510,10,1954
2,1,1,1,8,10,0,48-02510,13,1016
1,6,1,2,8,7,0,48-02507,12,2253
1,1,1,1,8,7,0,48-02510,3,1469
2,1,2,1,8,10,0,48-02516,13,2282
1,1,1,2,7,10,0,48-02507,1,2133
1,1,1,1,4,10,0,48-02507,12,2519
1,6,1,2,8,10,0,48-02510,9,2081
2,1,1,1,8,5,0,48-02507,14,2249
1,3,1,1,9,1,0,48-02507,9,8536
2,6,1,1,5,7,0,48-02101,14,2037
1,1,1,2,3,7,0,48-02507,12,2202
2,6,1,1,1,5,1,48-02102,3,2205
1,1,1,2,8,10,0,48-02510,12,2372
1,1,1,1,5,10,0,48-02507,3,2813
1,N,1,2,9,1,0,48-02507,9,8892
1,N,1,2,9,3,0,48-02507,9,9106
1,1,1,2,7,10,0,48-02507,0,3862
2,1,1,2,7,10,0,48-02101,14,2164
1,1,1,1,8,8,0,48-02101,9,2735
1,1,1,2,8,10,0,48-02507,4,1564
1,1,1,1,3,7,0,48-02510,11,2361
2,1,1,2,8,10,0,48-02507,13,735
1,6,1,1,0,10,0,48-02101,N,715
2,1,1,2,4,7,0,48-02510,13,2903
1,4,1,1,8,10,1,48-02515,10,1930
1,1,1,1,8,7,0,48-02510,18,1942
2,1,1,2,5,10,0,48-02510,14,3054
1,1,1,1,5,7,0,48-02510,2,2706
1,1,1,1,8,10,0,48-02102,10,2520
2,1,1,2,4,7,0,48-02507,14,2258
1,1,1,0,5,5,0,48-02510,10,2288
1,1,1,1,8,7,0,48-02510,14,2222
2,1,1,2,8,10,0,48-02510,1,2999
2,1,1,1,3,7,0,48-02510,9,900
2,6,1,2,2,10,0,48-02516,4,4075
1,6,1,2,8,10,0,48-02510,13,2638
1,N,1,1,0,1,0,48-02507,9,961
1,1,1,2,8,10,0,48-02507,13,1866
1,6,1,2,4,10,0,48-02507,13,2530
1,1,1,1,8,1,0,48-02510,13,2103
2,3,1,2,1,7,0,48-02507,14,2764
1,6,1,1,6,7,0,48-02101,3,2847
1,6,1,1,8,10,0,48-02507,13,1877
2,1,1,2,8,7,0,48-02510,3,1596
2,1,1,2,4,5,0,48-02510,14,1822
1,6,1,0,8,7,0,48-02510,13,1977
1,1,1,2,5,7,0,48-02510,13,2597
1,1,1,1,8,10,2,48-02510,13,4305
1,1,1,1,8,10,0,48-02510,12,2461
2,6,1,2,3,7,0,48-02510,13,642
2,6,1,1,8,7,0,48-02101,0,3357
1,1,1,2,8,1,0,48-02510,4,671
