,INDP,count_target,count_deidentified
1,4670,14,37.0
10,4680,1,0.0
4,4690,3,8.0
7,4770,7,24.0
30,4780,3,12.0
19,4795,9,4.0
8,4870,12,4.0
24,4880,3,0.0
25,4890,1,0.0
0,4971,22,35.0
32,4972,1,4.0
17,4980,6,7.0
5,4990,5,0.0
3,5070,13,0.0
21,5080,5,16.0
29,5090,2,15.0
18,5170,16,31.0
12,5180,3,8.0
14,5190,1,19.0
26,5275,3,0.0
22,5295,1,0.0
16,5381,5,4.0
2,5391,5,0.0
28,5470,2,0.0
13,5480,2,36.0
15,5490,1,4.0
9,5570,3,4.0
27,5580,4,4.0
20,5593,8,0.0
23,5670,1,4.0
31,5680,2,0.0
6,5690,1,12.0
11,5790,8,3.0
