SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
1,1,1,1,4,0,48-02510,92,0,N,53,3948
1,1,6,1,9,0,48-02516,60,0,2,64,6274
2,4,1,1,8,0,48-02102,73,0,2,6,4772
1,4,1,2,8,0,48-02515,51,1,5,56,1566
1,1,1,1,4,0,48-02101,77,0,2,464,0
1,3,1,1,4,0,48-02101,92,0,N,N,2880
1,1,1,1,1,0,48-02516,77,1,2,66,3549
1,1,1,1,8,0,48-02515,67,6,5,58,4988
2,4,1,2,1,0,48-02516,29,6,5,59,4022
1,1,1,1,4,0,48-02101,78,0,2,498,1945
2,3,1,1,1,0,48-02101,86,0,N,217,4858
2,1,1,1,0,0,48-02101,88,0,2,235,3886
2,1,1,1,0,1,48-02516,88,N,3,27,6286
2,6,1,1,N,0,48-02102,92,0,N,65,4927
2,1,1,1,0,0,48-02510,44,2,5,498,6034
2,4,1,2,5,0,48-02101,92,0,3,311,4647
1,6,1,1,2,0,48-02510,65,7,N,499,0
2,6,1,2,0,0,48-02101,92,2,6,57,3306
1,1,1,1,8,0,48-02102,36,0,2,402,2308
1,4,1,1,8,0,48-02507,46,2,4,496,4974
2,6,1,1,0,0,48-02516,65,0,5,58,3306
2,4,1,1,6,0,48-02102,92,0,2,398,5746
2,4,1,2,0,0,48-02515,77,0,6,375,4149
1,1,1,1,7,0,48-02516,82,0,2,53,7031
2,1,1,1,0,0,48-02102,55,2,6,152,4727
2,6,1,1,0,0,48-02516,65,0,5,227,3306
2,1,1,1,3,0,48-02102,87,0,2,380,4678
2,1,1,1,6,0,48-02515,77,11,3,52,997
2,4,1,1,0,1,48-02101,79,2,2,6,4284
2,4,1,2,0,1,48-02507,60,0,6,320,1788
1,1,1,1,9,0,48-02507,92,0,2,66,870
1,6,1,1,0,0,48-02102,77,2,3,251,5074
2,6,1,1,0,0,48-02101,32,3,5,253,3306
2,6,1,1,8,1,48-02102,41,3,N,52,3889
2,6,9,1,0,4,48-02507,63,0,5,447,3773
1,1,1,1,7,1,48-02102,77,0,5,65,3704
1,6,1,1,0,0,48-02102,32,0,N,63,3306
2,1,5,1,1,0,48-02102,63,0,2,52,4614
2,6,1,2,0,0,48-02101,65,0,N,53,3306
1,6,6,1,0,4,48-02101,92,0,2,N,0
2,4,8,2,0,1,48-02515,54,5,6,442,7167
2,3,1,1,1,0,48-02510,92,0,2,380,3306
1,6,1,2,N,0,48-02516,77,3,5,66,1665
1,1,1,1,6,0,48-02101,92,1,3,58,3670
1,1,1,2,0,0,48-02507,92,0,2,59,0
1,3,2,2,9,1,48-02507,55,3,7,420,5081
2,4,2,2,2,1,48-02102,71,0,2,233,5250
2,1,1,1,8,0,48-02507,54,0,2,340,7063
2,4,1,1,0,0,48-02507,65,3,N,56,537
2,6,8,1,7,0,48-02516,84,0,3,57,5106
2,1,1,1,1,0,48-02101,45,3,5,0,4083
1,6,1,2,3,0,48-02507,77,6,3,56,0
2,5,1,1,4,1,48-02516,55,0,4,222,2368
1,6,1,1,8,0,48-02102,85,0,2,53,308
1,6,1,1,0,0,48-02101,43,1,7,226,83
2,1,1,1,2,0,48-02102,88,0,2,56,4793
2,2,1,1,0,4,48-02507,77,1,3,87,3306
1,1,1,1,0,1,48-02507,92,0,5,65,4293
2,1,1,1,0,0,48-02507,56,1,5,59,4237
1,1,1,1,3,1,48-02516,92,1,5,210,858
2,6,9,1,9,0,48-02507,32,3,5,5,6915
1,6,8,1,6,0,48-02101,70,2,6,297,6508
1,1,1,1,8,0,48-02101,71,N,11,56,4872
2,1,1,1,4,0,48-02510,28,0,2,391,7125
2,4,1,1,0,0,48-02101,92,2,6,295,1306
2,4,1,1,6,0,48-02102,92,0,3,248,3780
1,1,1,1,9,0,48-02510,92,2,6,58,4070
2,1,1,2,1,0,48-02507,64,3,5,371,4618
1,6,2,2,0,0,48-02507,30,1,2,313,6237
1,4,1,1,5,0,48-02515,38,3,5,498,7418
1,1,1,1,6,0,48-02101,65,1,3,60,7445
2,1,1,1,2,0,48-02515,75,0,7,57,4698
2,1,1,1,5,0,48-02516,92,0,2,65,3306
1,4,1,1,9,0,48-02507,80,0,2,150,5692
2,1,1,1,6,0,48-02516,66,0,3,5,3577
2,6,1,1,0,0,48-02516,92,0,N,5,3639
2,6,1,1,0,0,48-02515,22,0,N,273,0
2,4,1,2,0,0,48-02515,92,0,2,135,0
1,1,1,1,7,0,48-02101,88,0,2,57,2614
1,1,1,2,0,0,48-02507,69,3,3,274,2780
2,4,1,1,7,0,48-02101,92,5,2,64,4719
1,6,1,1,6,4,48-02102,77,11,6,64,997
2,1,1,1,6,0,48-02507,77,2,5,499,3306
2,4,1,1,2,0,48-02510,86,0,3,5,0
2,4,1,1,4,0,48-02507,47,0,N,197,1502
1,6,1,1,0,0,48-02516,65,1,4,57,5650
1,1,1,1,2,0,48-02101,86,1,2,59,0
1,1,1,1,5,0,48-02507,44,0,4,497,110
2,4,2,1,6,1,48-02515,52,3,N,345,6310
2,6,7,1,5,3,48-02102,77,0,7,66,2640
1,6,1,1,8,1,48-02101,77,3,2,251,0
2,6,1,1,2,0,48-02102,42,0,2,267,431
1,1,1,1,5,1,48-02516,76,0,2,467,2441
2,N,4,1,0,0,48-02515,92,0,8,176,1589
2,1,1,1,1,0,48-02101,92,0,2,199,1059
1,1,1,1,9,2,48-02101,32,3,5,66,4421
2,6,1,2,0,0,48-02101,92,0,N,501,5140
2,1,1,1,0,0,48-02101,92,0,2,169,3947
1,1,1,1,0,0,48-02102,60,2,4,63,2072
2,6,2,1,2,0,48-02507,92,0,2,259,3549
1,1,1,2,0,0,48-02102,64,3,6,325,858
2,6,1,1,6,0,48-02516,92,0,N,58,3306
