SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
1,4,1,1,6,3,0,48-02510,18,3971
2,1,7,1,6,6,0,48-02507,12,3942
1,1,1,1,4,1,0,48-02516,N,6561
1,1,1,1,N,6,0,48-02510,18,76
1,1,1,1,N,1,0,48-02507,18,4126
1,1,1,1,6,3,0,48-02507,12,3306
2,1,1,1,6,6,0,48-02507,N,6030
2,1,1,1,N,6,0,48-02516,18,9117
2,1,1,1,6,6,0,48-02101,15,6716
2,1,1,1,N,6,0,48-02507,18,4307
2,1,1,1,N,6,0,48-02516,N,3758
1,1,1,1,N,3,0,48-02507,N,3115
2,3,1,1,8,6,0,48-02101,N,5718
2,6,1,1,N,6,0,48-02516,N,1922
2,6,1,1,6,10,0,48-02101,12,0
1,1,1,1,N,6,0,48-02102,N,7349
1,1,1,1,N,6,0,48-02507,N,7121
2,1,1,1,6,11,0,48-02507,15,2300
1,1,1,1,6,10,0,48-02102,N,2526
1,1,1,1,N,1,0,48-02507,N,5057
2,1,1,1,7,6,0,48-02507,10,1020
2,1,1,1,6,3,0,48-02102,17,3866
1,1,1,1,N,6,0,48-02102,18,4190
1,1,1,1,N,6,0,48-02102,18,5592
2,6,1,1,6,3,0,48-02101,N,3306
1,1,1,1,0,6,0,48-02507,N,6783
1,1,1,1,N,6,0,48-02507,18,3306
2,1,1,1,6,1,0,48-02101,18,4672
1,1,1,1,6,10,0,48-02507,18,7231
1,1,1,1,N,3,0,48-02507,N,7143
2,1,1,1,N,6,0,48-02101,N,3306
2,1,1,1,N,3,0,48-02507,14,3547
1,1,1,1,N,10,0,48-02510,18,2458
2,1,1,1,N,1,0,48-02507,N,2890
1,1,1,1,6,6,0,48-02507,N,6277
1,1,1,1,8,6,0,48-02516,16,2879
1,6,1,2,8,6,0,48-02101,8,3675
1,1,1,1,N,6,0,48-02507,N,5279
2,1,1,1,N,6,0,48-02507,N,4134
2,1,1,1,6,6,0,48-02101,18,7634
1,1,1,1,6,6,0,48-02101,18,4006
1,3,1,1,N,6,0,48-02507,16,0
1,1,1,1,N,6,0,48-02507,18,5938
2,1,1,1,6,6,0,48-02507,18,8391
1,1,1,1,N,3,0,48-02101,18,4292
2,1,1,1,N,10,0,48-02102,N,7793
2,1,1,1,N,3,0,48-02507,18,8645
1,1,1,1,6,10,0,48-02101,18,7642
1,1,1,1,6,6,0,48-02516,N,570
1,1,1,1,6,3,0,48-02102,N,3306
1,1,1,1,N,6,0,48-02507,13,0
2,1,6,1,6,10,0,48-02507,18,723
2,1,1,1,N,6,0,48-02507,N,8361
2,1,1,1,N,6,0,48-02102,18,8302
1,6,1,1,N,3,0,48-02101,18,5244
1,1,1,1,N,3,0,48-02516,7,3561
1,1,1,1,N,6,0,48-02507,18,8145
