PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
48-02102,39,1,1,0,1,0,7,1,1,357.4,9070,0,8,51900.0,8,64,N,2,2,2,2,114,95,4190
48-02102,53,2,4,0,1,0,4,1,1,450.9,5280,18,5,27100.0,7,56,N,2,2,2,2,43,63,5860
48-02102,10,1,1,0,1,2,4,1,1,450.9,N,4,1,-1300.0,0,483,N,2,2,2,2,54,134,7352
48-02507,43,1,1,0,1,0,2,1,1,3731.1,3380,6,5,10600.0,0,33,N,2,2,2,2,48,21,2915
48-02507,55,1,6,0,1,0,2,1,1,3731.1,4980,1,1,5600.0,8,496,N,2,2,2,2,12,0,5239
48-02516,35,2,1,0,1,2,4,1,1,1338.4,8891,1,3,13600.0,3,N,N,2,2,2,2,38,136,5840
48-02516,29,2,6,0,2,0,2,1,1,1338.4,7071,9,2,23000.0,3,283,N,2,2,2,2,158,369,2680
48-02101,37,2,1,0,1,1,3,1,1,1338.4,7190,1,1,40200.0,8,5,N,2,1,1,1,80,71,2232
48-02101,20,2,1,0,1,2,3,1,2,357.4,N,16,4,27700.0,2,201,N,2,2,2,2,84,132,8364
48-02507,62,2,1,0,1,0,2,1,2,3731.1,N,14,7,6900.0,0,403,N,2,2,2,2,22,41,7163
48-02101,41,2,4,0,1,0,2,1,1,357.4,8660,1,4,51700.0,3,53,N,2,2,2,2,6,11,6289
48-02515,43,2,6,0,1,1,4,1,1,2134.8,N,9,4,100004.0,0,154,N,2,2,2,2,78,54,1750
48-02101,60,1,1,0,1,0,2,1,1,357.4,7670,10,8,62900.0,2,212,5,2,2,2,2,11,52,2266
48-02510,35,2,1,0,2,0,3,1,1,3092.4,8990,10,7,25450.0,6,57,N,2,2,2,2,52,73,8805
48-02510,34,2,1,0,1,0,3,1,2,3092.4,N,0,8,205200.0,7,86,4,2,2,2,2,39,43,1369
48-02101,51,1,4,0,1,0,N,1,1,357.4,8680,18,1,134600.0,3,278,N,2,2,2,2,173,74,6465
48-02516,40,1,1,0,1,0,2,1,1,1338.4,3670,3,7,53500.0,7,60,N,2,2,2,2,89,154,6244
48-02516,33,1,1,0,1,1,2,1,1,1338.4,8660,0,12,131700.0,7,63,N,2,2,2,2,184,107,7328
