,INDP,count_target,count_deidentified
17,1070,1,0.0
16,1180,2,0.0
12,1190,1,1.0
25,1270,1,1.0
15,1280,3,0.0
29,1370,2,0.0
32,1691,1,1.0
28,1770,1,0.0
0,1880,1,1.0
1,1990,5,0.0
5,2190,42,21.0
21,2270,2,0.0
34,2280,1,0.0
10,2290,4,1.0
33,2370,1,0.0
27,2470,1,1.0
24,2590,1,1.0
30,2690,1,0.0
26,2880,4,1.0
11,2980,2,0.0
3,3095,2,0.0
7,3291,13,0.0
19,3365,6,0.0
20,3370,3,1.0
4,3380,25,0.0
13,3390,20,17.0
14,3490,10,0.0
22,3570,4,0.0
8,3580,9,1.0
2,3590,1,0.0
31,3680,1,0.0
23,3895,2,0.0
6,3960,12,1.0
9,3980,5,1.0
18,3990,4,0.0
