,feature,divergence
22,PWGTP,15.727691978333334
23,WGTP,14.64963953488372
14,PINCP,1.0435085354896676
1,AGEP,0.9836206896551725
11,INDP,0.7841148638159972
16,POVPIP,0.13256084591895734
15,PINCP_DECILE,0.11124456938410426
13,EDU,0.08398971302464425
12,INDP_CAT,0.052214035298726764
7,NPF,0.025698933842168082
3,MSP,0.020997851290237346
6,NOC,0.01934701831560297
0,PUMA,0.017000009406128447
10,DENSITY,0.01373849926109244
5,RAC1P,0.010068472705762435
4,HISP,0.008073993030229352
17,DVET,0.00794884525081923
9,OWN_RENT,0.0037423512035934525
2,SEX,0.003715994621202534
18,DREM,0.002608191672298872
8,HOUSING_TYPE,0.002088251179907054
19,DPHY,0.002029250315314833
20,DEYE,0.0009534383855742783
21,DEAR,0.00014056464859850404
