,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,0.0,-0.06662545834699204,-0.0017245852442306312,0.0980070370132223,0.09642588443906155,0.12775900320977213,-0.06928060582035234,-0.12138694133144504,0.10311210473160781,-0.04416014747045037,-0.006273185831705125
AGEP,-0.06662545834699204,-1.4432899320127035e-15,-0.08102709529878885,0.018546761435882755,0.07775300114165179,0.13856951931849842,0.3991194587563965,0.2512745631097593,0.020664647637133438,-0.43873038122148944,0.15429043052876593
SEX,-0.0017245852442306312,-0.08102709529878885,1.9984014443252818e-15,-0.04027267119028516,-0.01071471743289778,0.03718852475920665,0.035712785965178226,0.0848973348081759,-0.004080956560180168,0.15385558718867604,-0.0277212361551231
MSP,0.0980070370132223,0.018546761435882755,-0.04027267119028516,-6.661338147750939e-16,-0.012183242951974389,0.039193161705551885,0.23647453599184115,0.056265323481968776,0.11310902456662798,0.0392313425345,0.02974839775568654
HISP,0.09642588443906155,0.07775300114165179,-0.01071471743289778,-0.012183242951974389,-3.1086244689504383e-15,-0.1528714910346875,-0.002018090186864961,-0.01876484682960205,-0.08072371674665538,0.09571812908626273,0.08351625415140493
RAC1P,0.12775900320977213,0.13856951931849842,0.03718852475920665,0.039193161705551885,-0.1528714910346875,5.995204332975845e-15,-0.07879642842179381,-0.03054028922203044,-0.02032488482938176,0.12247006224537997,-0.015003568148930405
NOC,-0.06928060582035234,0.3991194587563965,0.035712785965178226,0.23647453599184115,-0.002018090186864961,-0.07879642842179381,-5.551115123125783e-16,-0.06901499416230084,-0.240429358188054,0.07232128043908889,-0.08158847123269293
NPF,-0.12138694133144504,0.2512745631097593,0.0848973348081759,0.056265323481968776,-0.01876484682960205,-0.03054028922203044,-0.06901499416230084,1.3322676295501878e-15,-0.13430299169295978,0.03895141091522179,-0.06915244457350028
OWN_RENT,0.10311210473160781,0.020664647637133438,-0.004080956560180168,0.11310902456662798,-0.08072371674665538,-0.02032488482938176,-0.240429358188054,-0.13430299169295978,-1.2212453270876722e-15,-0.12291752473156053,-0.015829655959832354
PINCP_DECILE,-0.04416014747045037,-0.43873038122148944,0.15385558718867604,0.0392313425345,0.09571812908626273,0.12247006224537997,0.07232128043908889,0.03895141091522179,-0.12291752473156053,-4.440892098500626e-16,-0.03571657207883994
DEYE,-0.006273185831705125,0.15429043052876593,-0.0277212361551231,0.02974839775568654,0.08351625415140493,-0.015003568148930405,-0.08158847123269293,-0.06915244457350028,-0.015829655959832354,-0.03571657207883994,-6.661338147750939e-16
