,DENSITY,DPHY,DREM,PINCP_DECILE,HISP,HOUSING_TYPE,DVET,EDU,MSP,PUMA,NPF,DEAR,RAC1P,SEX,INDP_CAT,DEYE,OWN_RENT,AGEP,NOC
DENSITY,0.0,0.019498731146369075,0.014827166440030945,0.005985293815138397,-0.0138338797841899,-0.009995960467475515,0.012752069967020474,-0.02428736022550334,-0.0017703631021075278,0.014362025686031399,-0.003047895425763114,0.014519152658138829,-0.04687529977001542,-0.005870712874844067,0.01957618977260573,0.019377536325219533,-0.007448718269859489,-0.0009194680779790413,-0.013671658691331912
DPHY,0.019498731146369064,0.0,-0.03819773842965324,-0.015133016666396687,0.016852121609056747,0.0012794605567253078,0.031692416011105035,-0.018137667247623807,0.010564997095813822,0.006681667075287823,0.0016362483433753558,-0.019808598043578263,0.014170382386040157,0.006821041005102307,-0.027426567433683602,-0.014241135704911478,0.016917274392765264,0.0018550239517848843,0.003994865962252955
DREM,0.014827166440030943,-0.03819773842965324,2.220446049250313e-16,-0.009867643387522329,0.019684354705835728,0.007880929596641092,0.020154591899287533,-0.005452885738751856,-0.008228766959085226,0.00522227437786169,-9.398365605615966e-05,-0.006888714878689445,0.017518916353226277,-0.01071569544633921,-0.038807384298849223,-0.01336069358836825,-0.00451527712084597,-0.004733621911116231,-0.02219858859489382
PINCP_DECILE,0.005985293815138404,-0.01513301666639666,-0.009867643387522329,0.0,0.014915347784071761,0.009075909323413747,-0.002901622551801236,-0.03579966771625398,-0.004428038274162133,0.00019676197620869477,0.021274990970877955,0.020332889109161742,0.00828969693186965,0.006845854955485148,-0.06707476535943929,0.007042248062906466,-0.012318268262459232,-0.05226182203033092,-0.002980127680281136
HISP,-0.0138338797841899,0.01685212160905675,0.01968435470583573,0.014915347784071761,2.220446049250313e-16,0.011231697312645636,0.017887370377090414,0.002826304287685044,0.006790760314791512,-0.01141426538632219,-0.010601758638648442,0.007461743545704027,-0.004344052655329528,0.0050341406087045515,-0.03353619680219423,0.05052895927461709,-0.024738545296477746,0.002020481607868746,0.007809215656812557
HOUSING_TYPE,-0.009995960467475515,0.001279460556725301,0.007880929596641106,0.009075909323413733,0.011231697312645636,-1.1102230246251565e-16,0.021984855458222242,0.009733875225543764,-0.005613319835301389,0.0015269310478398315,0.034956207936913675,-0.01286594836118839,0.018405547450825434,0.010680822617387127,0.031187762100911676,0.014206920346394016,0.06762924127604364,-0.0004181931057671978,0.10990284565901387
DVET,0.012752069967020474,0.03169241601110504,0.020154591899287533,-0.002901622551801243,0.017887370377090414,0.021984855458222242,0.0,-0.01164553603644572,0.02173393638042153,-0.016838289791406273,-0.022959431177588818,0.05116563469151943,-0.018060750500744738,0.056731205813957,0.037164247867972434,0.06376509320837762,0.0032934773807559263,-0.04084444105547299,-0.0002984909369680988
EDU,-0.02428736022550334,-0.018137667247623834,-0.005452885738751911,-0.03579966771625398,0.002826304287685044,0.009733875225543764,-0.011645536036445713,-2.220446049250313e-16,-0.007832317282505497,0.0034814844944836484,0.012011301421515908,-0.017830204026723483,0.0058804552099651075,0.006963287806787236,-0.05282601785297664,0.019953680424511795,-0.0032956627519917098,-0.03227581962816484,-0.007178618751058935
MSP,-0.0017703631021075417,0.010564997095813822,-0.008228766959085254,-0.004428038274162105,0.006790760314791514,-0.005613319835301417,0.02173393638042153,-0.007832317282505524,0.0,-0.004907065120403828,0.04087971466738277,-0.004400635775835347,0.02653501370907846,-0.008571527228251403,-0.053987300083168016,-0.006573090731076668,0.01246041873093321,-0.014473406014096954,0.03902531482482663
PUMA,0.014362025686031395,0.006681667075287822,0.00522227437786169,0.0001967619762086939,-0.01141426538632219,0.0015269310478398246,-0.016838289791406273,0.0034814844944836484,-0.004907065120403828,-2.220446049250313e-16,0.020211066234247274,-0.010173694700423005,-0.0032971446036120095,-0.009098338716764645,-0.015844488917310003,-0.017212132839829555,-0.007243395806353269,0.005052105134965559,-0.014228888851550187
NPF,-0.003047895425763114,0.0016362483433753593,-9.398365605615966e-05,0.021274990970877955,-0.010601758638648429,0.03495620793691362,-0.022959431177588818,0.01201130142151588,0.040879714667382716,0.020211066234247274,2.220446049250313e-16,-0.021715862710212024,-0.020883255453386873,0.003933819337763003,0.021452282624252195,-0.03590998996094126,-0.019092779987283825,0.03896294874592024,-0.10130120456431346
DEAR,0.014519152658138822,-0.019808598043578263,-0.006888714878689445,0.02033288910916174,0.007461743545704034,-0.012865948361188387,0.05116563469151943,-0.017830204026723483,-0.004400635775835342,-0.010173694700423,-0.02171586271021203,0.0,-0.0037913854713773135,-0.004495730178796259,-0.04733788577846737,-0.007871868426824413,0.03325654027991748,0.02545730872949384,0.009304882131719983
RAC1P,-0.046875299770015394,0.01417038238604015,0.017518916353226277,0.008289696931869678,-0.004344052655329528,0.018405547450825434,-0.018060750500744734,0.0058804552099651075,0.02653501370907846,-0.0032971446036120095,-0.02088325545338686,-0.0037913854713773204,0.0,-0.009677067361942735,0.018111863044756683,-0.003972270700435987,-0.005349606211502905,0.0006290290462571263,-0.009852039338360031
SEX,-0.005870712874844065,0.006821041005102307,-0.01071569544633921,0.006845854955485141,0.0050341406087045515,0.010680822617387127,0.05673120581395699,0.006963287806787243,-0.008571527228251405,-0.009098338716764642,0.003933819337763003,-0.004495730178796259,-0.009677067361942734,0.0,0.03000472104321461,-0.012317140010050553,-0.0025884526219485046,-0.0015104261765030713,0.006279022813194559
INDP_CAT,0.01957618977260573,-0.027426567433683574,-0.03880738429884925,-0.06707476535943929,-0.03353619680219423,0.03118776210091167,0.037164247867972434,-0.05282601785297664,-0.053987300083168016,-0.015844488917310003,0.021452282624252195,-0.047337885778467384,0.018111863044756683,0.03000472104321461,0.0,-0.005464295810075938,-0.02335338590721822,0.019979001761829762,-0.00040110510617133444
DEYE,0.019377536325219533,-0.014241135704911478,-0.01336069358836825,0.007042248062906471,0.05052895927461709,0.014206920346394016,0.06376509320837762,0.019953680424511802,-0.006573090731076661,-0.017212132839829555,-0.03590998996094126,-0.007871868426824413,-0.003972270700435987,-0.012317140010050553,-0.005464295810075938,2.220446049250313e-16,0.02026754039946038,0.0383831149707048,0.00975079327489796
OWN_RENT,-0.007448718269859489,0.016917274392765264,-0.004515277120845969,-0.012318268262459235,-0.02473854529647776,0.06762924127604364,0.0032934773807559246,-0.003295662751991703,0.01246041873093321,-0.007243395806353265,-0.019092779987283825,0.03325654027991748,-0.005349606211502905,-0.0025884526219485046,-0.02335338590721823,0.02026754039946038,1.1102230246251565e-16,0.00045111986952682537,-0.08392112573798348
AGEP,-0.0009194680779790413,0.0018550239517848826,-0.004733621911116231,-0.05226182203033092,0.002020481607868732,-0.00041819310576720475,-0.04084444105547299,-0.03227581962816478,-0.014473406014096954,0.005052105134965559,0.03896294874592024,0.02545730872949384,0.0006290290462571124,-0.0015104261765030574,0.019979001761829776,0.0383831149707048,0.00045111986952683925,0.0,0.024569153939474064
NOC,-0.013671658691331912,0.0039948659622529616,-0.022198588594893834,-0.0029801276802811083,0.007809215656812557,0.10990284565901387,-0.00029849093696809187,-0.007178618751058935,0.039025314824826574,-0.014228888851550187,-0.10130120456431346,0.009304882131719969,-0.009852039338360024,0.0062790228131945625,-0.00040110510617132056,0.009750793274897945,-0.08392112573798349,0.02456915393947401,0.0
