,AGEP_x,DEYE_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEYE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,54,2,0,2,1,3,2,9,501,24-01004,6,1,33,2,0,N,9,501,50.0
1,50,2,1,5,N,N,2,5,258,19-01700,1,2,48,2,1,3,4,232,16.666666666666664
2,63,2,2,4,0,2,2,6,312,36-03710,2,1,76,2,0,N,7,475,33.33333333333333
3,24,2,0,6,0,N,1,1,199,40-00200,7,2,17,2,3,4,0,2,16.666666666666664
4,74,2,0,3,0,N,2,6,501,24-01004,9,2,80,2,0,N,4,231,50.0
5,46,2,0,2,2,4,0,3,N,01-01301,2,2,77,2,N,N,2,N,33.33333333333333
6,35,2,2,1,0,2,2,4,139,06-07502,1,1,39,2,0,2,9,501,50.0
7,89,2,0,3,0,N,0,5,N,17-03529,2,2,74,2,N,N,1,N,50.0
8,31,2,2,1,0,2,2,N,28,51-01301,1,1,42,2,2,4,7,282,16.666666666666664
9,84,2,1,4,2,3,1,2,155,01-01301,1,1,70,2,0,2,0,176,16.666666666666664
10,85,2,0,3,0,N,1,4,501,17-03531,1,2,60,2,0,N,3,108,50.0
11,79,2,0,4,1,3,2,9,501,24-01004,9,2,80,2,0,N,5,360,16.666666666666664
12,8,2,0,N,0,9,1,1,162,36-04010,8,1,5,2,1,3,N,501,16.666666666666664
13,37,2,0,4,0,N,1,4,280,17-03531,1,2,56,2,0,3,8,460,33.33333333333333
14,29,2,1,6,0,2,1,6,193,30-00600,3,2,35,2,0,6,1,199,33.33333333333333
15,13,2,1,N,3,5,2,4,122,38-00100,3,2,11,2,1,5,N,122,50.0
16,85,2,1,1,2,4,1,5,501,30-00600,3,1,65,2,0,6,3,199,16.666666666666664
17,47,2,2,6,1,5,2,6,339,36-04010,2,1,30,2,2,3,3,111,16.666666666666664
18,60,2,4,1,0,2,2,3,188,36-04010,1,1,28,2,0,2,3,265,66.66666666666666
19,12,2,0,N,2,3,1,2,214,40-00200,5,2,1,2,1,3,N,501,33.33333333333333
20,59,2,1,4,1,4,2,5,211,06-08507,1,2,57,2,0,N,9,501,16.666666666666664
21,18,2,0,6,0,N,2,5,71,40-00200,2,2,33,1,0,2,1,48,16.666666666666664
22,19,2,4,6,N,N,0,5,N,26-02702,1,2,22,2,N,N,4,N,66.66666666666666
23,17,2,0,6,0,3,1,6,415,28-01100,6,2,18,2,3,7,0,105,16.666666666666664
24,62,2,0,2,0,N,1,5,320,36-04010,6,2,43,2,0,7,0,501,33.33333333333333
25,52,2,0,2,0,4,1,1,501,24-01004,2,2,39,2,1,11,0,501,33.33333333333333
26,36,2,4,1,0,4,2,1,19,17-03529,1,2,42,2,1,3,8,501,16.666666666666664
27,64,2,0,1,0,2,2,6,413,29-01901,6,2,35,2,2,4,9,501,16.666666666666664
28,13,2,2,N,2,3,2,6,465,40-00200,1,1,8,2,2,4,N,97,33.33333333333333
29,54,2,0,5,0,N,0,0,0,29-01901,2,2,70,2,N,N,0,N,50.0
30,11,2,0,N,3,6,0,5,161,38-00100,1,2,13,2,N,N,N,N,16.666666666666664
31,60,2,0,1,0,2,2,6,501,51-01301,9,2,30,2,0,2,9,501,66.66666666666666
32,36,2,1,1,0,5,2,1,37,26-02702,1,2,47,2,1,3,0,345,16.666666666666664
33,38,2,0,1,0,2,2,0,501,38-00100,6,2,38,2,0,2,9,501,83.33333333333334
34,22,2,0,6,N,N,1,3,263,36-04010,9,1,31,2,1,6,6,501,16.666666666666664
35,54,2,0,4,1,3,2,0,210,28-01100,9,2,46,2,0,N,3,96,16.666666666666664
36,7,2,1,N,3,5,1,4,492,26-02702,1,1,4,2,2,4,N,501,16.666666666666664
37,3,2,4,N,0,2,2,3,113,32-00405,8,1,1,2,2,3,N,122,16.666666666666664
38,58,2,2,1,0,2,2,0,42,36-03710,8,1,80,1,0,6,3,215,16.666666666666664
39,7,2,0,N,3,6,1,N,380,08-00803,2,1,8,2,2,4,N,501,33.33333333333333
40,49,2,0,5,2,4,2,5,244,51-01301,1,2,32,2,0,N,1,38,16.666666666666664
41,5,2,1,N,2,4,1,6,184,13-04600,1,2,7,2,1,3,N,321,16.666666666666664
42,3,2,0,N,3,5,0,1,N,36-03710,1,1,11,2,N,N,N,N,33.33333333333333
43,52,2,4,1,0,4,2,4,145,06-08507,9,2,61,2,0,2,5,196,33.33333333333333
44,14,2,0,N,2,4,1,9,501,36-04010,9,1,6,2,2,3,N,243,33.33333333333333
45,6,2,4,N,0,9,1,6,501,08-00803,1,2,10,2,0,5,N,501,50.0
46,70,2,0,2,N,N,0,0,N,13-04600,2,2,55,2,N,N,2,N,66.66666666666666
47,47,2,0,5,0,N,1,5,352,32-00405,2,2,59,2,0,N,1,35,50.0
48,25,2,0,2,1,3,2,0,0,19-01700,2,1,55,2,3,6,4,181,16.666666666666664
49,73,2,2,1,0,2,1,5,468,26-02702,1,1,61,2,0,5,8,501,33.33333333333333
50,36,2,0,4,0,2,1,3,416,19-01700,2,2,64,1,0,N,8,501,16.666666666666664
51,68,2,0,5,0,N,2,9,501,06-08507,9,1,41,2,0,N,9,501,83.33333333333334
52,58,2,0,1,2,5,1,5,151,13-04600,3,2,48,2,0,3,9,501,16.666666666666664
53,27,2,0,2,0,N,2,6,225,36-04010,6,2,39,2,1,2,4,130,16.666666666666664
54,66,2,0,1,2,4,2,0,219,19-01700,8,2,69,1,0,2,3,217,0.0
55,75,2,4,4,0,N,2,N,90,32-00405,8,2,75,2,0,N,2,79,66.66666666666666
56,42,2,0,2,0,N,1,8,501,24-01004,8,2,59,2,0,2,6,377,33.33333333333333
57,65,2,0,5,1,2,1,4,333,19-01700,6,2,59,2,0,2,3,313,33.33333333333333
58,83,2,2,3,0,N,1,3,42,36-03710,8,2,81,1,0,3,1,233,16.666666666666664
59,55,2,0,5,0,N,1,5,501,51-01301,6,1,38,2,0,3,3,501,50.0
60,82,2,0,4,0,N,2,8,501,38-00100,5,2,47,2,2,5,0,96,16.666666666666664
61,11,2,0,N,2,4,1,8,501,38-00100,2,2,5,2,2,3,N,300,33.33333333333333
62,77,2,0,3,0,N,1,N,349,36-04010,1,1,91,2,0,N,6,353,50.0
63,54,2,2,6,1,3,2,0,501,24-01004,1,2,24,2,0,N,4,227,16.666666666666664
64,61,2,2,1,3,4,2,N,136,36-03710,2,1,65,2,0,4,3,256,33.33333333333333
65,65,2,0,2,0,N,2,2,78,06-07502,1,2,30,2,0,N,8,501,50.0
66,52,2,4,4,0,N,2,2,206,51-51255,1,1,49,2,2,3,6,234,16.666666666666664
67,30,2,1,6,0,N,1,N,60,40-00200,3,1,22,2,0,3,2,182,33.33333333333333
68,32,2,0,6,0,N,1,9,501,24-01004,3,1,30,2,0,3,1,501,50.0
69,35,2,0,2,0,N,0,6,N,08-00803,1,2,60,2,N,N,0,N,50.0
70,66,2,1,2,0,N,2,3,171,32-00405,1,1,53,2,1,3,3,157,33.33333333333333
71,71,2,2,1,2,4,1,N,336,17-03529,1,2,52,2,0,2,7,501,16.666666666666664
72,23,2,0,6,N,N,1,4,260,17-03531,3,2,70,2,0,N,2,60,33.33333333333333
73,18,2,0,6,0,N,0,0,N,32-00405,3,1,70,2,N,N,2,N,50.0
74,35,2,2,1,0,2,2,0,286,40-00200,1,1,31,2,2,4,5,97,16.666666666666664
75,50,2,1,5,0,N,1,0,188,30-00600,1,2,41,2,0,3,6,475,33.33333333333333
