,feature,divergence
14,PINCP,3.503942300074804
15,PINCP_DECILE,3.0917940158553634
22,PWGTP,2.459223115193265
23,WGTP,2.244467655540566
13,EDU,1.6334600046915317
1,AGEP,1.5647624399075974
16,POVPIP,1.4077574783746543
0,PUMA,1.1646619841966637
11,INDP,1.1188830405486487
7,NPF,0.7702377680043981
10,DENSITY,0.7638506879345777
12,INDP_CAT,0.48811005781286515
6,NOC,0.35154948394948604
3,MSP,0.19498990093585664
2,SEX,0.18401370884398482
5,RAC1P,0.17571391401930211
4,HISP,0.1586025005713268
9,OWN_RENT,0.1227769224468089
18,DREM,0.06481542103039328
19,DPHY,0.056731246856487144
21,DEAR,0.03832036808006499
20,DEYE,0.024519549370444003
17,DVET,0.019344870396883162
8,HOUSING_TYPE,0.011091077188039148
