SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
2,1,1,1,3,0,48-02101,70,0,2,501
1,6,1,2,0,0,48-02507,19,0,2,0
1,6,1,1,8,0,48-02515,42,0,N,501
1,N,1,1,N,0,48-02101,17,4,6,89
1,1,1,1,9,0,48-02510,55,0,2,501
1,6,1,1,0,0,48-02507,18,2,5,292
1,6,1,1,0,0,48-02102,22,0,2,240
2,N,1,2,N,0,48-02101,15,3,4,136
1,6,1,2,0,0,48-02507,19,1,3,501
2,4,1,1,6,0,48-02102,62,0,N,501
2,4,1,1,7,0,48-02510,49,0,2,501
1,4,1,0,2,0,48-02515,63,N,N,N
2,1,1,2,0,0,48-02102,46,3,4,399
2,3,1,1,3,0,48-02102,79,0,N,0
1,6,1,2,5,0,48-02507,32,0,N,0
2,1,1,1,7,0,48-02101,45,1,3,501
2,6,1,2,5,0,48-02507,45,0,N,0
2,6,1,1,8,0,48-02510,19,1,3,501
2,1,1,1,4,0,48-02102,58,0,2,213
1,N,1,1,N,0,48-02101,11,0,3,501
2,1,1,1,5,0,48-02101,64,0,2,501
2,1,1,1,0,0,48-02102,50,0,2,351
2,4,1,1,5,0,48-02102,36,0,2,197
2,1,1,1,8,0,48-02510,63,0,2,501
1,6,1,1,N,0,48-02507,11,3,3,251
1,N,1,1,N,0,48-02101,14,3,5,501
1,1,1,1,5,0,48-02102,68,0,2,501
2,1,1,1,6,0,48-02101,40,0,2,501
2,4,1,0,2,0,48-02102,75,N,N,N
2,1,1,1,6,0,48-02101,55,0,2,501
2,1,1,1,0,0,48-02101,28,0,2,501
2,3,1,0,2,0,48-02102,80,N,N,190
2,1,1,1,7,0,48-02101,40,2,4,501
1,6,1,1,0,0,48-02510,20,0,3,501
1,1,1,1,8,0,48-02101,36,2,5,501
1,6,1,1,0,0,48-02101,20,0,N,241
1,1,1,1,9,0,48-02510,49,0,3,501
1,1,1,1,8,0,48-02510,35,2,4,501
1,N,1,1,N,0,48-02101,9,0,4,501
1,6,1,1,5,0,48-02102,34,0,N,501
1,1,1,1,7,0,48-02101,61,0,2,501
1,1,1,1,7,0,48-02102,35,3,5,315
1,1,1,1,6,0,48-02101,55,0,2,501
2,1,1,2,0,0,48-02101,30,2,4,251
2,1,1,1,0,0,48-02102,37,2,5,292
2,1,1,1,5,0,48-02101,55,0,2,501
2,1,1,1,7,0,48-02101,63,0,2,501
1,6,1,2,0,1,48-02507,21,3,5,0
2,3,1,1,3,0,48-02101,69,0,N,501
1,1,1,1,9,0,48-02101,66,0,2,501
1,N,1,1,N,0,48-02101,12,1,3,501
2,4,1,1,5,0,48-02102,72,0,N,0
1,1,1,1,7,0,48-02101,50,0,2,501
1,1,1,1,8,0,48-02101,52,0,2,501
1,N,1,1,N,0,48-02101,11,0,3,501
2,6,1,1,0,0,48-02102,28,2,5,501
1,1,1,1,5,0,48-02102,71,0,2,236
1,6,1,1,0,0,48-02507,13,1,3,0
1,1,1,1,9,0,48-02510,80,0,2,501
2,6,1,2,0,0,48-02507,24,3,5,0
1,N,1,1,N,0,48-02101,12,0,6,210
2,3,1,1,3,0,48-02101,86,0,N,213
2,4,1,1,6,0,48-02101,55,0,2,501
1,1,1,1,6,0,48-02102,38,3,5,292
2,1,1,1,0,0,48-02102,24,1,3,501
2,6,1,1,0,0,48-02101,23,1,3,501
1,1,1,1,8,0,48-02101,65,0,2,501
2,1,1,1,0,0,48-02101,61,0,2,501
2,4,1,1,6,0,48-02101,66,0,N,501
1,N,1,1,N,0,48-02101,5,2,4,501
2,3,1,1,3,0,48-02102,75,0,2,228
2,4,1,1,0,0,48-02102,31,0,2,501
1,N,1,1,N,0,48-02102,22,0,8,N
1,6,1,1,N,0,48-02101,15,2,3,501
2,1,1,1,8,0,48-02510,68,0,2,501
2,1,1,1,9,0,48-02510,57,0,2,501
1,1,1,1,6,0,48-02102,72,0,2,501
2,1,1,1,7,0,48-02510,38,2,4,501
2,4,1,1,7,0,48-02515,47,0,2,501
2,1,1,1,3,0,48-02102,78,0,2,335
1,1,1,1,9,0,48-02101,40,2,4,501
1,4,1,0,2,0,48-02515,65,N,N,N
2,4,1,1,5,0,48-02102,46,0,2,181
1,1,1,1,8,0,48-02101,52,1,3,501
2,1,1,1,0,0,48-02102,50,0,2,501
2,4,1,1,3,0,48-02102,73,0,2,179
2,1,1,1,6,0,48-02101,66,0,2,501
1,6,1,1,0,0,48-02507,21,3,5,0
2,4,1,1,5,0,48-02101,42,0,2,501
2,6,1,1,0,0,48-02101,15,2,4,251
2,1,1,1,8,0,48-02510,62,0,2,501
1,6,1,0,2,0,48-02515,20,N,N,N
2,4,1,1,6,0,48-02101,61,0,N,501
1,1,1,1,9,0,48-02101,46,0,5,501
2,1,1,1,7,0,48-02101,28,3,4,468
2,1,1,1,0,0,48-02102,48,3,5,292
2,1,1,1,7,0,48-02510,66,0,2,501
2,N,1,1,N,0,48-02510,17,3,5,19
2,1,1,1,0,0,48-02101,35,0,2,501
1,N,1,1,N,0,48-02102,4,0,7,44
2,6,1,1,0,0,48-02101,17,1,4,501
2,4,1,1,6,0,48-02101,56,0,N,181
1,6,1,1,9,0,48-02510,21,0,4,501
1,1,1,2,7,0,48-02101,36,2,4,410
1,1,1,1,6,0,48-02102,31,0,5,501
2,4,1,1,4,0,48-02102,60,0,N,0
1,6,1,1,0,1,48-02102,12,0,7,0
2,N,1,1,N,0,48-02510,14,2,4,501
1,1,1,1,8,0,48-02101,39,3,5,315
2,1,1,1,7,0,48-02101,52,0,2,501
2,1,1,1,9,0,48-02510,38,3,3,501
2,3,1,1,8,0,48-02507,80,0,N,501
2,1,1,1,7,0,48-02101,64,0,2,501
2,4,1,1,6,0,48-02101,50,0,2,501
1,N,1,1,N,0,48-02102,11,0,N,N
2,1,1,1,7,0,48-02101,74,0,2,501
2,6,1,1,6,0,48-02515,41,0,2,501
1,1,1,1,8,0,48-02101,27,0,2,501
2,3,1,1,7,0,48-02515,77,N,N,501
