SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
1,1,1,1,8,10,66,1,N,2
1,1,1,1,8,9,45,1,N,2
1,1,1,1,7,7,44,1,N,2
2,6,1,1,0,9,28,1,N,2
2,6,1,0,0,4,49,1,N,2
1,6,1,1,8,9,36,1,N,2
2,N,1,1,N,3,7,1,N,2
2,1,1,1,0,5,55,1,N,2
1,6,1,1,N,2,18,1,N,2
1,N,1,2,N,N,7,1,N,2
1,1,1,2,7,7,65,1,N,2
2,1,1,1,7,9,61,1,N,2
2,1,1,2,3,5,39,1,N,2
1,1,1,1,9,9,72,1,N,2
1,N,1,1,N,3,25,1,N,2
2,4,1,2,3,5,69,1,N,2
1,1,1,1,8,9,75,1,N,2
1,1,1,1,8,9,50,1,N,2
1,1,1,1,8,9,57,1,N,2
2,1,6,1,0,9,29,1,N,2
2,1,1,1,5,7,35,1,N,2
1,N,1,1,N,3,9,1,N,2
2,1,1,1,6,7,67,1,N,2
2,N,1,1,N,3,13,1,N,2
1,1,1,1,8,7,60,1,N,2
2,6,9,1,0,4,24,1,N,2
1,6,1,1,0,4,19,1,N,2
1,1,1,1,8,9,51,1,N,2
1,1,1,1,9,9,51,1,N,2
1,1,1,1,9,9,69,1,N,2
1,6,1,1,0,4,12,1,N,2
2,1,1,1,8,9,32,1,N,2
2,6,1,1,N,3,18,1,N,2
2,N,1,1,N,3,15,1,N,2
1,6,1,1,7,9,32,1,N,2
1,6,9,1,N,2,19,1,N,2
2,6,1,2,4,5,27,1,N,2
2,N,1,2,N,3,11,1,N,2
2,1,1,1,5,5,72,1,N,2
1,6,1,1,N,2,14,1,N,2
1,1,1,1,7,7,32,1,N,2
2,1,1,1,7,7,71,1,N,2
1,N,1,2,N,1,6,1,N,2
2,3,1,2,3,5,74,1,N,2
2,1,1,1,4,7,64,1,N,2
1,6,1,1,0,4,22,1,N,2
2,6,2,0,0,7,16,2,N,2
2,6,1,1,0,4,21,1,N,2
1,6,1,1,5,7,25,1,N,2
2,N,1,0,N,3,16,3,N,2
1,6,9,2,0,4,14,1,N,2
1,1,1,1,8,9,39,1,N,2
1,1,1,1,8,9,35,1,N,2
2,N,1,1,N,3,17,1,N,2
1,1,1,1,7,7,61,1,N,2
1,6,1,1,0,4,13,1,N,2
1,4,1,1,9,9,76,1,N,2
2,6,1,1,0,3,22,1,N,2
1,1,1,1,9,9,69,1,N,2
1,1,9,1,6,5,46,1,N,2
1,6,1,1,6,7,34,1,N,2
2,N,1,2,N,3,4,1,N,2
2,1,1,1,3,5,57,1,N,2
1,1,1,1,7,7,60,1,N,2
2,1,1,1,5,7,46,1,N,2
1,3,1,1,6,7,74,1,N,2
2,1,1,1,3,7,65,1,N,2
2,6,1,1,0,4,22,1,N,2
1,1,1,1,7,9,29,1,N,2
2,N,1,2,N,1,20,1,N,2
1,6,1,1,0,4,14,1,N,2
1,1,1,1,6,7,65,1,N,2
1,6,1,1,0,4,17,1,N,2
2,1,1,1,0,9,43,1,N,2
1,1,1,1,8,9,59,1,N,2
1,1,1,1,8,9,35,1,N,2
1,N,1,1,N,2,1,1,N,2
1,6,1,1,0,4,18,1,N,2
2,6,1,1,0,5,21,1,N,2
1,1,1,1,8,9,59,1,N,2
2,1,1,1,3,5,73,1,N,2
2,1,1,1,7,9,39,1,N,2
1,6,1,1,0,4,18,1,N,2
1,6,1,1,0,3,7,1,N,2
2,1,1,1,7,9,32,1,N,2
1,6,1,2,0,4,24,1,N,2
1,N,1,1,N,3,4,1,N,2
1,6,1,1,0,4,21,1,N,2
1,N,1,1,N,3,13,1,N,2
2,1,6,1,0,9,56,1,N,2
1,N,1,1,N,3,4,1,N,2
1,1,1,2,6,7,31,1,N,2
1,6,1,1,N,2,19,1,N,2
1,N,1,2,N,3,12,1,N,2
2,1,1,1,4,7,62,1,N,2
2,1,1,1,3,5,74,1,N,2
2,1,1,1,3,5,47,1,N,2
1,1,1,1,7,9,34,1,N,2
2,1,1,1,8,9,51,1,N,2
1,1,1,1,7,9,41,1,N,2
2,1,1,1,0,9,56,1,N,2
2,4,1,0,3,4,57,2,N,2
2,N,1,2,N,3,17,1,N,2
1,6,1,1,0,4,24,1,N,2
2,1,1,1,7,9,48,1,N,2
2,1,1,1,0,9,57,1,N,2
2,N,1,1,N,3,9,1,N,2
2,1,6,1,4,9,30,1,N,2
2,1,1,1,7,9,36,1,N,2
2,6,1,2,3,5,26,1,N,2
2,1,1,1,6,7,56,1,N,2
1,6,1,1,0,4,20,1,N,2
1,6,1,1,0,4,19,1,N,2
2,N,1,1,N,3,9,1,N,2
2,1,1,1,0,9,65,1,N,2
1,1,1,1,6,7,54,1,N,2
2,1,5,1,8,9,29,1,N,2
2,3,1,2,3,5,78,1,N,2
1,6,6,1,0,4,19,1,N,2
1,3,1,1,8,7,71,1,N,2
1,1,1,1,9,9,46,1,N,2
1,4,1,2,9,9,50,1,N,2
1,6,1,1,4,5,31,1,N,2
1,6,1,2,6,7,31,1,N,2
2,N,1,1,N,2,12,1,N,2
2,N,1,1,N,2,12,1,N,2
2,6,1,1,0,3,15,1,N,2
2,1,1,1,3,4,72,1,N,2
1,N,2,2,N,3,13,1,N,2
2,1,1,1,3,5,62,1,N,2
1,N,8,2,N,3,9,1,N,2
1,1,1,1,8,7,67,1,N,2
1,N,1,2,N,3,16,1,N,2
2,4,1,1,3,5,74,1,N,2
2,N,1,1,N,3,9,1,N,2
1,6,1,2,3,5,34,1,N,2
2,4,1,2,3,5,74,1,N,2
1,6,1,1,0,4,23,1,N,2
1,6,1,1,8,9,25,1,N,2
2,N,1,1,N,3,18,1,N,2
2,1,1,1,0,9,35,1,N,2
2,N,1,2,N,3,11,1,N,2
1,1,1,1,8,9,36,1,N,2
2,N,1,1,N,3,13,1,N,2
2,1,1,1,0,5,58,1,N,2
1,N,1,1,N,3,9,1,N,2
2,N,1,1,N,3,10,1,N,2
1,N,1,1,N,3,11,1,N,2
2,3,1,2,4,5,72,1,N,2
2,1,1,1,6,7,72,1,N,2
2,6,2,2,0,4,15,1,N,2
1,6,1,1,N,1,8,1,N,2
2,1,1,1,6,9,39,1,N,2
2,1,1,1,5,7,61,1,N,2
1,1,1,1,7,7,72,1,N,2
1,N,1,2,N,3,7,1,N,2
2,1,2,1,4,7,57,1,N,2
1,1,1,1,9,9,66,1,N,2
1,6,1,2,0,4,23,1,N,2
1,1,1,1,9,9,59,1,N,2
1,6,1,1,0,4,16,1,N,2
2,1,1,1,8,9,59,1,N,2
2,N,1,1,N,3,9,1,N,2
2,4,1,1,3,5,79,1,N,2
2,1,1,1,3,5,65,1,N,2
1,1,1,1,9,9,59,1,N,2
1,6,1,1,6,7,41,1,N,2
2,1,1,1,7,9,35,1,N,2
1,6,8,1,0,4,31,1,N,2
1,N,1,1,N,N,8,1,N,2
1,N,1,2,N,3,13,1,N,2
1,N,1,2,N,3,7,1,N,2
2,1,1,1,0,9,62,1,N,2
2,4,1,2,3,5,64,1,N,2
2,1,1,1,3,5,74,1,N,2
2,6,1,1,0,7,28,1,N,2
1,1,1,1,7,7,66,1,N,2
2,1,1,1,7,9,48,1,N,2
2,1,1,1,9,9,68,1,N,2
2,N,1,2,N,1,14,1,N,2
2,N,6,1,N,3,6,1,N,2
1,1,1,1,9,10,70,1,N,2
1,6,1,1,0,4,9,1,N,2
2,6,1,0,0,3,57,3,N,2
2,1,1,1,0,9,31,1,N,2
2,1,1,1,4,7,55,1,N,2
1,1,1,1,9,9,61,1,N,2
1,4,1,1,9,9,61,1,N,2
1,6,1,1,0,5,26,1,N,2
