SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
2,1,1,1,6,9,0,48-02507,N
1,N,8,2,0,3,1,48-02507,N
2,N,1,1,0,2,0,48-02101,N
1,N,1,1,0,3,0,48-02101,N
1,1,1,1,8,9,0,48-02510,4
2,6,1,1,2,5,0,48-02101,14
2,6,1,2,0,7,0,48-02507,N
2,1,1,1,6,5,0,48-02102,N
2,3,1,1,3,5,0,48-02102,N
2,6,1,2,0,4,1,48-02507,N
2,1,1,1,4,7,0,48-02102,6
1,N,1,1,0,3,0,48-02510,N
1,1,1,1,7,5,0,48-02101,6
2,1,1,1,0,5,0,48-02510,N
2,6,1,1,0,4,0,48-02101,N
1,1,1,1,5,5,0,48-02102,6
2,N,1,1,0,3,0,48-02101,N
2,6,1,1,5,5,1,48-02101,4
2,1,1,1,4,7,0,48-02101,12
2,6,9,2,0,4,1,48-02507,N
1,6,1,1,5,5,0,48-02101,4
1,6,1,1,6,5,0,48-02102,3
1,6,1,1,4,5,0,48-02102,6
1,6,1,1,5,5,0,48-02102,4
2,1,1,1,3,7,0,48-02101,N
1,6,1,1,0,4,1,48-02102,N
1,1,8,1,8,5,1,48-02101,4
2,1,1,1,5,5,1,48-02101,9
1,N,1,2,0,N,1,48-02507,N
1,1,1,1,7,7,0,48-02507,N
2,1,1,1,5,7,0,48-02102,4
2,N,1,1,0,3,1,48-02101,N
2,1,1,1,7,9,0,48-02101,12
1,6,1,1,3,4,0,48-02102,N
2,1,1,1,8,9,0,48-02510,10
2,N,1,1,0,3,0,48-02101,N
1,1,1,1,8,9,0,48-02510,9
1,1,1,1,8,9,0,48-02510,10
1,N,1,1,0,3,0,48-02102,N
1,6,1,2,0,4,1,48-02507,N
2,1,1,1,8,7,0,48-02102,10
2,1,1,1,7,9,0,48-02101,4
1,1,1,1,8,7,0,48-02507,10
2,1,1,1,6,7,0,48-02507,10
1,6,1,1,5,7,0,48-02101,4
1,1,1,1,6,5,0,48-02102,3
1,1,1,1,7,7,0,48-02101,10
1,6,1,0,2,4,0,48-02102,6
2,1,1,1,0,5,1,48-02102,N
1,1,1,1,8,9,0,48-02510,9
2,6,1,1,0,4,1,48-02101,N
2,1,1,1,0,5,0,48-02510,N
2,1,1,1,8,9,0,48-02101,12
2,1,1,1,7,9,0,48-02101,12
1,N,1,2,0,3,1,48-02515,N
1,6,1,2,6,5,0,48-02101,3
2,3,1,1,7,9,0,48-02510,N
1,6,8,1,2,5,1,48-02101,14
2,1,1,1,8,9,0,48-02101,9
2,6,1,1,0,4,0,48-02102,N
1,N,1,1,N,3,0,48-02510,N
1,3,1,1,3,5,0,48-02102,N
1,1,1,1,4,5,0,48-02102,N
2,1,1,1,6,7,0,48-02102,6
2,1,1,1,3,9,0,48-02510,N
1,6,2,1,0,4,0,48-02507,N
1,1,1,1,8,7,0,48-02101,9
1,6,1,2,5,5,0,48-02101,4
1,6,1,1,0,4,0,48-02102,N
1,6,2,1,4,5,0,48-02507,14
2,6,1,1,2,5,0,48-02102,6
1,1,1,1,4,5,0,48-02507,N
1,N,1,1,0,2,0,48-02510,N
2,6,1,2,2,5,0,48-02515,14
2,1,1,1,6,7,0,48-02101,6
1,1,1,1,9,7,0,48-02101,3
2,1,1,1,7,9,0,48-02101,9
1,1,1,1,7,9,0,48-02507,10
1,6,9,1,1,4,0,48-02101,14
