,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET
PUMA,0.0,0.017343306141367722,0.01968481058296959,0.055805038452554134,-0.08299767974839044,0.009988986014656254,-0.06069878999998514,0.05380192191217725,0.01209589497267295,0.061540286924168255,0.0020023847629535145,-0.03700593303156202
AGEP,0.017343306141367722,-2.220446049250313e-16,-0.045131694782566026,-0.06721839315614025,0.10148291388781024,0.03514268758615824,0.32561823531867345,0.04232639826196696,0.11219817454283205,-0.3517515246290995,-0.40041400325038173,-0.07521941942055474
SEX,0.019684810582969593,-0.045131694782566026,0.0,-0.0048557197082493096,0.00018578256036676927,-0.022780701881634058,-0.009829495488092643,-0.00305422436503016,-0.023579070761996085,-0.027200759479438952,0.06846242337733699,0.0984067490537636
MSP,0.055805038452554134,-0.06721839315614025,-0.0048557197082493096,0.0,-0.012384335023062689,-0.05126285063477474,0.4042565432095106,0.0018096890790882392,-0.043482018444057205,-0.17405427129976075,-0.1398736347029507,0.02212611714901736
HISP,-0.08299767974839044,0.10148291388781024,0.00018578256036676927,-0.012384335023062689,2.220446049250313e-16,-0.07316126369106675,0.007939654902012913,-0.01417405852230015,-0.12629944980782826,0.0038070216202965856,0.09741334034794648,0.031227412213559333
RAC1P,0.009988986014656254,0.03514268758615825,-0.022780701881634058,-0.05126285063477474,-0.07316126369106675,0.0,-0.031382786480198405,0.010542214437812024,-0.1487854868843622,0.14373617211655437,0.1402514793601464,0.015489998292446858
NOC,-0.06069878999998514,0.32561823531867345,-0.009829495488092638,0.4042565432095106,0.007939654902012913,-0.0313827864801984,0.0,0.45019848926903083,-0.2156174368595383,0.011470771788888251,0.19198324517557314,0.037485374749307576
HOUSING_TYPE,0.05380192191217726,0.04232639826196696,-0.00305422436503016,0.0018096890790882392,-0.01417405852230015,0.010542214437812024,0.45019848926903083,-1.1102230246251565e-16,0.47191421141166817,0.04177774432580261,0.12187026086500981,0.010378485323558978
OWN_RENT,0.01209589497267295,0.11219817454283204,-0.023579070761996085,-0.043482018444057205,-0.12629944980782826,-0.1487854868843622,-0.2156174368595383,0.4719142114116681,1.1102230246251565e-16,0.04248804583023974,-0.015417640070114598,-0.007670649660762809
EDU,0.061540286924168255,-0.35175152462909953,-0.027200759479438952,-0.17405427129976073,0.0038070216202965856,0.14373617211655437,0.011470771788888251,0.04177774432580261,0.04248804583023974,0.0,-0.5639819955824037,-0.034726388994626156
PINCP_DECILE,0.002002384762953515,-0.40041400325038173,0.06846242337733699,-0.1398736347029507,0.09741334034794648,0.1402514793601464,0.1919832451755731,0.12187026086500982,-0.015417640070114595,-0.5639819955824037,0.0,-0.013081951781852987
DVET,-0.03700593303156202,-0.07521941942055474,0.09840674905376362,0.02212611714901736,0.031227412213559333,0.015489998292446855,0.037485374749307576,0.010378485323558978,-0.0076706496607628055,-0.03472638899462616,-0.013081951781852993,0.0
