,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,2.3314683517128287e-15,0.03137193337966854,0.009639150696816246,0.0794183866563588,-0.10495184331759323,0.049650508143719296,-0.07260447569570933,-0.09468743586915701,0.012368727800222872,0.0025351329832380863,-0.0036179634848373327
AGEP,0.03137193337966854,4.440892098500626e-16,-0.051912717364646435,-0.10862150163969651,0.07643105464836115,0.1177679594989345,0.4207219679178363,0.3065061525687446,0.11918088189531831,-0.5004693562434235,0.13951678950195145
SEX,0.009639150696816246,-0.051912717364646435,0.0,-0.006875379439802378,-0.013520966391486098,-0.006452698708127706,0.00043836455086899637,-0.011448731620384124,-0.03837686566477172,0.0757629435537497,-0.01280443251664644
MSP,0.0794183866563588,-0.10862150163969651,-0.006875379439802378,-3.3306690738754696e-16,-0.027406493028408172,0.0073660286962497655,0.42408125246947687,0.49914568911690094,-0.007181527154757126,-0.15003443811641184,0.024695038826526725
HISP,-0.10495184331759323,0.07643105464836115,-0.013520966391486098,-0.027406493028408172,3.6637359812630166e-15,-0.18579809284498228,-0.019794041925030113,-0.05836374682579621,-0.0895356633556654,0.08597650969545752,-0.01582116580713959
RAC1P,0.049650508143719296,0.1177679594989345,-0.006452698708127706,0.0073660286962497655,-0.18579809284498228,-2.7755575615628914e-15,-0.06477819076844898,-0.10310727775898444,-0.10630754795413001,0.11711961535995391,-0.008772179784477674
NOC,-0.07260447569570933,0.4207219679178363,0.00043836455086899637,0.42408125246947687,-0.019794041925030113,-0.06477819076844898,0.0,-0.6794204732431127,-0.21134739513728387,0.2594529353878095,-0.06291948532450942
NPF,-0.09468743586915701,0.3065061525687446,-0.011448731620384124,0.49914568911690094,-0.05836374682579621,-0.10310727775898444,-0.6794204732431127,-2.220446049250313e-16,-0.06369754013070568,0.23974465018199861,-0.05518281988056871
OWN_RENT,0.012368727800222872,0.11918088189531831,-0.03837686566477172,-0.007181527154757126,-0.0895356633556654,-0.10630754795413001,-0.21134739513728387,-0.06369754013070568,3.4416913763379853e-15,0.003628949186607558,0.0017361603974456255
PINCP_DECILE,0.0025351329832380863,-0.5004693562434235,0.0757629435537497,-0.15003443811641184,0.08597650969545752,0.11711961535995391,0.2594529353878095,0.23974465018199861,0.003628949186607558,0.0,-0.020834582833363917
DEYE,-0.0036179634848373327,0.13951678950195145,-0.01280443251664644,0.024695038826526725,-0.01582116580713959,-0.008772179784477674,-0.06291948532450942,-0.05518281988056871,0.0017361603974456255,-0.020834582833363917,-8.881784197001252e-16
