,AGEP_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,28,N,1,1,2,2,0,1,2,58,N,1,0,75.0
1,85,N,11,1,2,1,8,6,1,31,N,1,8,75.0
2,65,N,5,1,3,1,7,7,2,52,N,1,7,75.0
3,25,N,7,1,3,1,6,5,2,73,N,1,4,50.0
4,4,N,12,1,4,2,9,8,1,52,N,1,3,50.0
5,67,N,12,1,3,1,0,6,1,71,N,1,9,50.0
6,12,N,8,1,3,1,9,3,2,93,N,1,4,50.0
7,55,N,1,1,2,2,N,8,1,44,N,1,4,50.0
8,46,N,5,3,5,0,4,2,1,56,N,3,1,50.0
9,41,N,7,1,5,1,1,6,2,27,N,1,4,50.0
10,37,N,12,1,1,1,9,9,2,48,N,1,9,75.0
11,50,N,7,1,1,1,0,5,2,72,N,1,6,50.0
12,70,N,3,3,3,0,N,2,2,78,N,2,0,25.0
13,33,N,3,1,2,2,N,6,1,28,N,1,1,50.0
14,58,N,8,1,2,2,3,6,1,59,N,1,3,75.0
15,38,N,8,1,1,2,7,9,1,24,N,1,9,50.0
16,81,N,4,1,3,2,3,6,1,51,N,1,3,75.0
17,91,N,5,1,6,2,9,5,1,59,N,1,3,50.0
18,83,N,10,1,2,2,4,8,2,37,N,1,3,50.0
19,42,N,6,1,6,1,4,7,2,23,N,1,4,75.0
20,55,N,3,1,4,2,N,9,1,70,N,1,5,50.0
21,50,N,5,1,1,2,2,5,1,48,N,1,5,50.0
22,30,N,10,1,4,2,5,3,2,35,N,1,7,50.0
23,52,N,5,3,6,0,4,9,2,19,N,3,1,50.0
24,43,N,4,1,3,2,0,9,2,63,N,1,1,50.0
25,44,N,3,3,4,0,9,5,2,57,N,2,3,25.0
26,9,N,11,1,5,2,9,6,1,54,N,1,9,75.0
27,66,N,4,1,4,1,3,8,1,54,N,1,9,50.0
28,41,N,12,1,1,2,9,9,1,28,N,1,0,50.0
29,74,N,4,1,5,2,2,3,2,36,N,1,0,50.0
30,53,N,7,1,2,1,4,6,2,60,N,1,0,50.0
31,60,N,11,1,1,2,9,8,2,33,N,1,8,50.0
32,43,N,5,1,3,1,0,8,1,65,N,1,7,50.0
33,34,N,1,1,4,2,N,8,1,40,N,1,3,50.0
34,46,N,4,1,1,1,2,5,1,67,N,1,6,50.0
35,66,N,3,3,2,0,N,2,2,44,N,3,0,50.0
36,30,N,3,2,6,0,4,3,1,15,N,2,0,50.0
37,65,N,11,1,1,2,5,3,2,34,N,1,4,50.0
38,33,N,4,3,5,0,0,1,1,56,N,3,1,50.0
39,8,N,1,3,N,0,7,1,1,13,N,2,N,25.0
40,62,N,3,3,2,0,N,2,1,60,N,2,0,25.0
41,75,N,6,3,4,0,6,1,2,69,N,2,2,25.0
42,7,N,3,3,3,0,N,6,2,94,N,2,2,25.0
43,17,N,9,3,2,0,6,2,1,72,N,2,4,25.0
44,38,N,8,1,4,2,7,6,2,64,N,1,7,75.0
45,11,N,4,1,2,2,0,6,1,42,N,1,4,50.0
46,88,N,3,1,5,2,N,5,1,64,N,1,4,50.0
47,27,N,6,3,2,0,5,2,1,36,N,2,7,25.0
48,41,N,8,1,1,1,6,9,1,60,N,1,7,50.0
49,57,N,8,1,1,1,5,5,1,44,N,1,1,50.0
50,31,N,6,2,5,0,9,1,1,51,N,2,0,50.0
51,8,5,4,1,N,2,4,9,1,14,N,1,N,25.0
52,84,N,8,2,4,0,5,1,2,36,N,2,0,50.0
53,39,N,6,1,1,1,5,9,2,38,N,1,4,50.0
54,12,N,1,3,N,0,N,2,2,3,N,3,N,75.0
55,46,N,9,1,1,1,1,7,2,62,N,1,0,50.0
56,47,N,5,1,4,2,3,5,2,47,N,1,0,75.0
57,21,N,5,2,6,0,1,3,1,19,N,3,0,25.0
58,55,N,8,3,4,0,1,3,2,67,N,2,2,25.0
59,49,N,3,1,2,2,2,8,2,83,N,1,2,75.0
60,68,N,11,1,5,2,4,2,1,71,N,1,2,50.0
61,54,N,8,1,4,1,1,8,1,38,N,1,6,50.0
62,25,N,6,2,6,0,5,6,1,52,N,2,2,50.0
63,57,N,1,1,5,1,N,8,1,53,N,1,7,50.0
64,28,N,5,1,4,1,1,7,2,49,N,1,7,50.0
65,91,N,8,1,6,2,6,5,2,40,N,1,0,50.0
66,39,N,8,1,2,1,6,9,2,40,N,1,0,50.0
67,44,N,4,1,3,2,0,9,1,80,N,1,3,50.0
68,23,N,6,1,6,2,5,8,1,22,N,1,1,50.0
69,37,N,6,1,1,1,0,8,2,57,N,1,9,50.0
70,0,N,4,1,N,2,2,8,1,13,N,1,N,50.0
71,25,N,5,2,2,0,0,6,1,30,N,2,0,75.0
72,23,N,7,1,2,2,3,5,2,28,N,1,0,50.0
73,37,N,11,1,6,2,9,9,1,30,N,1,6,50.0
74,58,N,1,1,4,2,6,8,2,56,N,1,6,75.0
75,66,N,5,1,2,1,0,9,2,79,N,1,5,50.0
76,57,N,9,1,5,2,7,8,2,36,N,1,3,50.0
77,46,N,7,1,1,1,2,5,1,47,N,1,4,50.0
78,20,N,7,1,3,2,5,8,2,50,N,1,3,50.0
79,47,N,7,1,5,2,4,8,1,31,N,1,3,50.0
80,59,N,8,1,5,2,8,1,2,76,N,1,2,50.0
81,51,N,9,2,4,0,8,8,2,42,N,2,0,50.0
82,46,N,5,1,2,2,2,3,2,44,N,1,4,50.0
83,33,N,7,1,3,1,4,9,2,55,N,1,6,50.0
84,26,N,10,1,2,1,9,3,2,66,N,1,9,75.0
85,16,N,9,1,5,2,6,8,1,49,N,1,7,50.0
