SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
1,6,1,1,0,4,15,1,N,2,4198
1,N,1,0,N,2,4,3,N,2,5498
1,4,1,0,9,8,55,3,N,2,7633
1,6,1,0,6,9,69,1,N,1,5279
1,4,1,0,7,10,66,3,4,2,6720
1,6,1,0,8,9,61,3,N,2,7327
1,4,1,1,3,10,75,2,N,2,1840
1,1,1,0,7,7,81,2,N,2,556
1,N,1,1,N,1,3,2,N,2,7394
2,1,1,0,9,12,39,1,N,2,5057
1,6,1,0,0,7,49,3,N,2,321
1,1,1,0,2,8,58,2,N,2,4562
1,1,1,1,9,8,6,1,N,1,7271
2,1,1,1,9,10,51,3,N,2,3098
2,N,1,1,N,3,12,3,N,2,2095
1,2,1,1,6,9,71,2,N,2,7324
2,4,1,2,7,9,66,3,N,2,7445
1,6,1,1,6,9,27,1,N,2,821
1,1,1,1,8,7,42,1,N,2,296
2,1,1,2,6,7,78,1,N,2,1698
2,6,2,1,1,5,18,3,N,2,5707
1,1,1,2,3,5,38,2,N,2,3019
2,1,1,2,8,10,56,2,N,2,5913
2,1,1,0,9,10,42,2,N,1,727
2,1,1,0,3,9,42,1,N,2,7448
1,4,1,0,1,5,2,3,N,2,1747
2,1,1,1,7,5,39,2,N,1,3260
1,4,1,1,6,7,71,3,N,2,21
2,1,1,2,9,9,2,3,N,2,191
2,1,1,2,5,5,49,1,N,1,2490
2,1,1,0,1,8,74,3,N,2,4772
1,6,1,0,7,9,85,1,N,2,7290
2,6,1,1,0,4,16,3,N,2,1931
2,4,1,1,6,10,75,3,N,1,1232
1,6,1,1,2,7,19,2,N,2,7309
2,3,1,1,3,5,37,1,N,2,1976
1,6,1,1,1,8,94,2,N,2,4174
2,4,1,1,1,5,35,3,N,2,5955
1,4,2,2,7,8,88,1,N,2,7268
2,6,1,1,1,8,82,2,N,2,307
2,6,1,2,2,5,4,3,N,1,3429
2,6,1,0,6,7,73,1,N,2,232
1,1,1,0,6,10,39,2,N,1,315
2,6,1,2,2,4,74,1,N,2,3199
1,N,1,2,N,N,90,2,N,1,7570
1,1,6,0,7,10,71,2,N,1,2625
1,N,1,0,N,3,9,2,N,2,6501
1,1,1,0,8,4,80,1,N,2,575
1,6,1,1,0,3,50,3,N,1,3554
2,1,1,2,9,10,63,3,N,2,6481
2,1,1,2,8,9,58,1,N,2,3894
2,6,1,2,4,5,0,3,N,2,732
1,1,1,0,8,9,85,3,N,2,3045
1,1,1,1,9,9,55,1,N,2,7593
1,N,1,0,N,N,63,2,N,2,1928
2,6,6,2,7,9,36,2,N,2,1002
2,6,1,0,0,1,25,2,N,2,1055
2,6,1,2,8,9,66,1,N,2,3817
2,6,1,2,0,4,54,2,N,1,7586
1,1,1,0,0,5,39,3,N,2,994
1,1,1,2,8,10,27,3,N,2,5164
2,6,1,0,2,5,40,1,N,1,7101
1,1,1,2,8,10,21,3,N,2,5649
2,1,1,2,6,5,60,3,N,2,4911
1,1,1,0,9,10,36,2,N,2,5717
2,1,1,1,7,10,55,2,N,2,5847
1,6,2,0,3,10,16,1,N,2,2678
1,6,1,2,2,7,63,3,N,2,906
2,4,2,0,0,9,62,2,N,1,4975
1,6,1,0,2,5,66,3,N,2,6550
2,N,6,1,N,3,10,2,N,2,1756
2,1,1,1,7,10,74,2,N,1,3684
1,1,1,0,7,4,48,3,N,2,1912
2,1,1,2,2,10,44,1,N,2,1039
2,5,1,2,2,8,44,3,N,2,1042
1,4,1,2,7,8,1,1,N,1,1512
2,1,1,1,6,5,40,3,N,2,4116
1,N,1,0,N,2,7,1,N,2,5913
1,6,1,0,0,7,62,1,N,2,3062
1,1,1,2,9,9,29,3,N,2,3250
1,4,1,0,8,11,51,1,N,2,7025
1,1,1,0,4,7,46,2,N,2,5396
2,1,1,1,0,5,83,3,N,1,4254
2,N,1,1,N,3,10,2,N,2,4884
