SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
2,5,7,1,6,0,25-00703,8,0,N,501,4155
1,1,1,1,2,0,25-01000,73,0,4,500,4375
1,4,3,2,2,0,25-01000,56,0,N,55,3466
1,6,2,1,5,0,25-00503,19,0,4,292,7095
2,1,1,0,7,0,25-01000,78,0,N,392,2235
2,1,1,1,4,0,25-00503,72,0,2,501,4288
1,N,6,1,3,0,25-00703,15,0,5,459,2638
2,3,1,2,8,0,25-01000,94,0,2,501,4594
1,6,2,0,6,0,25-00703,14,4,6,83,6957
2,6,6,0,0,0,25-01000,20,N,N,N,7231
1,N,1,1,2,0,25-00703,10,2,4,103,1441
2,3,5,2,1,0,25-01000,24,N,N,70,43
2,1,1,1,N,0,25-01300,62,0,3,205,4523
2,6,1,1,N,0,25-00503,26,0,3,501,6731
2,1,5,2,N,0,25-02800,52,2,4,258,7291
2,6,1,1,1,0,25-02800,26,0,4,501,1862
2,4,2,1,9,0,25-01000,25,N,N,266,1268
2,1,1,1,3,0,25-00703,68,0,N,140,4399
1,1,1,0,7,0,25-00703,62,0,2,501,1531
1,N,1,2,8,0,25-02800,57,1,3,501,2752
1,3,1,2,4,0,25-00703,78,0,2,501,3679
2,2,3,1,1,0,25-02800,48,3,5,180,5914
2,N,2,1,8,0,25-00703,83,0,2,221,5732
1,1,1,1,4,0,25-01000,63,0,2,501,2530
1,4,1,1,8,0,25-00703,50,0,2,16,2867
2,1,1,0,6,0,25-00703,53,0,2,412,6577
1,1,6,0,0,0,25-01000,16,0,6,499,4572
1,6,6,1,9,0,25-02800,44,5,6,152,3619
1,5,2,2,1,0,25-01000,41,0,3,490,6154
1,N,1,1,N,0,25-02800,5,2,4,501,3609
1,5,8,1,N,0,25-00503,8,2,4,501,1118
1,6,1,0,1,0,25-00503,52,0,N,16,2232
2,5,1,1,1,0,25-01300,57,N,N,483,6243
1,6,1,2,4,0,25-00703,22,0,2,476,602
2,1,3,1,4,0,25-00703,62,N,N,122,2221
1,6,3,1,9,0,25-00703,65,0,2,501,371
1,N,1,1,2,0,25-02800,12,3,4,159,4997
2,1,1,1,6,0,25-00703,61,0,N,199,6278
1,5,8,1,9,0,25-00503,70,0,N,226,7416
2,6,6,1,9,0,25-00703,62,N,N,N,3585
2,1,1,1,9,0,25-00703,44,2,3,501,7021
1,6,5,1,0,0,25-00703,32,1,3,447,1307
2,1,7,1,4,0,25-01300,16,2,5,321,1500
2,N,1,1,5,0,25-00503,0,1,3,286,1222
2,6,1,2,2,0,25-02800,17,1,4,236,3598
1,1,1,2,8,0,25-00703,80,0,N,501,6172
1,6,1,1,5,0,25-00503,51,0,N,309,4692
1,6,9,1,1,0,25-00503,26,0,N,179,2808
2,N,1,0,N,0,25-01300,11,2,4,501,524
1,1,1,2,6,0,25-00703,67,0,2,501,478
2,1,1,1,3,0,25-01000,61,0,2,501,5190
1,5,2,2,0,0,25-01000,60,3,5,468,1256
1,1,1,1,0,0,25-01000,50,0,2,180,4547
2,1,1,1,1,4,25-00703,65,0,N,52,394
2,1,1,1,9,0,25-00503,71,0,2,501,85
2,4,1,1,8,0,25-00503,72,0,N,501,7570
1,6,5,1,2,0,25-02800,22,0,3,501,7438
2,2,1,2,6,0,25-00503,84,0,4,501,7079
2,N,6,1,9,0,25-01300,90,0,2,501,5842
2,1,1,1,8,0,25-00503,68,0,4,45,3560
1,1,1,1,3,0,25-00703,74,0,3,275,7020
2,2,3,1,4,0,25-00703,58,1,3,501,1001
2,1,1,1,1,0,25-01000,61,0,2,8,6161
2,6,2,1,N,0,25-00503,26,1,3,92,2912
1,1,1,1,5,0,25-00503,54,0,N,501,5173
1,1,1,2,0,0,25-00503,29,0,2,83,11
1,2,9,1,6,0,25-01300,60,2,7,260,7320
2,5,1,1,6,0,25-02800,53,2,5,321,6828
2,1,1,1,5,0,25-01000,61,0,N,418,1203
2,N,1,0,4,0,25-01300,4,1,3,342,3136
2,1,1,2,9,0,25-00703,70,0,2,276,870
1,1,1,1,5,0,25-00503,62,0,4,224,595
2,1,1,2,0,0,25-00503,55,0,2,112,33
2,5,3,1,0,0,25-00503,44,2,4,427,6521
2,1,1,2,2,0,25-00503,22,0,2,501,1260
1,2,1,1,6,0,25-00503,67,0,3,118,2843
1,1,1,1,2,0,25-01000,64,0,4,499,571
2,1,1,1,3,0,25-02800,52,0,2,152,5622
1,6,9,1,4,0,25-01300,81,2,4,501,504
2,5,9,1,N,0,25-00503,9,2,4,501,4821
1,1,1,2,4,0,25-01000,66,0,4,501,7269
1,1,1,0,9,0,25-00703,59,0,2,501,4926
2,4,6,2,9,0,25-00503,87,0,N,380,1154
1,6,2,0,9,0,25-00703,29,3,5,231,5719
2,1,2,0,1,0,25-00503,80,0,N,294,5707
2,4,6,0,4,0,25-00703,54,0,N,501,2592
2,3,6,1,N,0,25-00503,63,0,N,458,6933
2,N,6,1,N,0,25-01300,5,2,4,481,3324
2,1,2,1,N,0,25-01300,17,0,3,501,1461
2,1,1,0,4,0,25-00703,94,0,N,315,4700
1,6,1,0,1,0,25-00703,18,0,N,416,2017
1,3,9,1,4,0,25-02800,80,0,2,501,7254
1,1,1,2,9,0,25-01300,39,1,4,501,269
1,6,1,1,0,0,25-00703,19,0,3,501,1283
1,1,1,1,9,0,25-00703,67,0,2,501,4696
1,3,9,1,5,0,25-01300,47,1,3,448,3202
2,2,1,1,9,0,25-00503,56,0,2,501,4993
1,N,1,2,7,0,25-01000,2,2,4,254,4221
1,1,1,1,2,0,25-01300,43,2,5,263,6413
1,1,1,1,0,0,25-02800,59,0,4,501,6815
1,6,1,1,9,0,25-01300,43,0,2,501,4434
2,5,6,2,2,0,25-02800,52,0,2,501,3834
2,N,1,1,6,0,25-00703,11,2,3,397,3120
1,1,1,1,2,0,25-00703,42,2,4,193,2435
1,2,6,1,5,0,25-01000,54,0,N,501,5083
2,6,9,1,1,0,25-00703,32,0,2,451,2404
2,1,1,1,9,0,25-02800,64,0,N,349,4198
2,1,7,2,5,0,25-00503,6,2,4,501,3007
2,1,1,0,N,0,25-02800,71,0,N,197,1803
1,3,8,1,3,0,25-00503,89,0,3,501,5385
2,N,7,1,2,0,25-01000,21,2,4,501,2180
1,6,1,0,4,0,25-01000,22,0,N,233,6032
2,4,6,1,3,0,25-00503,51,1,3,496,778
2,4,6,2,4,0,25-00503,33,N,N,N,4379
2,6,8,1,8,0,25-01300,49,1,2,8,725
1,6,8,1,7,0,25-01000,31,0,N,501,314
1,6,1,0,0,0,25-02800,19,N,N,N,2615
2,5,1,1,5,0,25-00503,38,1,4,249,2418
2,3,8,0,3,0,25-01300,43,0,N,156,401
1,2,1,1,6,0,25-02800,15,0,2,501,6181
2,1,1,1,5,0,25-02800,70,0,3,501,585
1,4,7,1,7,0,25-00703,41,3,5,501,6977
1,6,9,1,3,0,25-00703,9,0,2,26,5381
2,2,1,0,N,0,25-02800,10,1,2,501,3648
1,1,1,1,6,0,25-02800,83,0,4,272,3868
2,1,1,2,5,0,25-00703,72,0,N,501,1294
1,4,3,1,9,0,25-02800,55,0,2,501,7318
1,6,3,1,6,0,25-00503,15,2,4,489,6487
1,1,1,1,8,0,25-00703,31,0,2,501,4767
1,1,1,1,6,0,25-00503,64,0,2,182,6812
1,N,1,2,2,0,25-01300,1,2,4,296,6134
2,6,2,1,1,0,25-01300,65,2,4,276,5224
1,6,1,1,N,0,25-00503,26,0,3,325,2102
2,1,1,1,8,0,25-00703,31,0,N,501,6732
2,6,3,1,4,0,25-01000,32,1,3,488,5179
2,1,1,1,2,4,25-01000,71,0,5,463,2913
2,1,6,1,8,0,25-01300,53,0,2,501,1143
1,1,5,0,6,0,25-01300,33,N,N,N,2321
2,6,1,1,8,0,25-00503,52,0,2,501,6095
2,4,1,0,N,0,25-01300,63,0,N,29,5099
1,N,1,1,0,0,25-00703,9,2,4,501,3860
1,N,1,2,N,0,25-00703,55,N,N,283,1973
1,2,1,1,8,0,25-00703,57,0,2,501,4912
1,6,2,0,3,0,25-00503,20,2,4,501,1290
1,1,1,2,2,0,25-01000,55,0,N,447,1322
2,1,3,0,5,1,25-00503,38,3,5,84,5597
2,1,7,2,9,0,25-00703,36,0,N,501,5690
2,6,7,0,3,0,25-00503,21,2,3,370,612
1,5,1,1,9,0,25-01000,55,2,4,493,5578
1,1,1,1,6,0,25-01300,58,0,2,152,4917
2,5,6,1,2,0,25-00703,62,1,4,452,4656
1,1,1,0,6,0,25-00703,75,0,N,501,4297
1,2,9,2,4,4,25-00703,27,N,3,492,4435
1,N,1,1,5,0,25-00703,5,4,6,426,2273
2,N,3,1,N,0,25-01300,20,3,5,471,7238
1,6,1,1,5,0,25-00703,21,0,2,289,5113
2,3,7,1,4,0,25-01000,58,0,2,377,2947
2,2,1,0,5,0,25-02800,43,4,6,181,5438
1,1,1,1,7,0,25-00503,65,0,N,501,1935
2,1,1,0,2,0,25-01000,19,N,N,N,4042
2,6,1,1,8,0,25-01300,16,2,4,501,1947
1,N,1,1,8,0,25-01300,1,2,4,161,6639
1,6,1,2,8,0,25-01000,36,0,N,501,3454
1,1,1,1,6,0,25-02800,87,0,3,234,6927
2,1,1,2,9,0,25-00503,60,0,N,501,4715
1,N,8,2,N,0,25-00703,13,2,4,501,7112
1,1,7,2,8,0,25-01300,54,0,N,225,1825
1,5,9,0,7,0,25-00703,85,0,2,501,2304
2,1,1,1,1,0,25-00503,28,0,2,236,6925
1,N,8,1,7,0,25-00703,14,2,4,331,6335
1,6,1,0,2,0,25-00703,18,N,N,N,64
1,6,1,2,7,0,25-00503,47,0,2,492,278
1,N,6,2,6,0,25-02800,0,1,3,151,1261
1,3,7,2,1,0,25-00703,16,0,2,488,2763
2,6,2,1,6,0,25-00703,22,0,5,269,599
2,1,1,2,7,4,25-00703,30,0,2,65,4760
1,1,1,1,1,0,25-00503,67,0,2,501,346
2,4,5,1,N,0,25-00503,88,0,2,326,12
1,1,1,0,5,0,25-02800,40,1,3,251,5349
1,6,1,2,1,2,25-01300,25,0,N,7,6111
1,1,1,1,0,0,25-01000,62,0,2,184,5954
1,3,7,2,7,0,25-00503,37,N,N,481,3277
1,1,1,1,9,0,25-00703,86,0,N,369,2326
2,1,1,1,0,0,25-02800,52,0,3,501,4046
1,5,1,1,6,0,25-00703,49,2,4,411,6786
2,3,6,1,7,0,25-02800,36,1,3,423,4582
1,4,1,1,5,0,25-01000,91,0,3,501,7039
1,5,1,1,4,0,25-01000,55,1,6,76,2405
2,6,3,1,N,0,25-01300,73,0,2,90,5404
2,6,5,1,5,0,25-00703,36,0,N,409,6331
2,4,1,1,6,0,25-01300,73,3,5,193,700
1,2,3,1,N,0,25-01300,65,N,N,416,236
1,3,1,1,9,0,25-01000,78,N,N,187,4947
1,5,6,0,2,0,25-01000,89,0,4,501,1437
2,1,2,0,1,0,25-00703,19,N,N,N,7209
1,6,3,1,4,0,25-00703,17,2,3,304,4030
2,1,1,1,3,0,25-02800,66,0,4,501,5492
2,4,1,1,5,0,25-01000,17,1,3,456,5233
2,6,2,1,1,0,25-01000,18,1,4,387,3234
1,1,1,1,4,0,25-01000,69,0,2,401,6734
2,2,1,2,6,0,25-00503,54,N,N,289,977
1,4,1,2,7,0,25-00703,78,0,4,444,7562
2,5,1,2,0,0,25-00703,73,0,6,501,1688
1,1,1,1,3,0,25-02800,56,0,N,501,1409
1,6,1,0,5,0,25-00503,18,N,N,366,341
1,1,3,1,9,0,25-00703,58,0,5,501,3602
1,3,5,2,7,0,25-00503,40,0,3,306,5170
2,1,1,1,9,0,25-02800,53,0,N,501,6749
1,1,1,0,5,0,25-00703,42,0,3,501,2251
2,5,6,0,4,4,25-02800,3,0,5,263,5753
1,6,1,1,4,0,25-02800,38,0,2,501,5612
2,6,1,1,N,0,25-00703,21,2,4,473,4618
2,1,1,1,9,0,25-00503,41,2,4,501,3417
1,6,1,1,6,0,25-00703,35,0,4,501,1156
2,6,6,1,6,0,25-00703,64,0,3,501,1950
2,N,1,1,1,0,25-01000,2,1,3,501,7020
1,N,1,2,8,0,25-00703,47,0,2,501,2138
1,6,9,2,8,0,25-00703,72,0,3,501,62
1,4,1,1,9,0,25-00503,62,0,4,501,6613
2,6,1,2,5,0,25-02800,47,0,2,184,1535
2,6,1,1,7,0,25-00503,74,0,2,227,5853
2,3,1,1,1,0,25-00503,67,0,2,501,6461
2,6,1,2,8,0,25-01300,37,1,2,221,4090
2,4,1,1,7,0,25-00503,75,0,4,213,1971
1,N,2,1,9,0,25-00703,56,1,3,501,3239
2,6,1,2,1,0,25-01000,36,0,N,501,5491
1,1,7,1,4,0,25-00703,62,0,2,501,7575
1,6,1,2,7,0,25-02800,20,1,4,181,4079
2,4,1,1,7,0,25-01000,58,0,N,501,7510
1,6,1,1,0,0,25-00503,64,0,2,76,7570
1,1,1,2,1,0,25-00703,57,0,5,15,7144
2,6,7,2,5,0,25-00703,26,0,2,437,5630
2,1,1,1,N,0,25-01000,38,0,N,485,5875
1,6,1,2,2,0,25-01300,55,0,2,227,2092
1,2,1,1,6,0,25-02800,24,0,4,501,5985
1,N,1,2,4,0,25-01000,18,0,2,501,2500
2,1,1,1,2,0,25-00703,58,1,2,308,1750
2,1,1,1,4,0,25-00703,31,1,3,501,642
2,1,2,1,2,0,25-01300,55,0,N,75,1844
2,1,1,2,0,0,25-01000,60,0,2,501,4329
2,1,1,1,6,0,25-01000,54,2,5,64,6674
1,1,1,1,5,0,25-01000,64,0,2,501,5578
1,1,1,1,3,0,25-02800,41,0,2,491,5519
1,1,8,1,1,0,25-01000,28,2,4,212,5515
2,2,9,2,4,0,25-00503,85,N,N,252,3146
2,1,1,1,0,0,25-02800,55,0,2,243,5877
1,6,1,1,3,0,25-01000,48,0,2,423,7212
1,3,1,1,9,0,25-02800,62,0,2,191,7569
2,5,9,2,0,0,25-02800,46,0,2,180,1761
2,1,1,1,0,0,25-02800,70,0,2,409,4246
1,2,6,1,N,2,25-00703,50,0,2,291,1399
1,2,1,1,3,0,25-02800,21,1,6,501,6329
1,6,1,1,4,0,25-00503,33,0,N,162,6187
1,N,8,0,N,0,25-00703,22,2,5,501,2100
1,3,1,1,8,0,25-02800,8,1,4,344,39
2,1,1,1,7,0,25-00503,76,0,2,380,2617
2,1,1,1,4,0,25-00703,53,0,2,380,1535
1,2,1,1,7,0,25-01300,36,0,4,501,2165
1,3,5,1,3,0,25-02800,85,0,2,501,3251
2,3,1,1,7,0,25-02800,32,2,4,501,1269
