,INDP,count_target,count_deidentified
12,4670,25,27.0
22,4680,3,7.0
6,4690,9,10.0
18,4770,14,11.0
33,4780,3,2.0
20,4795,24,16.0
15,4870,27,20.0
16,4880,7,8.0
31,4890,4,4.0
5,4971,79,98.0
27,4972,7,5.0
25,4980,11,7.0
10,4990,11,4.0
13,5070,32,41.0
7,5080,15,12.0
30,5090,9,9.0
1,5170,48,28.0
14,5180,6,7.0
8,5190,10,18.0
3,5275,18,14.0
29,5295,4,4.0
4,5370,5,13.0
24,5381,10,19.0
11,5391,16,30.0
32,5470,2,7.0
23,5480,7,0.0
2,5490,9,10.0
21,5570,8,15.0
17,5580,15,16.0
9,5593,26,15.0
26,5670,3,1.0
28,5680,6,2.0
19,5690,1,4.0
0,5790,19,6.0
