,feature,divergence
23,WGTP,1.970488337434582
1,AGEP,0.797984588026082
22,PWGTP,0.7916013691850875
14,PINCP,0.7056596748169293
11,INDP,0.5555347353349571
15,PINCP_DECILE,0.22763590666501166
12,INDP_CAT,0.18340311950477195
7,NPF,0.13578477314074636
13,EDU,0.1233920299257465
3,MSP,0.06925625831592827
16,POVPIP,0.05045905036102993
6,NOC,0.031026913844562094
5,RAC1P,0.016315414464515135
9,OWN_RENT,0.014338238125530395
18,DREM,0.011086653865999163
2,SEX,0.0074466987708411425
8,HOUSING_TYPE,0.004742620780614711
19,DPHY,0.002789775943445913
17,DVET,0.0026486558071778564
4,HISP,0.0022583255897604994
20,DEYE,0.0020370932062203327
21,DEAR,0.0007024419990310435
10,DENSITY,0.0
0,PUMA,0.0
