SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
1,N,1,2,1,8,0,36-04010,N,18325
1,6,1,1,9,8,4,32-00405,10,12987
1,6,1,0,9,8,0,19-01700,11,13280
1,6,1,2,1,3,0,51-01301,N,20734
1,1,1,1,7,2,0,08-00803,N,12322
2,1,1,1,1,1,0,38-00100,N,18246
1,1,1,1,9,8,0,24-01004,11,6995
1,1,1,1,9,8,0,19-01700,N,26062
2,6,1,2,7,1,1,51-51255,3,21426
1,1,1,1,9,8,0,24-01004,11,7539
2,6,1,2,1,6,0,13-04600,10,1343
1,1,1,1,9,8,0,24-01004,11,3074
1,1,1,1,9,10,0,19-01700,7,6906
1,1,1,2,2,3,0,40-00200,11,16462
1,1,1,1,9,8,0,24-01004,10,13720
1,1,1,2,9,8,0,38-00100,3,22076
1,6,1,0,1,4,0,38-00100,N,4056
2,6,1,2,7,4,0,13-04600,10,7774
1,6,1,1,1,2,0,24-01004,N,15716
2,1,2,1,1,4,0,38-00100,11,19635
1,1,1,1,9,8,0,38-00100,N,21377
1,1,1,1,9,8,4,38-00100,11,15151
1,4,2,2,1,1,0,06-08507,10,1076
2,6,1,2,7,10,0,38-00100,11,20994
1,1,1,1,7,8,0,40-00200,11,20180
1,1,1,2,3,2,0,51-01301,10,19218
1,1,1,1,1,8,0,19-01700,11,11880
1,3,1,1,1,8,0,19-01700,11,13598
1,2,8,2,4,4,1,30-00600,3,12696
1,1,1,2,4,4,0,13-04600,11,6117
1,N,1,1,N,2,0,19-01700,N,26292
2,1,1,2,9,10,0,36-04010,11,21320
1,4,1,2,9,2,0,38-00100,9,25163
1,1,1,0,2,4,0,38-00100,N,5734
1,6,1,1,1,8,0,24-01004,N,6659
1,1,1,1,9,9,1,30-00600,3,14502
1,N,1,1,N,2,0,19-01700,N,25833
1,6,8,2,4,3,1,30-00600,7,14461
2,1,1,2,1,8,4,38-00100,N,21486
2,6,1,2,1,8,1,36-04010,N,18954
2,1,1,1,2,4,0,38-00100,N,18414
1,1,1,1,0,1,0,24-01004,11,13000
1,1,1,1,7,8,2,51-51255,10,20053
1,6,1,2,0,8,0,13-04600,N,5721
1,1,1,2,1,6,0,19-01700,10,7097
1,1,1,1,7,8,0,38-00100,10,19978
1,N,1,1,9,8,0,36-04010,N,25795
1,1,1,1,4,8,0,17-03529,11,7448
2,6,1,2,1,3,0,38-00100,N,21642
1,1,1,2,7,8,0,38-00100,11,18430
2,4,1,2,7,1,0,38-00100,3,19865
1,6,2,2,4,4,0,17-03529,15,6243
1,N,1,2,N,2,0,36-04010,N,25550
1,6,1,1,1,1,0,24-01004,3,7317
2,1,1,1,3,8,0,24-01004,15,8242
1,N,1,1,N,2,0,38-00100,N,20702
2,N,1,1,N,2,0,19-01700,N,25394
1,1,1,1,7,1,0,36-04010,11,13641
1,6,2,1,9,4,0,38-00100,9,18294
1,1,1,1,7,8,0,40-00200,6,19381
1,1,1,1,4,8,0,29-01901,3,15122
1,1,1,1,8,8,0,32-00405,11,13563
2,1,1,1,9,8,0,29-01901,N,13243
1,1,1,1,7,1,0,17-03529,11,1874
1,6,1,1,1,4,0,38-00100,9,20666
2,N,6,2,9,8,0,08-00803,N,25245
1,1,1,2,7,4,4,38-00100,N,18924
2,1,1,1,7,8,0,38-00100,10,20506
1,6,1,2,1,4,0,38-00100,N,21633
2,6,1,0,7,8,0,17-03529,10,5971
2,1,1,2,8,8,0,24-01004,11,2009
2,N,1,1,N,2,0,36-04010,N,25856
1,1,1,2,7,8,0,40-00200,11,20476
1,6,1,1,9,1,0,17-03529,10,5346
1,3,2,2,2,3,0,30-00600,N,13677
1,1,1,1,0,4,0,38-00100,N,17631
1,6,1,1,6,10,0,24-01004,3,7085
1,1,1,1,6,8,0,24-01004,11,7242
2,1,1,2,0,8,0,29-01901,10,12610
1,1,1,1,6,8,0,17-03529,11,8422
2,1,1,1,1,4,1,32-00405,3,14423
2,6,1,1,6,10,1,24-01004,10,7908
1,6,2,1,0,4,0,17-03529,14,5952
1,N,1,1,9,9,0,24-01004,N,25952
1,1,1,1,1,8,0,13-04600,9,8154
1,6,1,2,1,1,0,13-04600,11,20089
1,N,1,2,N,8,0,29-01901,N,25519
2,1,1,1,1,8,0,38-00100,3,18251
1,1,6,1,7,10,1,51-51255,14,21658
1,N,1,2,N,2,0,36-04010,N,25740
1,6,1,2,9,7,4,51-01301,7,21322
2,N,1,2,1,8,0,17-03531,N,6692
2,1,1,2,9,8,0,24-01004,7,2250
1,1,1,1,9,1,0,40-00200,10,16872
1,1,1,1,1,3,0,29-01901,N,13759
1,1,1,2,7,8,0,51-01301,10,20897
1,1,1,1,9,8,0,51-01301,10,21592
1,1,1,2,9,1,0,06-08507,10,360
1,N,9,1,9,2,0,06-08507,9,25061
2,6,7,2,1,6,1,08-00803,9,7041
1,1,1,1,3,4,1,38-00100,11,19612
2,5,1,2,0,2,0,19-01700,15,14762
1,1,6,2,9,8,0,13-04600,10,5992
1,6,1,2,4,8,0,32-00405,10,12034
2,1,1,1,9,8,0,30-00600,10,14213
1,6,1,2,2,3,0,38-00100,10,16509
1,6,2,2,1,4,0,51-01301,4,22043
1,1,1,2,4,3,0,32-00405,9,12102
1,1,1,2,0,4,0,30-00600,N,14946
1,1,1,1,9,8,0,24-01004,11,5599
1,6,1,1,1,4,0,24-01004,9,7230
1,1,1,1,1,8,0,30-00600,10,13736
1,1,1,1,7,8,4,24-01004,10,7600
2,1,1,1,7,1,0,38-00100,4,21194
2,6,1,2,1,4,0,08-00803,N,194
1,6,2,1,1,8,0,08-00803,N,5149
2,1,1,1,3,8,0,36-03710,11,12399
1,N,1,1,N,2,0,36-04010,N,25579
1,1,1,1,6,1,0,06-08507,10,7716
2,4,1,2,7,8,0,06-07502,10,1095
2,1,1,2,7,8,0,30-00600,10,14703
1,1,1,2,9,4,0,30-00600,9,12630
1,N,1,1,N,2,0,36-04010,N,25616
1,N,1,0,9,2,0,30-00600,N,24810
1,1,1,2,0,6,0,38-00100,N,19821
2,6,2,2,2,4,0,08-00803,N,4383
1,1,1,1,8,8,0,51-01301,11,23525
1,1,1,0,7,8,0,19-01700,10,7767
1,2,2,2,3,8,4,36-04010,3,6500
1,N,9,1,9,2,0,29-01901,N,24699
1,1,1,1,3,1,0,08-00803,15,2609
1,1,1,1,0,4,0,40-00200,3,18335
