,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,44,1,4,N,N,2,6,N,48-02515,1,1,66,0,N,7,501,20.0
1,46,0,4,N,N,0,0,N,48-02101,1,2,46,N,N,0,N,100.0
2,21,0,6,N,N,0,2,N,48-02102,6,2,21,N,N,2,N,100.0
3,92,1,3,N,N,0,0,N,48-02510,1,2,92,N,N,0,N,100.0
4,80,0,2,N,N,0,3,N,48-02102,1,2,80,N,N,3,N,100.0
5,86,0,3,N,N,0,2,N,48-02507,2,1,86,N,N,2,N,100.0
6,40,0,4,N,N,0,4,150,48-02516,2,1,40,N,N,4,150,100.0
7,51,4,2,N,N,0,1,N,48-02515,1,2,27,N,N,0,N,60.0
8,29,0,5,N,N,0,0,215,48-02515,9,2,29,N,N,0,N,80.0
9,72,0,3,N,N,0,3,N,48-02515,2,1,72,N,N,3,N,100.0
10,40,0,5,N,N,0,6,N,48-02101,1,2,40,N,N,6,N,100.0
11,92,0,3,0,N,0,3,N,48-02516,1,2,92,N,N,4,190,40.0
12,25,1,6,N,N,0,0,N,48-02102,8,2,19,N,N,0,N,80.0
13,28,1,5,N,N,0,4,N,48-02102,1,1,28,N,N,4,N,100.0
14,79,0,2,N,3,0,3,N,48-02510,1,1,79,N,N,3,N,80.0
15,60,0,6,N,N,0,0,N,48-02510,2,2,60,N,N,0,N,100.0
16,81,0,3,N,N,0,0,N,48-02516,1,1,81,N,N,0,N,100.0
17,42,0,4,N,N,0,8,501,48-02507,2,1,42,N,N,8,501,100.0
18,67,1,6,N,N,0,2,N,48-02515,8,1,28,N,N,2,N,80.0
19,30,0,2,N,N,0,N,355,48-02515,2,2,30,N,N,4,N,60.0
20,78,0,3,2,N,0,0,0,48-02516,2,2,78,N,N,2,N,40.0
21,47,0,5,N,N,0,0,N,48-02515,1,2,47,N,N,0,N,100.0
22,60,0,6,N,N,0,3,106,48-02101,2,2,60,N,N,3,106,100.0
23,48,4,6,0,N,0,N,N,48-02515,8,2,48,N,N,0,N,60.0
24,39,0,6,N,N,0,0,0,48-02507,1,2,39,N,N,0,0,100.0
25,44,0,5,N,N,0,4,N,48-02515,9,1,44,N,N,4,N,100.0
26,20,1,6,N,N,0,2,N,48-02101,3,2,20,N,N,2,N,100.0
27,28,1,6,N,N,0,0,N,48-02102,8,1,28,N,N,0,N,100.0
