,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
0,1,6,2,1,1,4,0,48-02515,6
1,1,3,1,1,5,8,0,48-02510,9
2,1,1,1,2,1,4,0,48-02101,7
3,2,6,6,2,1,10,0,48-02515,6
4,2,4,1,1,9,7,0,48-02102,12
5,2,6,2,2,5,5,0,48-02102,12
6,1,N,1,2,N,N,0,48-02510,N
7,2,1,2,1,9,9,0,48-02510,4
8,2,1,1,1,0,5,0,48-02507,N
9,1,N,1,1,N,2,0,48-02102,N
10,2,6,1,1,0,5,0,48-02507,N
11,1,6,1,1,8,10,0,48-02507,4
12,2,N,6,2,N,3,1,48-02101,N
13,1,2,1,1,8,10,0,48-02101,4
14,2,6,1,1,1,9,0,48-02102,13
15,2,1,1,1,7,8,0,48-02516,10
16,1,1,1,1,2,10,0,48-02515,15
17,1,1,1,1,3,5,0,48-02102,14
18,2,N,2,2,N,N,0,48-02516,N
19,1,1,2,1,7,10,0,48-02102,1
20,2,6,1,1,3,7,0,48-02102,13
21,1,N,1,2,N,3,0,48-02507,N
22,2,N,9,1,N,N,1,48-02515,N
23,1,1,2,1,9,9,1,48-02515,9
24,2,4,1,1,0,9,1,48-02507,16
25,2,6,1,1,3,7,0,48-02515,14
26,2,N,1,2,N,N,0,48-02507,N
27,1,N,1,1,N,3,0,48-02101,N
28,2,1,1,1,2,4,1,48-02102,N
29,2,1,2,1,4,6,0,48-02510,15
30,1,1,1,1,9,8,4,48-02510,4
31,2,1,7,1,8,5,0,48-02102,12
32,1,1,1,1,7,9,0,48-02510,3
33,2,1,1,1,0,3,1,48-02101,16
34,2,6,1,1,6,10,0,48-02102,N
35,1,6,1,1,3,5,1,48-02101,16
36,2,N,1,1,N,2,0,48-02101,N
37,2,1,1,1,8,9,0,48-02516,11
38,1,1,1,1,2,4,0,48-02102,10
39,2,6,2,1,8,9,0,48-02102,12
40,2,N,1,1,N,N,0,48-02515,N
41,1,1,1,2,3,6,0,48-02507,10
42,1,1,1,2,5,8,0,48-02101,N
43,1,1,1,1,2,5,0,48-02102,17
44,2,N,9,1,N,3,0,48-02101,N
45,2,1,1,1,6,7,0,48-02102,6
46,2,1,1,2,0,10,0,48-02102,N
47,1,6,1,2,0,8,0,48-02101,N
48,2,1,1,1,9,7,0,48-02516,12
49,2,4,1,0,5,7,1,48-02515,12
50,1,6,1,1,7,12,0,48-02102,3
51,2,N,1,1,N,1,0,48-02515,N
52,1,N,1,1,N,3,1,48-02510,N
53,2,1,1,2,4,5,0,48-02515,6
54,2,1,1,1,6,7,0,48-02507,15
55,1,1,1,1,9,7,0,48-02102,9
56,1,N,2,1,N,N,0,48-02102,N
57,2,1,1,1,0,4,1,48-02101,12
58,1,1,1,1,9,1,0,48-02516,5
59,1,N,1,2,N,3,0,48-02101,N
60,1,4,1,2,9,9,0,48-02516,7
61,2,1,1,1,5,11,0,48-02510,14
62,1,1,1,2,1,4,0,48-02101,15
63,2,1,6,1,0,4,1,48-02101,N
64,2,1,1,1,8,7,0,48-02510,6
65,1,N,1,1,N,3,0,48-02102,N
66,2,6,9,1,0,9,0,48-02516,N
67,2,N,6,2,N,3,0,48-02515,N
68,2,1,1,1,9,9,0,48-02101,13
69,1,1,1,1,1,4,1,48-02515,7
70,2,N,1,1,N,3,0,48-02101,N
71,2,1,1,1,9,10,0,48-02101,12
72,2,1,1,2,6,6,1,48-02515,12
73,2,1,8,1,6,6,0,48-02515,12
74,2,N,1,1,N,3,0,48-02101,N
75,2,1,1,1,9,9,0,48-02510,4
76,2,1,1,1,0,9,0,48-02510,N
77,2,1,1,1,2,7,0,48-02516,14
78,2,1,1,1,0,4,0,48-02510,N
79,1,1,3,1,6,6,0,48-02507,6
80,1,1,4,1,3,7,0,48-02507,N
81,2,N,1,2,N,2,0,48-02516,N
82,2,N,1,1,N,3,4,48-02102,N
83,2,6,1,2,6,9,0,48-02507,12
84,2,4,1,2,5,7,1,48-02515,11
85,2,N,1,1,N,N,0,48-02102,N
86,1,6,6,1,5,5,0,48-02515,12
87,1,1,1,1,3,12,0,48-02102,4
88,2,1,1,2,4,9,0,48-02515,6
89,1,N,9,1,N,2,0,48-02101,N
90,1,1,1,2,7,7,0,48-02101,4
91,2,6,1,1,0,5,0,48-02101,N
92,2,1,1,1,6,7,0,48-02101,6
93,1,1,1,2,7,5,1,48-02507,10
94,2,1,1,1,4,8,0,48-02101,N
95,1,N,1,1,N,3,0,48-02510,N
96,1,1,1,1,9,9,0,48-02515,3
97,2,4,1,1,8,7,1,48-02101,12
98,1,N,1,1,N,3,1,48-02102,N
99,2,1,1,1,5,9,1,48-02101,N
100,1,6,1,1,6,7,0,48-02515,9
101,2,1,1,1,8,2,4,48-02507,9
102,1,1,1,1,4,5,0,48-02507,N
103,2,6,1,1,6,9,0,48-02102,15
104,1,1,1,1,6,5,0,48-02507,N
105,2,1,1,2,0,7,1,48-02102,N
106,1,1,1,1,4,7,0,48-02102,6
107,1,1,1,1,8,7,1,48-02101,7
108,2,1,1,1,0,5,0,48-02516,N
109,2,6,1,1,0,4,1,48-02102,12
110,1,6,9,1,7,10,0,48-02516,N
111,2,1,1,1,8,9,0,48-02510,18
112,2,N,1,1,N,5,0,48-02102,N
113,1,6,1,1,0,5,0,48-02510,N
114,1,6,1,1,7,9,0,48-02507,5
115,2,1,1,1,0,9,1,48-02101,N
116,2,6,1,1,1,5,0,48-02515,14
117,1,4,8,1,0,4,0,48-02102,N
118,2,1,1,1,6,8,0,48-02507,12
119,1,3,1,2,5,6,0,48-02510,7
120,1,6,1,1,1,4,0,48-02101,15
121,2,N,1,1,N,3,0,48-02102,N
122,2,1,1,1,5,7,0,48-02516,7
123,1,N,1,1,N,2,0,48-02510,N
124,1,1,1,1,6,7,0,48-02515,4
125,1,4,1,2,6,4,0,48-02507,6
126,1,4,1,0,1,5,0,48-02102,15
127,2,1,6,1,7,9,0,48-02101,13
128,2,1,1,1,9,8,0,48-02516,12
129,2,1,2,2,9,11,0,48-02102,5
130,2,1,1,2,3,8,0,48-02516,15
131,2,1,1,1,5,9,0,48-02507,6
132,2,1,1,1,3,7,0,48-02507,N
133,2,6,1,1,7,10,0,48-02515,4
134,1,4,1,2,0,3,0,48-02102,N
135,2,N,9,1,N,3,0,48-02516,N
136,1,N,1,1,N,3,0,48-02507,6
137,2,3,2,1,4,5,1,48-02507,N
138,2,1,1,1,6,8,1,48-02510,12
139,2,1,1,1,7,10,0,48-02516,9
140,1,1,1,2,8,4,0,48-02102,16
141,2,1,1,2,7,8,0,48-02515,11
142,2,1,1,1,5,8,0,48-02510,18
143,1,N,1,1,N,3,1,48-02510,N
144,1,1,1,1,9,10,0,48-02102,3
145,1,3,1,1,3,5,0,48-02101,15
146,1,N,9,1,N,3,0,48-02510,N
147,2,4,1,2,9,7,0,48-02515,N
148,2,6,1,1,5,8,0,48-02516,14
149,2,4,1,2,4,7,0,48-02101,5
150,2,6,1,2,3,6,0,48-02102,14
151,1,1,1,1,4,5,0,48-02510,6
152,2,6,6,1,6,9,1,48-02507,10
153,1,1,1,1,3,5,0,48-02507,6
154,1,1,1,1,3,7,0,48-02102,14
155,1,1,1,1,0,9,0,48-02516,6
156,1,1,1,1,3,10,0,48-02516,16
157,2,5,1,2,8,5,0,48-02102,N
158,2,6,9,2,4,7,0,48-02102,N
159,1,N,1,1,N,2,0,48-02515,N
160,1,1,1,1,7,7,0,48-02101,3
161,2,4,1,1,8,7,0,48-02515,7
162,2,4,2,0,4,5,0,48-02102,N
163,2,1,1,1,0,4,0,48-02510,N
164,1,1,9,1,9,7,0,48-02515,5
165,2,N,1,2,N,3,0,48-02101,N
166,2,1,1,1,7,7,0,48-02510,4
167,2,1,1,1,6,8,0,48-02102,15
168,2,N,1,1,N,3,0,48-02101,N
169,2,6,2,1,8,9,0,48-02516,10
170,2,1,1,1,3,7,0,48-02510,N
171,2,2,1,0,4,7,0,48-02510,7
172,1,N,1,2,N,3,0,48-02510,N
173,2,1,2,1,6,9,0,48-02516,6
174,2,1,1,1,8,7,1,48-02507,9
175,2,N,1,2,N,2,0,48-02101,N
176,2,4,1,1,2,4,0,48-02515,N
177,2,1,1,1,9,10,0,48-02510,12
178,2,N,1,1,N,N,0,48-02101,N
179,2,6,2,1,4,7,0,48-02515,N
180,1,6,1,2,7,9,0,48-02515,11
181,1,4,1,1,4,7,0,48-02101,12
182,2,1,1,1,4,7,0,48-02507,12
183,2,4,1,1,6,7,0,48-02102,7
184,2,5,1,1,8,10,0,48-02101,16
185,2,6,1,1,0,7,0,48-02510,N
186,2,1,1,1,8,5,0,48-02102,9
187,1,1,1,1,8,6,1,48-02510,4
188,2,3,1,2,8,8,0,48-02101,11
189,2,4,1,2,0,4,1,48-02101,N
190,1,6,8,2,6,8,0,48-02515,10
191,1,1,6,1,9,7,0,48-02515,6
192,1,1,1,1,9,10,0,48-02102,9
193,2,4,1,1,2,3,0,48-02516,6
194,1,6,1,1,2,7,0,48-02102,6
195,2,1,1,1,9,6,0,48-02515,9
196,2,1,1,1,9,9,0,48-02507,7
197,1,6,1,1,0,9,1,48-02516,N
198,1,1,1,1,3,5,0,48-02515,15
199,1,1,1,1,5,4,3,48-02507,4
200,2,6,1,1,7,7,0,48-02102,6
201,2,N,1,1,N,3,1,48-02515,N
202,2,6,1,1,0,5,1,48-02507,5
203,2,1,1,1,7,9,0,48-02510,6
204,2,1,9,1,7,8,0,48-02516,11
205,2,4,1,1,4,7,0,48-02507,10
206,2,N,1,1,N,2,4,48-02101,N
207,1,1,1,1,9,5,0,48-02101,4
208,1,6,1,1,0,4,0,48-02102,N
209,1,1,2,1,7,5,0,48-02516,N
210,1,1,1,1,0,4,1,48-02102,N
211,2,1,1,1,3,7,0,48-02516,11
212,1,N,1,1,N,N,0,48-02102,N
213,2,N,1,2,N,N,0,48-02515,N
214,1,1,1,1,3,7,0,48-02101,15
215,2,1,1,1,7,9,0,48-02507,N
216,1,1,1,1,7,8,0,48-02516,3
217,2,N,9,1,N,3,0,48-02102,N
218,1,1,1,1,0,4,1,48-02101,N
219,1,3,1,1,4,8,0,48-02102,6
220,1,5,1,1,4,7,0,48-02507,6
221,1,1,1,1,2,6,0,48-02515,N
222,2,6,2,1,0,7,0,48-02102,14
223,2,N,1,1,N,2,0,48-02507,N
224,2,4,1,1,2,7,0,48-02101,N
225,1,3,1,1,4,3,0,48-02101,15
226,1,6,1,1,0,7,0,48-02102,6
227,1,6,2,1,7,5,0,48-02102,N
228,1,N,1,1,N,3,0,48-02515,N
229,2,N,9,1,N,2,0,48-02102,N
230,1,1,1,1,8,7,0,48-02507,N
231,2,1,1,1,4,5,0,48-02515,N
232,2,1,1,1,7,7,0,48-02101,11
233,2,1,6,1,7,5,0,48-02515,11
234,2,1,1,1,2,3,0,48-02507,6
235,2,1,1,1,9,1,4,48-02101,4
236,2,2,1,1,1,5,0,48-02101,N
237,2,4,1,2,7,9,0,48-02510,11
238,1,1,1,1,2,4,0,48-02516,8
239,1,3,1,1,6,9,0,48-02507,12
