,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
0,11,1,N,2,1,2,N,N,3
1,23,1,6,1,1,1,N,4,5
2,53,1,1,1,1,1,N,7,10
3,14,1,N,2,1,1,N,N,3
4,63,2,1,2,1,1,2,2,7
5,69,1,1,2,1,1,N,3,5
6,12,1,N,1,1,1,N,N,3
7,26,1,6,2,1,2,N,2,5
8,56,1,1,2,1,1,N,5,9
9,46,2,1,2,1,1,N,5,7
10,72,1,1,2,1,2,N,6,4
11,69,9,3,2,1,2,6,3,7
12,65,1,1,1,1,1,N,1,7
13,11,1,N,2,1,1,N,N,3
14,19,1,6,1,1,1,N,9,7
15,10,1,N,1,1,1,N,N,3
16,53,1,6,2,1,2,N,2,9
17,8,1,N,1,1,1,N,N,3
18,24,1,1,2,1,1,N,2,8
19,73,1,1,2,1,1,N,4,8
20,86,1,3,2,1,2,N,9,7
21,48,1,1,1,1,1,N,3,5
22,48,8,1,1,1,1,N,6,7
23,13,1,N,1,1,1,N,N,3
24,1,8,N,2,1,1,N,N,N
25,7,1,N,2,1,1,N,8,3
26,59,1,1,2,1,1,N,4,11
27,17,1,6,1,1,1,N,1,4
28,76,1,1,1,1,2,N,4,3
29,2,1,N,2,1,1,N,N,N
30,18,1,6,2,1,1,N,2,4
31,6,1,N,2,1,1,N,N,2
32,49,1,1,2,1,1,N,4,10
33,72,1,1,2,1,1,N,7,12
34,50,1,4,2,1,2,N,8,9
35,70,1,1,2,1,1,N,2,9
36,30,1,6,2,1,1,N,5,5
37,27,2,6,2,1,1,N,4,10
38,29,1,6,1,1,1,N,8,5
39,56,2,1,1,1,1,N,4,9
40,50,2,1,1,1,1,N,3,10
41,52,1,1,1,1,1,N,3,9
42,4,1,3,2,1,1,N,N,1
43,22,1,6,1,1,2,N,7,9
44,54,1,1,1,1,1,N,9,9
45,58,1,3,2,1,1,N,0,5
46,40,1,5,1,1,1,N,9,9
47,38,1,1,2,1,1,N,8,7
48,47,1,1,1,1,1,N,8,9
49,70,1,3,2,1,1,5,5,5
50,75,1,4,2,1,1,N,3,7
51,33,1,4,2,1,1,N,6,9
52,65,1,1,2,1,1,N,4,7
53,10,1,N,2,1,1,N,N,3
54,62,1,4,2,1,1,N,5,5
55,30,1,1,2,1,1,N,0,11
56,36,1,1,2,1,1,N,3,3
57,13,1,N,1,1,1,N,N,3
58,59,1,1,1,1,1,N,0,4
59,17,1,6,2,1,1,N,0,4
60,92,1,3,2,1,1,N,5,10
61,15,1,6,2,1,2,N,0,3
62,52,1,2,1,1,2,5,8,5
63,14,1,N,1,1,2,N,N,3
64,64,1,4,1,2,0,N,N,1
65,49,1,1,2,1,1,N,5,7
66,12,1,N,1,1,1,N,N,3
67,29,1,1,2,1,1,N,5,9
68,37,1,1,1,1,1,N,4,10
69,12,2,N,2,1,1,N,N,3
70,17,1,6,1,1,1,N,0,4
71,49,2,3,1,1,1,N,7,10
72,68,1,1,1,1,1,N,7,9
73,69,1,3,1,1,1,N,2,5
74,33,1,1,1,1,1,6,5,9
75,67,1,4,1,1,2,N,9,8
76,85,9,1,1,1,1,N,6,7
77,62,1,1,1,1,1,N,9,9
78,4,8,N,2,1,1,N,N,2
79,2,1,N,1,1,1,N,N,N
80,20,1,6,2,1,1,N,4,5
81,35,2,1,2,1,1,N,3,9
82,71,1,3,2,1,1,N,3,9
83,58,1,4,2,1,2,N,7,7
84,20,1,2,1,1,1,N,9,7
85,34,1,6,1,1,1,N,3,10
86,52,1,1,1,1,1,N,2,7
87,22,1,6,2,1,1,N,6,7
88,69,1,4,2,1,1,N,3,7
89,39,8,1,2,1,2,N,0,7
90,71,1,1,2,1,1,N,2,5
91,68,1,1,2,1,1,N,2,7
92,30,6,1,2,1,1,N,5,9
93,39,1,1,2,1,1,N,4,7
94,35,1,6,1,1,2,N,4,10
95,33,2,6,1,2,0,N,8,10
96,34,1,1,2,1,1,N,8,9
97,5,1,N,2,1,2,N,N,1
98,24,2,6,2,1,1,N,4,9
99,12,1,N,2,1,2,N,N,3
100,35,1,1,2,1,1,N,6,4
101,42,1,1,1,1,1,N,9,7
102,25,1,6,2,1,2,N,0,5
103,27,1,1,2,1,1,N,4,5
104,7,1,N,2,1,2,N,N,3
105,36,1,1,2,1,1,N,1,5
106,26,1,4,2,1,2,N,0,7
107,24,1,1,2,1,1,N,5,9
108,45,1,1,2,1,1,N,6,7
109,73,1,1,2,1,1,N,5,7
110,36,1,1,1,1,1,N,8,5
111,69,1,4,2,1,1,N,8,10
112,56,1,1,2,1,2,N,2,7
113,30,1,1,2,1,1,N,4,7
114,39,1,N,2,1,2,N,7,6
115,30,1,6,1,1,1,N,6,9
116,53,1,6,1,1,1,N,8,7
117,2,9,N,2,1,2,N,N,N
118,79,1,3,2,1,1,N,5,12
119,6,1,N,2,1,2,N,N,2
120,47,6,1,2,1,1,N,1,5
121,72,1,3,1,2,0,N,6,9
122,57,1,1,1,1,2,N,7,10
123,14,1,N,2,1,1,N,N,10
124,54,1,1,2,1,1,N,3,5
125,66,1,1,1,1,1,N,7,7
126,13,1,N,1,1,1,N,N,3
127,58,1,1,2,1,1,N,8,9
128,78,1,3,2,1,1,N,3,8
129,30,1,1,2,1,2,N,6,9
130,10,1,N,2,1,2,N,N,3
131,22,9,6,2,1,1,N,N,9
132,68,1,4,1,2,0,2,4,9
133,63,1,1,1,1,2,N,6,4
134,57,2,1,2,1,1,N,2,7
135,39,6,1,1,1,2,N,8,7
136,55,1,1,2,1,1,N,7,5
137,78,1,1,2,1,1,N,6,9
138,5,1,N,2,1,2,N,N,1
139,62,1,1,2,1,1,N,8,N
140,28,1,1,2,1,1,N,1,9
141,31,1,1,2,1,1,N,6,7
142,26,1,6,2,1,2,N,0,7
143,43,1,1,1,1,2,N,8,6
144,65,1,1,1,1,1,N,5,11
145,2,1,N,1,1,1,N,N,N
146,25,1,1,2,1,1,N,2,5
147,24,1,6,1,1,1,N,4,10
148,56,1,1,2,1,1,N,6,4
149,5,1,N,1,1,1,N,N,2
150,55,1,1,2,1,1,4,6,7
151,61,1,1,1,1,1,N,9,5
152,48,2,4,2,3,0,N,6,7
153,58,1,4,2,1,2,N,8,6
154,63,1,1,1,1,1,N,5,7
155,92,1,3,2,3,0,N,8,4
156,50,1,6,2,1,1,N,8,9
157,56,2,1,1,1,2,N,4,7
158,66,1,1,2,1,1,N,8,9
159,14,1,N,1,1,1,N,N,3
160,21,1,6,1,1,1,N,4,7
161,24,1,4,1,1,1,N,5,8
162,36,1,6,2,1,1,N,9,7
163,0,1,N,1,1,1,N,N,N
164,46,1,1,1,1,1,N,7,5
165,72,1,4,1,1,1,N,4,9
166,59,6,1,1,1,1,N,9,5
167,58,1,1,1,1,1,N,8,5
168,74,1,3,2,1,1,N,2,7
169,50,1,1,1,1,1,N,7,5
170,61,1,2,2,1,1,N,0,9
171,58,1,1,2,1,2,N,7,9
172,16,1,6,1,1,2,N,0,4
173,10,1,N,1,1,1,N,N,3
174,43,1,1,2,1,1,N,3,4
175,49,1,1,1,1,1,N,4,10
176,55,1,1,2,1,1,N,7,5
177,49,1,1,2,1,1,N,9,10
178,65,1,4,1,1,1,N,4,5
179,6,9,N,1,1,1,N,N,2
180,70,1,1,1,1,1,N,4,7
181,3,1,N,2,1,1,N,N,7
182,47,1,1,1,1,1,N,5,9
183,5,1,N,1,1,1,N,N,2
184,32,1,1,1,1,1,N,6,4
185,4,1,N,1,1,2,N,N,2
186,31,1,1,2,1,1,N,5,8
187,57,1,1,2,1,1,N,9,5
188,60,1,1,1,1,1,N,7,7
189,32,1,1,2,1,1,N,3,5
190,43,1,1,2,1,1,N,2,1
191,54,2,1,2,1,1,N,2,4
192,62,2,1,2,1,1,5,1,5
193,33,1,6,2,1,2,N,8,10
194,41,6,6,2,1,1,N,9,5
195,8,1,N,1,1,2,N,N,3
