,DENSITY,count_target,count_deidentified
0,7,1922.0,0.0
1,8,1002.0,0.0
2,13,963.0,0.0
3,10,855.0,0.0
4,11139,0.0,27.0
5,10920,0.0,23.0
6,10983,0.0,27.0
7,11001,0.0,29.0
8,11041,0.0,22.0
9,11050,0.0,23.0
10,11094,0.0,23.0
11,11125,0.0,24.0
12,11135,0.0,31.0
13,11154,0.0,26.0
14,11153,0.0,19.0
15,10864,0.0,30.0
16,11192,0.0,24.0
17,11193,0.0,22.0
18,11194,0.0,27.0
19,11203,0.0,31.0
20,11205,0.0,23.0
21,11218,0.0,21.0
22,10911,0.0,29.0
23,10756,0.0,27.0
24,10775,0.0,25.0
25,11228,0.0,21.0
26,5193,0.0,24.0
27,5198,0.0,39.0
28,5224,0.0,28.0
29,5235,0.0,38.0
30,5313,0.0,44.0
31,5406,0.0,26.0
32,5431,0.0,30.0
33,5501,0.0,26.0
34,5548,0.0,20.0
35,5556,0.0,32.0
36,5609,0.0,30.0
37,5644,0.0,26.0
38,5690,0.0,27.0
39,5709,0.0,17.0
40,5713,0.0,21.0
41,5754,0.0,22.0
42,7923,0.0,20.0
43,11222,0.0,35.0
44,11261,0.0,29.0
45,5149,0.0,33.0
46,52234,0.0,31.0
47,52268,0.0,20.0
48,52311,0.0,27.0
49,52312,0.0,31.0
50,52340,0.0,28.0
51,52357,0.0,32.0
52,52389,0.0,30.0
53,52407,0.0,34.0
54,52566,0.0,32.0
55,52611,0.0,24.0
56,52635,0.0,28.0
57,52734,0.0,24.0
58,52743,0.0,29.0
59,52748,0.0,27.0
60,52786,0.0,32.0
61,52810,0.0,30.0
62,52829,0.0,33.0
63,52852,0.0,38.0
64,52241,0.0,40.0
65,52221,0.0,15.0
66,11302,0.0,38.0
67,52204,0.0,20.0
68,11307,0.0,20.0
69,11326,0.0,30.0
70,11388,0.0,32.0
71,11402,0.0,22.0
72,11513,0.0,29.0
73,11526,0.0,27.0
74,47240,0.0,28.0
75,50122,0.0,19.0
76,51149,0.0,30.0
77,51158,0.0,27.0
78,52040,0.0,26.0
79,52043,0.0,37.0
80,52051,0.0,21.0
81,52056,0.0,26.0
82,52061,0.0,30.0
83,52143,0.0,26.0
84,52182,0.0,22.0
85,5182,0.0,26.0
86,5130,0.0,34.0
87,5133,0.0,29.0
88,2729,0.0,24.0
89,2766,0.0,25.0
90,2784,0.0,33.0
91,2794,0.0,32.0
92,2820,0.0,28.0
93,2883,0.0,24.0
94,2895,0.0,28.0
95,2934,0.0,27.0
96,2947,0.0,23.0
97,2953,0.0,35.0
98,2954,0.0,19.0
99,2968,0.0,35.0
100,2973,0.0,40.0
101,2984,0.0,28.0
102,3008,0.0,35.0
103,3013,0.0,30.0
104,3018,0.0,23.0
105,3031,0.0,18.0
106,2738,0.0,39.0
107,2723,0.0,25.0
108,5126,0.0,27.0
109,2718,0.0,26.0
110,16,0.0,110.0
111,65,0.0,29.0
112,71,0.0,37.0
113,331,0.0,27.0
114,541,0.0,30.0
115,2508,0.0,27.0
116,2559,0.0,28.0
117,2568,0.0,31.0
118,2569,0.0,27.0
119,2574,0.0,37.0
120,2615,0.0,23.0
121,2628,0.0,36.0
122,2630,0.0,13.0
123,2676,0.0,29.0
124,2679,0.0,29.0
125,2685,0.0,27.0
126,2698,0.0,23.0
127,3040,0.0,33.0
128,3049,0.0,20.0
129,3068,0.0,20.0
130,3073,0.0,35.0
131,3314,0.0,37.0
132,3316,0.0,32.0
133,3361,0.0,21.0
134,3534,0.0,31.0
135,3582,0.0,29.0
136,3781,0.0,20.0
137,4450,0.0,29.0
138,4508,0.0,33.0
139,4639,0.0,23.0
140,4780,0.0,23.0
141,4996,0.0,32.0
142,5018,0.0,31.0
143,5031,0.0,25.0
144,5049,0.0,27.0
145,5066,0.0,27.0
146,5068,0.0,36.0
147,5076,0.0,31.0
148,3310,0.0,24.0
149,3309,0.0,22.0
150,3303,0.0,28.0
151,3150,0.0,26.0
152,3075,0.0,24.0
153,3092,0.0,33.0
154,3113,0.0,64.0
155,3118,0.0,31.0
156,3121,0.0,33.0
157,3132,0.0,21.0
158,3136,0.0,24.0
159,3167,0.0,20.0
160,3288,0.0,24.0
161,3175,0.0,30.0
162,3180,0.0,29.0
163,3203,0.0,29.0
164,3251,0.0,29.0
165,3260,0.0,23.0
166,3280,0.0,22.0
167,3284,0.0,18.0
168,52864,0.0,84.0
