,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,59,2,N,3,3,2,1,6,2,1,88,2,N,1,3,40.0
1,31,2,N,8,3,5,2,7,9,2,63,2,N,1,1,40.0
2,61,2,N,9,3,6,1,7,5,2,35,2,N,1,8,40.0
3,38,2,N,5,1,6,0,6,7,2,21,2,N,3,1,40.0
4,14,2,N,3,1,N,0,0,1,2,13,2,N,2,N,40.0
5,56,2,N,11,1,3,1,2,6,1,89,2,N,1,6,60.0
6,26,2,N,10,1,1,1,3,5,2,64,2,N,1,0,60.0
7,11,2,N,7,1,3,1,6,8,1,66,2,N,1,2,60.0
8,2,2,N,5,1,6,1,5,5,2,18,2,N,1,0,60.0
9,67,2,N,1,1,6,2,4,9,2,82,1,N,1,2,40.0
10,64,2,N,5,1,6,1,2,7,1,21,2,N,1,0,60.0
11,63,2,N,11,1,2,1,0,2,2,37,2,N,1,6,60.0
12,20,2,N,8,1,4,1,7,6,2,66,2,N,1,8,60.0
13,63,2,N,12,1,3,1,2,2,1,93,1,N,1,9,40.0
14,59,2,N,3,3,6,2,3,5,1,15,2,N,1,0,40.0
15,15,1,N,5,1,6,2,6,5,1,59,1,N,1,3,60.0
16,56,2,N,5,1,4,1,9,7,2,49,2,N,1,7,60.0
17,36,2,N,11,1,2,2,2,2,2,22,2,N,1,0,60.0
18,34,2,N,4,1,3,2,2,9,2,63,1,N,1,1,40.0
19,35,2,N,4,1,N,2,1,9,2,14,2,N,1,N,60.0
20,55,2,N,8,1,6,2,6,5,2,40,2,N,1,0,60.0
21,58,2,N,11,1,6,1,2,9,1,69,2,N,1,7,60.0
22,30,2,N,6,1,6,0,6,3,2,59,2,N,3,3,40.0
23,21,2,N,11,1,3,1,9,6,2,66,2,N,1,9,80.0
24,84,2,N,11,1,2,1,1,6,1,31,2,N,1,8,60.0
25,82,2,N,12,1,6,0,2,1,1,72,2,N,3,5,40.0
26,45,2,N,7,1,6,0,6,3,2,18,2,N,3,1,40.0
27,27,2,N,4,1,1,1,1,5,1,67,2,N,1,6,60.0
28,70,2,N,8,1,1,1,2,5,2,54,2,N,1,6,60.0
29,0,2,N,7,1,6,2,8,5,1,34,2,N,1,5,60.0
30,33,2,N,3,1,6,1,1,9,2,15,1,N,1,0,40.0
31,44,2,N,8,1,5,2,0,6,1,64,2,N,1,3,60.0
32,87,2,N,6,1,4,1,6,6,1,59,2,N,1,9,60.0
33,26,2,6,4,1,5,1,0,2,2,16,2,N,1,0,60.0
34,8,2,N,12,1,1,2,8,8,1,51,1,N,1,3,40.0
35,81,2,N,1,1,1,1,5,3,1,33,2,N,1,7,60.0
36,44,2,2,1,1,3,2,1,1,2,76,2,N,1,2,40.0
37,23,2,N,1,1,6,1,0,8,2,44,2,N,1,7,60.0
38,53,2,N,6,1,6,0,2,6,1,52,1,N,2,2,40.0
39,85,2,N,11,1,6,1,0,9,2,59,2,N,1,8,60.0
40,65,2,N,7,1,2,1,7,6,2,60,2,N,1,0,60.0
41,74,2,N,10,1,3,1,7,5,1,67,2,N,1,2,60.0
42,43,2,N,8,2,6,1,3,5,2,52,2,N,1,7,40.0
43,33,2,N,3,1,5,0,2,1,2,54,2,N,3,1,40.0
44,39,2,N,10,1,6,1,4,9,1,28,2,N,1,7,60.0
45,93,2,N,9,1,4,1,7,8,2,61,2,N,1,0,60.0
46,38,2,N,7,1,5,2,7,3,2,49,2,N,1,2,60.0
47,27,2,N,11,1,4,2,9,9,1,74,2,N,1,3,60.0
48,66,2,N,11,1,3,1,0,2,1,44,2,N,1,1,60.0
49,24,2,N,8,1,6,2,0,9,1,70,2,N,1,2,60.0
50,12,2,N,7,1,3,2,0,9,2,64,2,N,1,3,60.0
51,57,2,N,4,1,3,2,8,6,1,51,2,N,1,3,60.0
52,7,2,N,5,1,1,2,0,7,1,45,2,N,1,7,60.0
53,39,2,N,6,1,5,0,1,1,1,51,2,N,2,0,40.0
54,0,2,N,7,1,2,0,2,6,1,50,2,N,2,0,40.0
55,42,2,N,11,1,1,2,1,3,2,34,2,N,1,4,60.0
56,42,2,N,9,1,3,0,7,2,1,53,2,N,2,8,40.0
57,10,2,N,7,1,5,1,0,6,2,27,2,N,1,4,60.0
58,37,2,N,12,1,2,0,7,1,1,30,2,N,3,8,40.0
59,37,2,N,1,1,2,2,0,1,2,58,2,N,1,0,80.0
60,13,2,N,5,1,3,0,4,2,1,79,2,N,2,5,40.0
61,1,2,N,8,1,4,0,3,1,2,36,2,N,2,0,40.0
62,51,2,N,9,1,6,2,7,7,1,26,2,N,1,6,60.0
63,67,2,N,10,1,4,2,4,8,2,32,2,N,1,9,60.0
64,34,2,N,8,1,5,2,3,1,2,76,2,N,1,2,60.0
65,42,2,N,6,1,4,2,2,3,1,68,1,N,1,3,40.0
66,74,2,N,5,1,3,0,9,2,2,74,2,N,2,1,60.0
67,62,2,N,5,1,4,2,8,5,2,47,2,N,1,0,60.0
68,51,2,N,4,1,4,1,0,8,1,54,2,N,1,9,60.0
69,33,2,N,12,1,5,2,6,1,1,50,2,N,1,9,60.0
70,51,2,N,4,1,6,1,0,7,2,17,2,N,1,0,80.0
71,0,2,N,5,1,4,2,1,7,1,48,2,N,1,0,60.0
