,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,0.0,-0.004599548201405911,0.008801902589706437,0.022366113254159728,0.013867661286059211,0.02225767005514604,-0.004363619498383297,-0.011481277324190589,-0.00108002859112628,0.002022781702371374
AGEP,-0.004599548201405911,0.0,0.0,-0.02908326894099461,0.012827321631406888,0.0439839931849591,0.045954552278830774,0.04901467484553168,0.0025059049446705707,-0.030885048481273436
SEX,0.008801902589706437,0.0,0.0,-0.009953300722827949,0.007140693449206535,0.009668148451589621,0.009286566544730883,0.013656150748800042,0.0038395532023739664,0.019940610111332358
MSP,0.02236611325415973,-0.02908326894099461,-0.009953300722827949,0.0,-0.0012613585169306413,0.0035107056301275953,0.11514029952221988,0.10330712160752414,0.014198907917381582,-0.01596539029099331
HISP,0.013867661286059218,0.012827321631406888,0.00714069344920654,-0.0012613585169306413,0.0,-0.08732696139554896,0.004764837526433148,-0.001503971400364984,-2.2395525225864243e-05,0.013155314387980017
RAC1P,0.02225767005514604,0.043983993184959116,0.00966814845158962,0.003510705630127592,-0.08732696139554896,0.0,-0.017913045004117625,-0.02348298173933952,-0.0028955565163141204,0.015244780625669765
NOC,-0.004363619498383294,0.045954552278830774,0.009286566544730887,0.11514029952221988,0.004764837526433158,-0.017913045004117625,0.0,-0.21210876773308884,-0.086699301559638,0.012918528203851004
NPF,-0.011481277324190589,0.04901467484553168,0.013656150748800042,0.1033071216075242,-0.001503971400364984,-0.0234829817393395,-0.21210876773308895,0.0,-0.016639639812476598,0.043331692156444016
OWN_RENT,-0.00108002859112628,0.0025059049446705638,0.0038395532023739647,0.014198907917381582,-2.2395525225850366e-05,-0.0028955565163141204,-0.08669930155963802,-0.0166396398124766,0.0,-0.016273543133513507
PINCP_DECILE,0.002022781702371376,-0.030885048481273547,0.019940610111332344,-0.015965390290993295,0.013155314387980017,0.015244780625669765,0.012918528203850976,0.04333169215644403,-0.016273543133513504,2.220446049250313e-16
