,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,0.0,4.224275478544037e-05,4.6284973207466606e-05,5.113267654656417e-05,1.984832238383083e-05,4.1750255594066865e-05,6.185966181782021e-05,2.8635548441069414e-05,-0.0005607729886434321,0.000389525559863213
SEX,4.2242754785433434e-05,0.0,1.2102076945210132e-05,5.9047124181015737e-05,1.9582283314945048e-05,4.149395096469943e-05,5.752841907141759e-05,3.301485837255147e-05,-0.000193255141995044,0.00022178221352673558
MSP,4.6284973207466606e-05,1.2102076945210132e-05,0.0,2.5474520581998672e-05,7.817409590299418e-06,1.6191452003759543e-05,3.663942922729757e-05,5.772040476539897e-05,-0.00016483385983219814,0.00014634858520703314
RAC1P,5.113267654656417e-05,5.9047124181015737e-05,2.5474520581998672e-05,0.0,0.0,0.0,4.164547941740149e-05,3.27858526437963e-05,-0.00023349623220091098,0.0001986328069208329
HOUSING_TYPE,1.984832238383083e-05,1.9582283314945048e-05,7.817409590299418e-06,0.0,0.0,0.0,1.1374399116977074e-05,1.8959498533283048e-05,-6.648638448667789e-05,7.583420880093172e-05
OWN_RENT,4.175025559405299e-05,4.1493950964692494e-05,1.6191452003759543e-05,0.0,0.0,0.0,2.6250375249385616e-05,1.802195726053127e-05,-0.00016596262159754814,0.00014228552499308267
EDU,6.18596618177647e-05,5.752841907141759e-05,3.6639429227325326e-05,4.164547941740149e-05,1.1374399116977074e-05,2.6250375249378677e-05,0.0,1.7923546632658827e-05,-0.0004878358530096688,0.00028781126095360834
PINCP_DECILE,2.8635548441069414e-05,3.301485837255147e-05,5.772040476539897e-05,3.27858526437963e-05,1.8959498533310803e-05,1.8021957260534738e-05,1.7923546632658827e-05,0.0,-0.0003617216863900097,0.00017650957866112774
DVET,-0.0005607729886434321,-0.000193255141995044,-0.00016483385983219814,-0.00023349623220091445,-6.648638448667789e-05,-0.00016596262159754988,-0.00048783585300967575,-0.0003617216863899958,0.0,-0.001849090793976979
DEYE,0.0003895255598632269,0.00022178221352673472,0.00014634858520704008,0.00019863280692082944,7.583420880093172e-05,0.00014228552499308614,0.00028781126095360834,0.00017650957866112947,-0.001849090793976986,2.220446049250313e-16
