,Unnamed: 0,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,PUMA
0,25381,14,2,N,0,1,2,4,1,1,N,N,3,N,N,501,N,2,2,2,2,135,91,30-00600
1,3942,64,2,1,0,2,0,2,1,1,9370,16,10,221409,9,501,N,2,2,2,2,27,33,17-03529
2,27036,44,1,N,0,1,2,4,1,1,N,N,12,N,N,501,N,2,2,2,2,71,60,19-01700
3,12655,24,2,6,0,3,1,N,1,2,670,10,7,29084,2,73,N,2,2,2,2,28,197,06-08507
4,21087,5,2,1,0,2,1,2,1,1,N,N,4,46615,4,194,N,2,1,2,2,121,103,40-00200
5,24511,13,1,1,0,1,0,2,1,1,1990,12,9,58832,8,501,N,2,2,2,2,36,46,38-00100
6,6953,5,1,N,0,1,3,4,1,1,N,N,3,N,N,501,N,1,2,1,2,27,26,24-01004
7,4114,23,2,6,0,1,N,N,1,2,7390,11,5,31796,1,79,N,2,2,2,2,189,252,17-03529
8,16308,11,1,N,2,3,4,5,1,2,N,N,3,N,N,82,N,2,2,2,2,6,239,01-01301
9,18924,47,1,N,0,1,1,4,1,1,N,N,3,N,N,49,N,2,2,2,2,410,297,01-01301
10,26649,70,2,N,0,2,2,3,1,1,N,N,3,N,N,501,N,2,2,2,2,71,55,17-03529
11,1800,20,1,6,0,2,N,N,2,0,8191,14,7,27751,5,N,N,2,2,2,2,110,0,01-01301
12,17152,59,1,6,0,2,N,N,2,0,N,12,7,461,0,N,N,2,2,2,2,40,0,38-00100
13,14565,60,1,6,0,1,1,6,1,1,7860,4,5,35836,1,288,N,2,2,2,2,202,126,06-07502
14,6812,18,2,6,4,2,N,N,2,0,7380,13,7,25894,1,N,N,1,2,2,2,161,0,26-02702
15,4322,29,1,1,0,1,0,2,1,1,7890,10,9,83715,9,501,N,2,2,2,2,72,50,06-07502
16,18022,20,2,6,0,1,N,7,2,0,8270,14,5,4228,3,N,N,2,2,2,2,51,0,38-00100
17,11060,30,1,2,0,2,0,N,3,1,7860,10,8,68137,1,96,N,2,2,2,2,79,128,36-03710
18,15960,73,1,N,0,3,1,4,1,1,N,N,12,N,N,120,N,N,N,2,2,269,226,51-01301
19,26281,13,1,N,0,1,2,7,1,1,N,N,1,N,N,389,N,2,2,2,2,63,73,13-04600
20,17533,19,1,6,0,1,N,N,2,0,7380,14,7,8837,6,N,N,2,2,2,2,97,0,26-02702
21,15027,50,1,N,0,3,5,3,1,1,N,N,3,N,N,332,N,2,2,2,2,128,244,38-00100
