,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,6.328271240363392e-15,0.04346565854774892,0.00039188067323078063,-0.016509996319931133,-0.05457471523904761,-0.019448042128791195,-0.0025451288623650915,0.03756377582752172,-0.029851493806258397,-0.021510598192598537,0.004420821155448686
AGEP,0.04346565854774892,5.551115123125783e-16,-0.054663407623884386,-0.00533594855195374,0.17113609100439955,0.1313542939709106,0.06549238240592586,0.14684117434192884,0.1279421749495609,-0.02660380231277326,0.12391548200967589
SEX,0.00039188067323078063,-0.054663407623884386,-3.885780586188048e-15,-0.011260326838899848,0.013415408546226911,0.014171920731937137,0.02578688053077621,0.04658284441618501,-0.01732980930478609,0.1527311490868082,0.01541951593956196
MSP,-0.016509996319931133,-0.00533594855195374,-0.011260326838899848,0.0,-0.010323608283277774,0.005697366725275594,0.14609751909422983,0.22619736966734835,-0.04910372005563732,0.014454738872657247,0.04483903451803284
HISP,-0.05457471523904761,0.17113609100439955,0.013415408546226911,-0.010323608283277774,-3.1086244689504383e-15,-0.1843147014754708,-0.12429058585691932,-0.10439474553790593,-0.027307804156886002,0.12088420305027942,-0.025821826451503063
RAC1P,-0.019448042128791195,0.1313542939709106,0.014171920731937137,0.005697366725275594,-0.1843147014754708,-1.5543122344752192e-15,-0.06748205949048419,-0.0630899187475619,0.010575903797600927,0.09344466799502671,-0.01239630633345014
NOC,-0.0025451288623650915,0.06549238240592586,0.02578688053077621,0.14609751909422983,-0.12429058585691932,-0.06748205949048419,0.0,-0.014139714969565897,-0.13878184234672486,0.049538027386620165,-0.07168469149924761
NPF,0.03756377582752172,0.14684117434192884,0.04658284441618501,0.22619736966734835,-0.10439474553790593,-0.0630899187475619,-0.014139714969565897,0.0,-0.010317748488792345,0.1110340693303199,-0.07737015129228068
OWN_RENT,-0.029851493806258397,0.1279421749495609,-0.01732980930478609,-0.04910372005563732,-0.027307804156886002,0.010575903797600927,-0.13878184234672486,-0.010317748488792345,-1.27675647831893e-14,0.046478127571442415,-0.007893845487321666
PINCP_DECILE,-0.021510598192598537,-0.02660380231277326,0.1527311490868082,0.014454738872657247,0.12088420305027942,0.09344466799502671,0.049538027386620165,0.1110340693303199,0.046478127571442415,0.0,-0.0020318675628927647
DEYE,0.004420821155448686,0.12391548200967589,0.01541951593956196,0.04483903451803284,-0.025821826451503063,-0.01239630633345014,-0.07168469149924761,-0.07737015129228068,-0.007893845487321666,-0.0020318675628927647,0.0
