,INDP,count_target,count_deidentified
21,1070,1,0.0
35,1080,3,26.0
53,1090,1,0.0
34,1170,2,4.0
20,1180,2,49.0
12,1190,9,57.0
42,1270,1,4.0
11,1280,5,8.0
6,1370,6,19.0
16,1480,2,8.0
52,1490,1,24.0
39,1570,1,12.0
26,1691,3,24.0
45,1770,3,33.0
50,1790,1,8.0
29,1870,3,4.0
0,1880,2,26.0
1,1990,14,23.0
48,2170,1,4.0
43,2180,1,4.0
7,2190,64,35.0
22,2270,4,8.0
54,2280,1,43.0
5,2290,13,8.0
32,2370,4,38.0
44,2470,1,23.0
49,2480,1,59.0
27,2490,1,18.0
15,2570,2,37.0
41,2590,1,12.0
25,2670,1,22.0
46,2690,1,7.0
55,2790,1,40.0
36,2870,4,31.0
31,2880,15,4.0
33,2970,1,8.0
9,2980,5,18.0
51,3080,1,4.0
8,3095,2,54.0
14,3291,21,54.0
24,3365,7,3.0
30,3370,6,35.0
10,3380,44,4.0
18,3390,56,49.0
17,3470,1,44.0
19,3490,16,36.0
38,3570,5,4.0
3,3580,31,22.0
2,3590,2,11.0
37,3680,2,0.0
40,3875,3,7.0
28,3895,8,4.0
13,3960,29,28.0
47,3970,2,12.0
4,3980,13,14.0
23,3990,10,23.0
