SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
2,6,1,0,0,0,26-02702,74,0.0,N,96
2,6,9,1,2,0,51-51255,71,0.0,N,486
2,5,1,1,6,0,36-03710,38,0.0,2,252
2,6,6,2,4,0,51-01301,40,0.0,2,259
2,6,2,0,8,0,38-00100,43,0.0,2,155
1,1,1,1,8,4,29-01901,70,1.0,4,N
2,1,1,1,4,4,24-01004,21,1.0,8,244
1,3,3,2,0,0,19-01700,16,0.0,2,249
2,6,1,1,4,0,26-02702,76,0.0,N,475
1,6,1,1,0,0,24-01004,32,0.0,2,328
1,6,1,1,0,4,40-00200,72,0.0,N,425
1,6,9,0,0,0,17-03529,77,3.0,N,67
2,2,1,1,5,0,01-01301,45,0.0,3,172
2,4,9,1,0,0,36-03710,72,0.0,2,481
1,3,7,2,8,4,30-00600,33,0.0,2,291
2,1,6,2,2,0,01-01301,20,1.0,4,225
2,4,2,1,0,0,32-00405,77,0.0,5,34
1,4,8,1,3,0,29-01901,24,0.0,2,0
1,6,9,1,6,0,17-03531,39,0.0,2,44
2,4,1,1,5,0,06-07502,31,0.0,2,5
1,1,2,1,2,0,30-00600,34,0.0,3,130
1,2,1,2,1,0,06-08507,54,0.0,N,89
2,4,6,2,6,0,36-04010,46,1.0,5,238
2,2,2,1,5,4,24-01004,55,2.0,4,99
2,6,2,1,2,0,51-01301,71,0.0,N,248
2,4,1,1,7,0,32-00405,41,0.0,2,93
1,4,1,2,9,0,36-03710,49,0.0,3,139
2,6,6,2,5,0,06-08507,20,1.0,2,36
1,5,9,1,1,0,28-01100,35,N,2,N
2,2,6,0,0,0,36-04010,80,0.0,2,N
1,2,1,2,6,0,51-51255,68,4.0,2,378
2,3,9,2,9,0,51-51255,94,0.0,N,293
2,3,6,1,4,0,36-03710,59,0.0,N,116
1,1,1,1,6,0,51-51255,51,0.0,3,329
2,4,1,0,5,0,01-01301,27,0.0,3,11
1,3,2,2,7,0,13-04600,38,0.0,3,325
2,2,2,1,0,0,06-07502,45,0.0,2,65
1,5,2,1,9,1,36-04010,68,0.0,2,245
2,1,1,0,0,0,36-03710,73,0.0,2,3
2,5,2,1,8,0,17-03529,68,1.0,N,N
1,2,6,2,6,0,51-51255,47,0.0,2,218
2,3,2,1,0,0,17-03529,83,0.0,2,432
2,6,9,1,3,0,08-00803,62,0.0,N,77
