,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,index_col
0,1,2,1,1,9,5,33,3,N,2,0
1,2,2,2,1,9,10,22,3,N,2,1
2,1,2,1,2,6,6,32,3,N,2,2
3,1,5,1,1,8,12,23,3,N,2,3
4,1,1,1,1,4,7,81,1,5,2,4
5,2,3,1,1,9,7,18,3,N,2,5
6,2,4,1,1,4,1,6,3,N,2,6
7,2,N,2,1,5,3,53,1,N,2,7
8,2,6,1,1,1,6,63,3,N,2,8
9,1,4,1,1,5,6,7,3,N,2,9
10,1,N,1,1,8,11,5,1,N,2,10
11,1,N,1,1,N,11,1,3,N,2,11
12,2,5,1,1,1,8,48,3,N,2,12
13,2,2,1,1,3,7,62,3,N,2,13
14,1,3,1,1,4,5,93,2,N,2,14
15,2,6,1,1,9,5,29,3,N,2,15
16,1,4,1,1,3,5,83,3,N,2,16
17,2,5,1,1,7,7,70,1,5,2,17
18,2,6,1,1,1,5,89,3,N,2,18
19,2,6,1,1,2,5,56,1,N,2,19
20,1,6,1,1,1,5,68,3,N,2,20
21,1,5,1,1,N,11,6,1,N,2,21
22,1,3,1,1,8,1,25,3,5,2,22
23,2,6,1,1,4,5,82,3,5,2,23
24,1,3,1,1,1,10,9,1,N,2,24
25,1,5,1,1,9,8,32,3,N,2,25
26,1,1,1,1,5,8,92,3,N,2,26
27,1,N,1,1,N,6,46,1,N,2,27
28,1,5,1,1,4,11,55,1,5,2,28
29,2,6,1,1,3,7,45,3,N,2,29
30,1,2,1,1,9,7,50,2,N,2,30
31,2,2,1,1,3,9,32,1,N,2,31
32,2,5,2,1,8,9,28,1,N,2,32
33,2,3,1,1,2,7,40,3,N,2,33
34,2,4,1,1,0,7,49,2,N,2,34
35,1,4,1,1,8,7,29,1,N,2,35
36,1,5,1,1,8,1,16,3,5,2,36
37,1,6,1,1,0,3,36,3,N,2,37
38,1,N,1,1,8,3,41,2,N,2,38
39,2,1,1,1,7,8,56,3,N,2,39
40,1,4,3,1,3,4,2,3,N,2,40
41,2,3,1,1,N,3,49,1,N,2,41
42,1,4,1,1,N,8,85,1,N,2,42
43,1,N,1,1,6,10,75,3,5,2,43
44,2,N,1,1,8,N,49,1,5,2,44
45,2,3,1,1,4,10,46,2,N,2,45
46,1,N,1,2,N,3,15,1,5,2,46
47,1,5,1,1,9,8,31,3,N,2,47
48,1,1,1,1,6,4,32,1,N,2,48
49,2,4,1,1,0,7,87,3,N,2,49
50,2,3,1,1,9,5,73,3,N,2,50
51,2,N,1,1,8,2,9,3,N,2,51
52,2,6,1,1,8,1,33,3,N,2,52
53,1,5,1,1,8,10,28,3,5,2,53
54,1,4,1,1,0,5,82,3,N,2,54
55,1,2,1,1,4,6,33,3,N,2,55
56,2,6,2,1,1,5,69,3,N,2,56
57,2,2,1,1,7,8,16,3,5,2,57
58,2,4,1,1,4,6,14,2,N,2,58
59,1,N,1,1,4,4,65,3,5,2,59
60,1,5,1,1,6,2,4,3,N,2,60
61,2,2,1,1,3,1,54,3,5,2,61
62,2,N,1,2,7,8,80,3,5,2,62
63,2,3,1,1,0,6,46,3,N,2,63
64,2,1,1,1,2,7,33,3,N,2,64
65,1,4,1,1,8,10,9,3,N,2,65
66,1,N,1,1,N,3,35,1,N,2,66
67,2,4,1,1,4,9,43,1,N,2,67
68,1,5,2,1,4,3,20,3,N,2,68
69,2,N,1,1,9,9,67,3,N,2,69
70,1,3,1,1,1,8,59,2,5,2,70
71,1,1,1,1,N,4,47,2,5,2,71
72,2,1,1,1,N,9,36,3,N,2,72
73,2,3,1,1,1,7,90,3,N,2,73
74,2,N,1,1,N,3,32,2,N,2,74
75,1,N,1,1,6,3,65,1,N,2,75
76,1,1,1,1,N,12,19,1,N,2,76
77,1,2,2,1,2,3,12,3,N,2,77
78,2,1,1,1,N,8,5,3,N,2,78
79,2,3,1,1,9,6,31,3,N,2,79
80,2,3,1,1,6,6,18,3,5,2,80
81,2,2,1,1,1,9,91,3,N,2,81
82,1,6,1,1,4,1,9,3,N,2,82
83,1,4,1,1,0,1,27,3,N,2,83
84,1,6,1,1,9,9,65,1,5,2,84
85,2,N,2,1,8,12,15,3,5,2,85
86,2,4,1,1,0,6,31,3,N,2,86
87,1,4,1,1,2,10,62,2,5,2,87
88,1,3,1,1,3,8,78,3,N,2,88
89,2,4,1,2,4,11,50,3,5,2,89
90,2,2,1,1,9,5,70,3,N,2,90
91,1,2,1,1,N,3,7,3,N,2,91
92,1,6,1,1,1,5,30,3,N,2,92
93,2,6,1,1,9,7,5,3,N,2,93
94,2,2,1,1,4,5,19,3,N,2,94
95,2,5,1,1,N,8,28,3,N,2,95
96,1,4,1,1,8,9,14,3,N,2,96
97,2,4,1,1,N,3,61,3,N,2,97
98,1,1,1,1,8,1,26,3,N,2,98
99,2,1,1,1,5,4,66,3,N,2,99
100,2,3,1,1,6,12,45,3,N,2,100
101,1,6,1,1,3,5,83,1,N,2,101
102,2,6,1,1,3,5,46,3,N,2,102
103,2,1,1,1,5,3,28,3,N,2,103
104,2,4,1,1,4,8,73,3,N,2,104
105,1,N,1,1,6,1,15,1,N,2,105
106,2,6,1,1,0,5,43,3,N,2,106
107,1,1,1,1,N,5,54,1,N,2,107
108,1,3,1,1,5,7,87,3,N,2,108
109,1,N,1,1,N,N,9,2,N,2,109
110,1,N,1,1,N,N,21,3,N,2,110
111,1,1,1,1,6,12,11,3,N,2,111
112,2,4,1,1,8,6,74,3,N,2,112
113,1,5,1,1,N,2,23,2,N,2,113
114,1,2,1,1,5,5,33,1,N,2,114
115,2,1,1,1,6,4,44,2,5,2,115
116,1,1,5,1,5,1,11,3,N,2,116
117,2,2,1,1,2,7,60,3,N,2,117
118,2,N,1,1,N,10,12,3,N,2,118
119,2,2,1,1,8,9,78,3,5,2,119
120,1,N,1,1,7,4,76,3,N,2,120
121,1,1,1,1,N,8,2,1,N,2,121
122,2,6,4,1,1,8,28,3,N,2,122
123,1,1,1,1,N,11,9,3,N,2,123
124,2,N,1,1,6,9,92,3,5,2,124
125,2,4,1,1,2,8,44,2,N,2,125
126,1,4,1,1,7,9,67,3,N,2,126
127,2,3,1,1,N,1,33,3,N,2,127
128,1,N,1,1,6,4,64,1,N,2,128
129,1,6,1,1,9,5,56,3,N,2,129
130,2,4,1,1,7,9,46,3,N,2,130
131,2,2,1,1,5,1,65,2,N,2,131
132,1,6,1,1,0,5,20,3,N,2,132
133,1,6,1,1,7,4,12,3,N,2,133
134,2,1,1,1,5,1,32,3,N,2,134
135,2,4,1,1,7,9,48,3,N,2,135
136,2,2,2,1,8,4,6,3,5,2,136
137,1,3,1,1,N,10,13,3,N,2,137
