,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,60,0,6,0,5,2,6,87,48-02102,8,1,21,0,N,5,249,20.0
1,78,2,1,1,5,2,9,N,48-02102,1,1,40,0,2,6,501,0.0
2,92,0,3,0,2,2,3,66,48-02507,1,1,79,0,N,2,35,20.0
3,91,0,6,0,2,2,0,N,48-02102,2,2,19,1,5,3,338,0.0
4,92,0,6,5,4,0,0,N,48-02507,1,1,21,N,N,2,26,0.0
5,65,1,4,0,4,1,8,N,48-02507,1,1,44,0,N,2,45,20.0
6,66,4,3,0,11,1,3,359,48-02510,1,2,71,0,2,4,245,20.0
7,80,0,4,0,4,0,8,344,48-02101,1,2,46,N,N,0,N,0.0
8,92,1,1,0,5,1,5,57,48-02510,5,1,63,0,2,5,178,40.0
9,92,4,1,1,2,1,8,N,48-02516,1,1,69,0,2,1,81,20.0
10,77,4,2,0,2,1,0,361,48-02515,1,1,40,0,2,0,140,60.0
11,75,4,4,11,4,1,5,66,48-02515,1,2,69,0,N,5,273,20.0
12,65,0,6,0,11,1,9,66,48-02515,6,2,34,0,3,0,501,20.0
13,65,0,2,0,4,1,6,366,48-02516,1,2,33,0,7,2,87,20.0
14,92,0,5,7,13,2,3,N,48-02510,1,1,49,0,N,8,501,0.0
15,92,2,1,0,11,1,0,66,48-02515,1,1,32,3,5,9,411,0.0
16,83,0,6,0,2,0,0,66,48-02507,1,2,39,N,N,0,0,20.0
17,92,4,2,N,5,1,6,308,48-02101,1,2,27,0,6,8,501,0.0
18,76,0,3,0,6,1,7,N,48-02510,6,2,50,0,3,7,252,40.0
19,54,2,6,0,N,1,7,315,48-02515,2,1,54,1,2,6,339,20.0
20,92,2,1,0,3,2,N,66,48-02515,1,1,38,2,4,0,252,0.0
21,65,0,2,2,6,1,6,212,48-02507,2,2,83,0,N,2,57,0.0
22,92,2,1,3,6,2,2,364,48-02507,1,1,49,1,3,9,492,0.0
23,65,0,6,0,8,2,8,420,48-02516,3,2,37,1,2,5,171,0.0
24,65,0,6,0,2,1,0,60,48-02515,3,2,24,0,4,2,330,20.0
25,65,3,N,0,3,1,6,247,48-02510,1,1,10,2,4,N,295,0.0
26,92,1,4,1,2,1,6,66,48-02516,1,1,49,1,2,7,364,40.0
27,65,0,1,2,8,2,2,52,48-02510,9,1,25,1,3,5,154,0.0
28,92,4,6,0,N,1,6,N,48-02510,1,2,31,0,2,3,245,20.0
29,92,1,5,0,2,1,8,0,48-02101,1,1,53,0,2,1,211,40.0
30,91,0,2,N,N,2,0,9,48-02102,1,1,75,0,N,2,49,20.0
31,69,4,4,0,2,1,5,66,48-02507,1,1,52,0,3,6,412,20.0
32,77,1,3,0,4,1,1,53,48-02516,1,2,41,2,3,0,0,0.0
33,92,0,1,0,3,1,0,61,48-02507,3,2,71,0,2,6,501,20.0
34,68,1,2,0,4,1,8,250,48-02515,1,2,59,0,N,8,501,40.0
35,41,0,4,4,5,0,9,224,48-02507,1,1,59,N,N,3,85,0.0
36,59,1,5,1,7,2,7,452,48-02515,1,1,51,0,N,6,304,0.0
37,54,1,2,0,4,1,0,159,48-02102,8,2,19,3,7,2,197,0.0
38,76,2,6,6,5,1,0,58,48-02101,1,2,15,1,5,0,501,40.0
39,58,0,2,0,7,1,0,19,48-02102,6,2,35,0,6,0,0,40.0
40,65,3,6,0,5,1,8,278,48-02510,1,1,17,1,3,0,197,0.0
41,83,1,4,2,4,2,0,287,48-02510,1,1,69,0,N,6,371,0.0
42,65,4,6,0,2,1,5,501,48-02101,1,1,18,0,2,0,164,40.0
43,77,4,6,0,2,1,3,N,48-02102,1,2,20,0,4,2,406,20.0
44,65,0,1,0,N,1,2,500,48-02101,3,2,70,0,2,2,378,40.0
45,92,0,1,2,6,1,8,370,48-02516,3,2,42,0,4,0,304,0.0
46,86,0,1,2,2,1,0,57,48-02507,9,1,22,0,2,6,244,20.0
47,77,0,1,4,2,1,6,251,48-02515,3,2,43,0,4,1,330,0.0
48,92,0,1,0,2,2,8,453,48-02102,2,2,46,1,5,5,338,0.0
49,66,0,2,1,2,1,8,304,48-02102,2,2,42,0,7,0,351,0.0
50,83,0,6,1,2,1,2,409,48-02101,6,2,38,0,2,9,501,20.0
51,65,2,1,0,4,2,0,N,48-02516,1,1,48,0,2,9,501,20.0
52,37,1,1,4,2,1,8,4,48-02101,9,2,37,1,3,2,280,20.0
53,92,0,4,0,2,1,0,66,48-02510,6,2,56,0,4,8,501,20.0
54,70,0,2,0,N,2,2,312,48-02101,1,2,67,0,5,4,501,20.0
55,92,0,1,2,2,2,0,420,48-02101,3,1,49,2,4,6,501,20.0
56,32,1,3,0,4,1,5,180,48-02101,8,1,66,0,N,5,242,40.0
57,77,3,1,0,N,1,0,N,48-02101,1,1,37,2,4,9,501,0.0
